motif_counts	orientation_pattern	spacing	log2_fc_vs_baseline_mean	log2_fc_vs_baseline_std	log2_fc_vs_baseline_sem	log2_fc_vs_single_mean	log2_fc_vs_single_std	log2_fc_vs_single_sem	mean_prediction_mean	mean_prediction_std	mean_prediction_sem
3	+++	0	0.7638	0.0638	0.0285	0.5958	0.0604	0.027	2.1156	0.1375	0.0615
3	+++	1	0.3479	0.0625	0.028	0.1799	0.0588	0.0263	1.8273	0.1439	0.0643
3	+++	2	0.3633	0.0219	0.0098	0.1953	0.0214	0.0096	1.8379	0.1074	0.048
3	+++	3	0.2848	0.0418	0.0187	0.1168	0.0417	0.0186	1.7835	0.1147	0.0513
3	+++	4	0.3976	0.0307	0.0137	0.2296	0.0327	0.0146	1.8617	0.105	0.047
3	+++	5	0.2992	0.0221	0.0099	0.1312	0.0196	0.0087	1.7935	0.1103	0.0493
3	+++	6	0.3618	0.0398	0.0178	0.1938	0.0367	0.0164	1.8369	0.1289	0.0576
3	+++	7	0.2392	0.0159	0.0071	0.0712	0.0145	0.0065	1.7519	0.1121	0.0502
3	+++	8	0.3768	0.0341	0.0152	0.2088	0.0339	0.0152	1.8473	0.1137	0.0508
3	+++	9	0.3557	0.0183	0.0082	0.1877	0.0142	0.0064	1.8327	0.1142	0.0511
3	+++	10	0.4177	0.0443	0.0198	0.2496	0.0425	0.019	1.8756	0.1209	0.0541
3	+++	11	0.4421	0.0225	0.0101	0.2741	0.0212	0.0095	1.8926	0.1115	0.0499
3	+++	12	0.5061	0.0357	0.0159	0.338	0.0334	0.015	1.9369	0.1229	0.055
3	+++	13	0.4661	0.0284	0.0127	0.2981	0.031	0.0139	1.9092	0.0942	0.0421
3	+++	14	0.5199	0.0244	0.0109	0.3519	0.0251	0.0112	1.9465	0.106	0.0474
3	+++	15	0.4936	0.0233	0.0104	0.3256	0.023	0.0103	1.9283	0.1061	0.0474
3	+++	16	0.5308	0.023	0.0103	0.3628	0.0226	0.0101	1.9541	0.1105	0.0494
3	+++	17	0.6144	0.0357	0.016	0.4464	0.0354	0.0159	2.012	0.1069	0.0478
3	+++	18	0.5546	0.0231	0.0103	0.3866	0.0199	0.0089	1.9706	0.1179	0.0527
3	+++	19	0.571	0.0257	0.0115	0.403	0.0281	0.0126	1.9819	0.0979	0.0438
3	+++	20	0.5775	0.0345	0.0154	0.4095	0.031	0.0138	1.9865	0.125	0.0559
3	+++	21	0.6365	0.0416	0.0186	0.4685	0.0432	0.0193	2.0273	0.0941	0.0421
3	+++	22	0.6052	0.0221	0.0099	0.4372	0.0192	0.0086	2.0056	0.1145	0.0512
3	+++	23	0.6407	0.0186	0.0083	0.4727	0.0196	0.0088	2.0302	0.1024	0.0458
3	+++	24	0.5906	0.0254	0.0114	0.4226	0.0216	0.0097	1.9955	0.1186	0.053
3	+++	25	0.6579	0.0309	0.0138	0.4899	0.0306	0.0137	2.0421	0.1113	0.0498
3	+++	26	0.5796	0.0356	0.0159	0.4116	0.0315	0.0141	1.9879	0.1257	0.0562
3	+++	27	0.7131	0.0402	0.018	0.5451	0.0399	0.0178	2.0804	0.1078	0.0482
3	+++	28	0.5942	0.0363	0.0162	0.4262	0.0321	0.0144	1.998	0.1274	0.057
3	+++	29	0.659	0.0325	0.0145	0.491	0.0303	0.0135	2.0429	0.1185	0.053
3	+++	30	0.5826	0.03	0.0134	0.4146	0.0258	0.0115	1.99	0.1218	0.0545
3	+++	31	0.6572	0.0195	0.0087	0.4892	0.0176	0.0079	2.0417	0.1071	0.0479
3	+++	32	0.5764	0.0294	0.0131	0.4083	0.0256	0.0115	1.9856	0.1215	0.0543
3	+++	33	0.6572	0.0162	0.0073	0.4892	0.0147	0.0066	2.0417	0.1113	0.0498
3	+++	34	0.571	0.0307	0.0137	0.403	0.0268	0.012	1.9819	0.1225	0.0548
3	+++	35	0.6827	0.024	0.0107	0.5146	0.0206	0.0092	2.0593	0.1182	0.0529
3	+++	36	0.5759	0.04	0.0179	0.4079	0.0362	0.0162	1.9853	0.1279	0.0572
3	+++	37	0.6507	0.0258	0.0115	0.4827	0.024	0.0107	2.0371	0.1163	0.052
3	+++	38	0.5531	0.0357	0.016	0.3851	0.0318	0.0142	1.9695	0.1237	0.0553
3	+++	39	0.6466	0.0205	0.0092	0.4786	0.0178	0.008	2.0343	0.1152	0.0515
3	+++	40	0.565	0.0294	0.0131	0.397	0.0257	0.0115	1.9778	0.1211	0.0542
3	+++	41	0.6243	0.022	0.0098	0.4563	0.0216	0.0097	2.0189	0.111	0.0496
3	+++	42	0.5612	0.0309	0.0138	0.3932	0.027	0.0121	1.9751	0.1229	0.055
3	+++	43	0.6352	0.0237	0.0106	0.4672	0.0206	0.0092	2.0264	0.1172	0.0524
3	+++	44	0.5801	0.0285	0.0128	0.4121	0.0246	0.011	1.9882	0.1198	0.0536
3	+++	45	0.6374	0.0254	0.0113	0.4694	0.0241	0.0108	2.028	0.1136	0.0508
