motif_name	num_hits_total	num_hits_restricted	cwm_similarity
GATA	213403	177662	0.9951171875
AP1_1	58838	51077	0.99853515625
CREB_ATF_3	13629	11100	0.99365234375
CREB_ATF_1	10361	8724	0.96826171875
STAT_2	9607	7871	0.96044921875
CTCF	18122	16786	0.98583984375
GATA_TAL1	34367	27632	0.9794921875
ETS_1	49947	42198	0.9912109375
REPEAT_G	21910	18437	0.97509765625
