motif_counts	orientation_pattern	spacing	log2_fc_vs_baseline_mean	log2_fc_vs_baseline_std	log2_fc_vs_baseline_sem	log2_fc_vs_single_mean	log2_fc_vs_single_std	log2_fc_vs_single_sem	mean_prediction_mean	mean_prediction_std	mean_prediction_sem
3	+++	0	0.5594	0.102	0.0456	0.4172	0.0832	0.0372	5.3581	0.1979	0.0885
3	+++	1	0.1921	0.0742	0.0332	0.0499	0.0606	0.0271	5.1035	0.1935	0.0865
3	+++	2	0.1798	0.0485	0.0217	0.0376	0.0429	0.0192	5.095	0.1539	0.0688
3	+++	3	0.1477	0.0586	0.0262	0.0055	0.0543	0.0243	5.0727	0.1677	0.075
3	+++	4	0.1638	0.0217	0.0097	0.0217	0.0249	0.0112	5.0839	0.1608	0.0719
3	+++	5	0.1805	0.0194	0.0087	0.0383	0.0129	0.0058	5.0954	0.1631	0.0729
3	+++	6	0.1708	0.0395	0.0177	0.0286	0.0451	0.0201	5.0887	0.1576	0.0705
3	+++	7	0.1246	0.0456	0.0204	-0.0176	0.0428	0.0192	5.0567	0.1735	0.0776
3	+++	8	0.1758	0.0501	0.0224	0.0336	0.0475	0.0213	5.0922	0.1588	0.071
3	+++	9	0.204	0.0358	0.016	0.0618	0.0238	0.0107	5.1118	0.1773	0.0793
3	+++	10	0.2313	0.0388	0.0174	0.0891	0.0289	0.0129	5.1307	0.1706	0.0763
3	+++	11	0.2379	0.046	0.0206	0.0957	0.0375	0.0168	5.1352	0.1748	0.0782
3	+++	12	0.3079	0.0315	0.0141	0.1658	0.0159	0.0071	5.1838	0.1705	0.0763
3	+++	13	0.3067	0.0475	0.0213	0.1645	0.0341	0.0152	5.1829	0.1901	0.085
3	+++	14	0.3469	0.0558	0.025	0.2047	0.0429	0.0192	5.2108	0.1773	0.0793
3	+++	15	0.3559	0.0517	0.0231	0.2137	0.0359	0.0161	5.217	0.1825	0.0816
3	+++	16	0.4051	0.0712	0.0318	0.2629	0.0534	0.0239	5.2511	0.1893	0.0847
3	+++	17	0.4383	0.0786	0.0351	0.2961	0.0572	0.0256	5.2742	0.1984	0.0887
