motif_counts	orientation_pattern	spacing	log2_fc_vs_baseline_mean	log2_fc_vs_baseline_std	log2_fc_vs_baseline_sem	log2_fc_vs_single_mean	log2_fc_vs_single_std	log2_fc_vs_single_sem	mean_prediction_mean	mean_prediction_std	mean_prediction_sem
2	+-	9	0.3517	0.0269	0.012	0.1787	0.0241	0.0108	1.8411	0.1181	0.0528
2	+-	10	0.3704	0.033	0.0147	0.1973	0.0338	0.0151	1.854	0.093	0.0416
2	+-	11	0.3313	0.0183	0.0082	0.1582	0.0165	0.0074	1.8269	0.1118	0.05
2	+-	12	0.3743	0.0178	0.008	0.2012	0.0175	0.0078	1.8567	0.1052	0.047
2	+-	13	0.3392	0.0253	0.0113	0.1661	0.0221	0.0099	1.8324	0.1152	0.0515
2	+-	14	0.3588	0.0151	0.0068	0.1858	0.0171	0.0076	1.846	0.1044	0.0467
2	+-	15	0.3442	0.02	0.0089	0.1712	0.0171	0.0077	1.8359	0.1089	0.0487
2	+-	16	0.395	0.0188	0.0084	0.2219	0.0191	0.0085	1.8711	0.1058	0.0473
2	+-	17	0.3485	0.0229	0.0103	0.1755	0.0192	0.0086	1.8389	0.1115	0.0498
2	+-	18	0.3708	0.0171	0.0076	0.1978	0.0196	0.0088	1.8543	0.0998	0.0446
2	+-	19	0.337	0.0317	0.0142	0.164	0.0283	0.0126	1.8309	0.1193	0.0534
2	+-	20	0.3658	0.0152	0.0068	0.1928	0.0146	0.0065	1.8508	0.1067	0.0477
2	+-	21	0.3437	0.0245	0.011	0.1707	0.0209	0.0094	1.8355	0.1143	0.0511
2	+-	22	0.3859	0.0099	0.0044	0.2129	0.0096	0.0043	1.8648	0.1036	0.0464
2	+-	23	0.3457	0.0233	0.0104	0.1727	0.0197	0.0088	1.8369	0.1128	0.0505
2	+-	24	0.3963	0.0157	0.007	0.2232	0.0156	0.007	1.8719	0.1062	0.0475
2	+-	25	0.3623	0.0261	0.0117	0.1892	0.0225	0.0101	1.8484	0.1151	0.0515
2	+-	26	0.3981	0.0177	0.0079	0.225	0.0173	0.0078	1.8732	0.1055	0.0472
2	+-	27	0.3582	0.0252	0.0113	0.1852	0.0217	0.0097	1.8456	0.1152	0.0515
2	+-	28	0.4028	0.0231	0.0103	0.2298	0.0222	0.0099	1.8765	0.1129	0.0505
2	+-	29	0.3508	0.023	0.0103	0.1777	0.0195	0.0087	1.8404	0.1133	0.0507
2	+-	30	0.3743	0.0156	0.007	0.2012	0.0138	0.0062	1.8567	0.1083	0.0484
2	+-	31	0.3338	0.0268	0.012	0.1608	0.0232	0.0104	1.8287	0.1157	0.0517
2	+-	32	0.37	0.0155	0.0069	0.1969	0.0155	0.0069	1.8537	0.1054	0.0471
2	+-	33	0.3478	0.0283	0.0127	0.1748	0.0247	0.0111	1.8384	0.1167	0.0522
2	+-	34	0.3711	0.011	0.0049	0.198	0.0098	0.0044	1.8545	0.104	0.0465
2	+-	35	0.3474	0.0216	0.0097	0.1744	0.0183	0.0082	1.8381	0.1129	0.0505
2	+-	36	0.372	0.0194	0.0087	0.1989	0.02	0.009	1.8551	0.1076	0.0481
2	+-	37	0.3388	0.023	0.0103	0.1658	0.0196	0.0088	1.8321	0.1145	0.0512
2	+-	38	0.3751	0.012	0.0054	0.202	0.0111	0.0049	1.8573	0.1066	0.0477
2	+-	39	0.3437	0.0212	0.0095	0.1706	0.0178	0.008	1.8355	0.1132	0.0506
2	+-	40	0.3717	0.0202	0.009	0.1986	0.0197	0.0088	1.8549	0.1087	0.0486
2	+-	41	0.3472	0.0229	0.0102	0.1742	0.0195	0.0087	1.8379	0.1137	0.0509
2	+-	42	0.3704	0.0096	0.0043	0.1973	0.0089	0.004	1.854	0.1049	0.0469
2	+-	43	0.3516	0.0227	0.0102	0.1786	0.0194	0.0087	1.841	0.1132	0.0506
2	+-	44	0.3817	0.0193	0.0086	0.2086	0.0187	0.0084	1.8618	0.1095	0.049
2	+-	45	0.3476	0.0196	0.0088	0.1746	0.0161	0.0072	1.8382	0.111	0.0497
2	+-	46	0.3684	0.012	0.0054	0.1953	0.0106	0.0048	1.8526	0.1063	0.0475
2	+-	47	0.341	0.0195	0.0087	0.1679	0.0159	0.0071	1.8336	0.1113	0.0498
2	+-	48	0.3664	0.0193	0.0086	0.1934	0.0189	0.0085	1.8513	0.1073	0.048
2	+-	49	0.3423	0.0163	0.0073	0.1692	0.0128	0.0057	1.8345	0.1099	0.0491
2	+-	50	0.3682	0.0076	0.0034	0.1952	0.0073	0.0033	1.8525	0.104	0.0465
2	-+	0	0.2146	0.0517	0.0231	0.0415	0.0505	0.0226	1.746	0.1096	0.049
2	-+	1	0.264	0.0156	0.007	0.0909	0.015	0.0067	1.7803	0.1038	0.0464
2	-+	2	0.2359	0.0393	0.0176	0.0628	0.0379	0.0169	1.7608	0.1039	0.0465
2	-+	3	0.25	0.0418	0.0187	0.0769	0.0391	0.0175	1.7705	0.1271	0.0568
2	-+	4	0.203	0.0222	0.0099	0.03	0.0217	0.0097	1.738	0.1126	0.0503
2	-+	5	0.2088	0.0127	0.0057	0.0358	0.0126	0.0056	1.742	0.1067	0.0477
2	-+	6	0.1831	0.0364	0.0163	0.0101	0.035	0.0157	1.7242	0.1189	0.0532
2	-+	7	0.212	0.0223	0.01	0.0389	0.0195	0.0087	1.7442	0.108	0.0483
2	-+	8	0.1715	0.0181	0.0081	-0.0015	0.0183	0.0082	1.7162	0.1044	0.0467
2	-+	9	0.2309	0.0245	0.011	0.0579	0.027	0.0121	1.7573	0.1016	0.0455
2	-+	10	0.2544	0.0217	0.0097	0.0814	0.0237	0.0106	1.7736	0.0946	0.0423
2	-+	11	0.2636	0.0271	0.0121	0.0906	0.0299	0.0134	1.78	0.098	0.0438
2	-+	12	0.2622	0.0175	0.0078	0.0892	0.0202	0.009	1.779	0.1021	0.0456
2	-+	13	0.2787	0.031	0.0139	0.1057	0.0316	0.0141	1.7905	0.1086	0.0486
2	-+	14	0.2656	0.0412	0.0184	0.0926	0.0414	0.0185	1.7814	0.1153	0.0516
2	-+	15	0.3065	0.0181	0.0081	0.1334	0.0173	0.0077	1.8097	0.1073	0.048
2	-+	16	0.2592	0.036	0.0161	0.0861	0.0351	0.0157	1.7769	0.116	0.0519
2	-+	17	0.3216	0.0071	0.0032	0.1486	0.0048	0.0022	1.8202	0.1017	0.0455
2	-+	18	0.3341	0.0138	0.0062	0.161	0.0154	0.0069	1.8288	0.1061	0.0475
2	-+	19	0.3378	0.0149	0.0066	0.1647	0.0111	0.005	1.8314	0.1072	0.048
2	-+	20	0.3041	0.0126	0.0056	0.131	0.0136	0.0061	1.808	0.0971	0.0434
2	-+	21	0.3422	0.0208	0.0093	0.1692	0.0175	0.0078	1.8345	0.1133	0.0507
2	-+	22	0.362	0.0032	0.0014	0.1889	0.0053	0.0024	1.8482	0.0991	0.0443
2	-+	23	0.3356	0.0221	0.0099	0.1625	0.0193	0.0086	1.8299	0.1152	0.0515
2	-+	24	0.3466	0.0141	0.0063	0.1735	0.0131	0.0059	1.8375	0.1064	0.0476
2	-+	25	0.3633	0.0251	0.0112	0.1903	0.0216	0.0097	1.8491	0.1134	0.0507
2	-+	26	0.4184	0.0324	0.0145	0.2454	0.0326	0.0146	1.8873	0.1112	0.0497
2	-+	27	0.3687	0.0339	0.0151	0.1956	0.0303	0.0136	1.8528	0.1207	0.054
2	-+	28	0.4128	0.0233	0.0104	0.2397	0.0235	0.0105	1.8834	0.1042	0.0466
2	-+	29	0.3486	0.0326	0.0146	0.1755	0.0291	0.013	1.8389	0.1203	0.0538
2	-+	30	0.3984	0.0148	0.0066	0.2254	0.0148	0.0066	1.8735	0.1061	0.0475
2	-+	31	0.3365	0.023	0.0103	0.1634	0.0196	0.0088	1.8305	0.1144	0.0512
2	-+	32	0.3857	0.0154	0.0069	0.2126	0.0175	0.0078	1.8646	0.0976	0.0437
2	-+	33	0.3591	0.0265	0.0118	0.1861	0.0232	0.0104	1.8462	0.1173	0.0525
2	-+	34	0.4329	0.0204	0.0091	0.2599	0.0223	0.01	1.8974	0.1044	0.0467
2	-+	35	0.3675	0.0337	0.0151	0.1944	0.0303	0.0135	1.852	0.1193	0.0533
2	-+	36	0.4228	0.0143	0.0064	0.2497	0.0142	0.0064	1.8903	0.1055	0.0472
2	-+	37	0.373	0.0245	0.0109	0.1999	0.0209	0.0093	1.8558	0.1135	0.0507
2	-+	38	0.4229	0.0194	0.0087	0.2498	0.0201	0.009	1.8904	0.1029	0.046
2	-+	39	0.3775	0.0227	0.0102	0.2045	0.0192	0.0086	1.8589	0.114	0.051
2	-+	40	0.4385	0.0284	0.0127	0.2654	0.0299	0.0134	1.9012	0.0995	0.0445
2	-+	41	0.3651	0.0278	0.0124	0.192	0.0243	0.0109	1.8503	0.1169	0.0523
2	-+	42	0.4179	0.0198	0.0088	0.2448	0.0202	0.009	1.8869	0.1051	0.047
2	-+	43	0.3585	0.0317	0.0142	0.1854	0.0283	0.0127	1.8458	0.12	0.0537
2	-+	44	0.4172	0.0174	0.0078	0.2441	0.0176	0.0079	1.8864	0.1055	0.0472
2	-+	45	0.361	0.0275	0.0123	0.188	0.0239	0.0107	1.8475	0.1164	0.052
2	-+	46	0.4028	0.0156	0.007	0.2298	0.0142	0.0064	1.8765	0.1045	0.0467
2	-+	47	0.3591	0.0228	0.0102	0.186	0.0192	0.0086	1.8462	0.1132	0.0506
2	-+	48	0.3979	0.0105	0.0047	0.2249	0.0116	0.0052	1.8731	0.0998	0.0446
2	-+	49	0.3393	0.0251	0.0112	0.1662	0.0217	0.0097	1.8324	0.1142	0.0511
2	-+	50	0.3907	0.0104	0.0047	0.2177	0.0106	0.0048	1.8681	0.1022	0.0457
