peak_id	pos_patterns.pattern_0	pos_patterns.pattern_3	pos_patterns.pattern_9	pos_patterns.pattern_2	pos_patterns.pattern_1	pos_patterns.pattern_4	pos_patterns.pattern_8	pos_patterns.pattern_11	pos_patterns.pattern_7	pos_patterns.pattern_10	pos_patterns.pattern_5	pos_patterns.pattern_6	total
91	4	0	0	0	0	0	0	0	0	0	0	0	4
93	0	0	0	2	1	0	0	0	0	0	0	0	3
94	0	0	0	1	0	0	1	0	0	0	0	0	2
95	2	0	0	0	0	0	0	0	0	0	0	0	2
97	2	0	0	0	0	0	0	0	0	0	0	0	2
98	1	0	0	0	3	0	0	0	0	0	0	0	4
99	0	0	0	0	0	0	1	0	0	0	0	0	1
100	0	0	0	0	1	0	0	0	0	0	0	0	1
101	2	0	0	0	1	0	0	1	0	0	0	0	4
102	1	0	0	0	0	0	0	1	0	0	0	0	2
103	2	0	0	0	0	0	0	1	0	0	0	0	3
104	0	0	0	2	0	0	0	0	0	0	0	0	2
106	0	1	0	0	0	0	0	0	0	0	0	0	1
107	0	0	0	1	0	0	0	0	0	0	0	0	1
108	1	0	0	0	0	0	0	0	0	0	0	0	1
109	1	0	0	0	0	0	0	0	0	0	0	0	1
110	1	0	0	0	1	0	0	0	0	0	0	0	2
111	2	0	0	1	0	0	0	0	0	0	0	0	3
112	2	0	0	1	0	0	0	0	0	0	0	0	3
113	1	0	1	1	0	0	0	0	0	0	0	0	3
114	0	0	0	0	0	1	0	0	0	0	0	0	1
115	1	0	1	0	0	0	0	0	0	0	0	0	2
116	1	0	0	1	2	0	0	0	0	0	0	0	4
117	2	0	0	0	0	0	0	0	0	0	0	0	2
119	0	0	0	0	0	0	0	1	0	0	0	0	1
120	1	0	0	0	1	0	0	0	1	0	0	0	3
121	1	0	0	0	0	0	0	0	0	0	0	0	1
122	2	0	0	0	0	0	0	0	0	0	0	0	2
123	3	0	0	0	0	0	0	0	0	0	0	0	3
124	0	1	0	0	0	0	0	0	0	0	0	0	1
125	1	0	0	0	1	0	0	0	0	0	0	0	2
126	0	0	0	0	1	0	0	2	0	0	0	0	3
127	2	0	0	0	0	0	0	1	0	0	0	0	3
128	1	0	0	0	1	0	0	1	0	0	0	0	3
129	1	0	0	0	0	0	0	0	0	0	0	0	1
130	0	0	1	0	0	0	0	0	0	0	0	0	1
