motif_counts	orientation_pattern	spacing	log2_fc_vs_baseline_mean	log2_fc_vs_baseline_std	log2_fc_vs_baseline_sem	log2_fc_vs_single_mean	log2_fc_vs_single_std	log2_fc_vs_single_sem	mean_prediction_mean	mean_prediction_std	mean_prediction_sem
4	++++	0	0.4316	0.1234	0.0552	0.2993	0.1075	0.0481	5.2838	0.1973	0.0882
4	++++	1	0.1113	0.0972	0.0435	-0.021	0.0938	0.0419	5.0617	0.1876	0.0839
4	++++	2	0.1104	0.0742	0.0332	-0.0219	0.0733	0.0328	5.0611	0.1359	0.0608
4	++++	3	0.1015	0.0936	0.0419	-0.0308	0.092	0.0411	5.055	0.1712	0.0765
4	++++	4	0.134	0.0438	0.0196	0.0017	0.0515	0.023	5.0775	0.1599	0.0715
4	++++	5	0.1519	0.0219	0.0098	0.0196	0.0196	0.0088	5.0899	0.1599	0.0715
4	++++	6	0.1491	0.0664	0.0297	0.0168	0.0735	0.0329	5.088	0.1575	0.0705
4	++++	7	0.1144	0.0723	0.0323	-0.0179	0.0729	0.0326	5.0639	0.1827	0.0817
4	++++	8	0.1896	0.0771	0.0345	0.0574	0.0755	0.0338	5.1161	0.1611	0.072
4	++++	9	0.2041	0.052	0.0232	0.0718	0.0472	0.0211	5.1261	0.1869	0.0836
4	++++	10	0.2779	0.0625	0.028	0.1456	0.0593	0.0265	5.1772	0.1703	0.0762
4	++++	11	0.2761	0.0663	0.0297	0.1438	0.0624	0.0279	5.176	0.1788	0.0799
4	++++	12	0.3786	0.0417	0.0187	0.2463	0.0377	0.0168	5.247	0.1705	0.0762
4	++++	13	0.3808	0.0645	0.0288	0.2485	0.0579	0.0259	5.2485	0.1984	0.0887
4	++++	14	0.4338	0.0793	0.0355	0.3015	0.0687	0.0307	5.2853	0.1845	0.0825
4	++++	15	0.4723	0.0695	0.0311	0.34	0.0576	0.0257	5.312	0.1923	0.086
4	++++	16	0.5199	0.0997	0.0446	0.3876	0.0883	0.0395	5.345	0.1931	0.0864
4	++++	17	0.5994	0.11	0.0492	0.4671	0.0925	0.0414	5.4001	0.218	0.0975
4	++++	18	0.5771	0.0829	0.0371	0.4448	0.0678	0.0303	5.3846	0.1987	0.0889
4	++++	19	0.6159	0.1072	0.0479	0.4836	0.0903	0.0404	5.4115	0.2157	0.0965
4	++++	20	0.6688	0.1031	0.0461	0.5365	0.0853	0.0381	5.4482	0.2138	0.0956
4	++++	21	0.7054	0.0995	0.0445	0.5731	0.0814	0.0364	5.4735	0.2041	0.0913
4	++++	22	0.6918	0.0889	0.0398	0.5595	0.0716	0.032	5.4642	0.2134	0.0954
4	++++	23	0.6877	0.0954	0.0427	0.5554	0.077	0.0345	5.4613	0.2095	0.0937
4	++++	24	0.7227	0.0987	0.0441	0.5904	0.0806	0.036	5.4855	0.2147	0.096
4	++++	25	0.7389	0.0827	0.037	0.6066	0.0641	0.0287	5.4968	0.2016	0.0902
4	++++	26	0.7351	0.1267	0.0566	0.6028	0.109	0.0488	5.4941	0.238	0.1064
4	++++	27	0.7914	0.0923	0.0413	0.6591	0.0739	0.0331	5.5332	0.2116	0.0946
4	++++	28	0.7252	0.1217	0.0544	0.5929	0.1044	0.0467	5.4873	0.2351	0.1051
4	++++	29	0.7508	0.107	0.0478	0.6185	0.0882	0.0394	5.505	0.2179	0.0975
4	++++	30	0.7495	0.0982	0.0439	0.6173	0.0801	0.0358	5.5042	0.2165	0.0968
4	++++	31	0.7757	0.1094	0.0489	0.6434	0.0912	0.0408	5.5223	0.2222	0.0994
4	++++	32	0.7344	0.0975	0.0436	0.6022	0.0798	0.0357	5.4937	0.2175	0.0973
4	++++	33	0.7651	0.1076	0.0481	0.6328	0.0894	0.04	5.5149	0.2182	0.0976
