motif_counts	orientation_pattern	spacing	log2_fc_vs_baseline_mean	log2_fc_vs_baseline_std	log2_fc_vs_baseline_sem	log2_fc_vs_single_mean	log2_fc_vs_single_std	log2_fc_vs_single_sem	mean_prediction_mean	mean_prediction_std	mean_prediction_sem
2	+-	9	0.7216	0.0631	0.0282	0.4371	0.0659	0.0295	2.0889	0.0809	0.0362
2	+-	10	0.5733	0.0455	0.0204	0.2888	0.0297	0.0133	1.9861	0.1214	0.0543
2	+-	11	0.6375	0.0449	0.0201	0.353	0.0412	0.0184	2.0306	0.0923	0.0413
2	+-	12	0.5899	0.0284	0.0127	0.3054	0.0129	0.0058	1.9976	0.1113	0.0498
2	+-	13	0.6398	0.0426	0.0191	0.3553	0.045	0.0201	2.0322	0.0845	0.0378
2	+-	14	0.5816	0.0442	0.0198	0.2971	0.0295	0.0132	1.9919	0.1109	0.0496
2	+-	15	0.6552	0.0403	0.018	0.3708	0.0258	0.0115	2.0429	0.1102	0.0493
2	+-	16	0.5844	0.0368	0.0165	0.2999	0.0216	0.0096	1.9938	0.1108	0.0495
2	+-	17	0.6205	0.0306	0.0137	0.336	0.0235	0.0105	2.0188	0.097	0.0434
2	+-	18	0.5901	0.0419	0.0188	0.3056	0.0284	0.0127	1.9978	0.1141	0.051
2	+-	19	0.6527	0.0391	0.0175	0.3683	0.0261	0.0117	2.0412	0.1063	0.0476
2	+-	20	0.5832	0.0354	0.0158	0.2987	0.0206	0.0092	1.993	0.1089	0.0487
2	+-	21	0.6221	0.0291	0.013	0.3376	0.0212	0.0095	2.0199	0.1019	0.0456
2	+-	22	0.5552	0.0386	0.0173	0.2707	0.0243	0.0109	1.9735	0.1116	0.0499
2	+-	23	0.6346	0.0413	0.0185	0.3501	0.0265	0.0119	2.0286	0.112	0.0501
2	+-	24	0.5898	0.0361	0.0161	0.3053	0.022	0.0099	1.9975	0.1077	0.0482
2	+-	25	0.6905	0.0412	0.0184	0.406	0.0278	0.0124	2.0674	0.1165	0.0521
2	+-	26	0.5873	0.0401	0.0179	0.3028	0.0248	0.0111	1.9958	0.113	0.0506
2	+-	27	0.626	0.0398	0.0178	0.3416	0.0257	0.0115	2.0227	0.1113	0.0498
2	+-	28	0.5758	0.0337	0.0151	0.2914	0.0186	0.0083	1.9879	0.1106	0.0495
2	+-	29	0.6442	0.0271	0.0121	0.3597	0.021	0.0094	2.0352	0.0983	0.0439
2	+-	30	0.5694	0.0408	0.0183	0.2849	0.0252	0.0113	1.9834	0.1131	0.0506
2	+-	31	0.6346	0.0462	0.0206	0.3501	0.0326	0.0146	2.0286	0.1137	0.0509
2	+-	32	0.5872	0.0306	0.0137	0.3028	0.0161	0.0072	1.9958	0.1083	0.0484
2	+-	33	0.653	0.0318	0.0142	0.3685	0.022	0.0098	2.0413	0.1011	0.0452
2	+-	34	0.5705	0.039	0.0174	0.286	0.0232	0.0104	1.9841	0.1145	0.0512
2	+-	35	0.6104	0.0396	0.0177	0.3259	0.0249	0.0111	2.0118	0.112	0.0501
2	+-	36	0.5691	0.036	0.0161	0.2846	0.0198	0.0089	1.9832	0.1137	0.0508
2	+-	37	0.6356	0.037	0.0166	0.3511	0.0264	0.0118	2.0293	0.1005	0.0449
2	+-	38	0.5817	0.043	0.0192	0.2972	0.0285	0.0128	1.9919	0.1108	0.0496
