motif_counts	orientation_pattern	spacing	log2_fc_vs_baseline_mean	log2_fc_vs_baseline_std	log2_fc_vs_baseline_sem	log2_fc_vs_single_mean	log2_fc_vs_single_std	log2_fc_vs_single_sem	mean_prediction_mean	mean_prediction_std	mean_prediction_sem	log2_fc_vs_single_GATA_mean	log2_fc_vs_single_GATA_std	log2_fc_vs_single_GATA_sem	log2_fc_vs_single_REST_mean	log2_fc_vs_single_REST_std	log2_fc_vs_single_REST_sem
2	++	37	0.1526	0.0097	0.0043	0.0653	0.007	0.0031	1.7091	0.1031	0.0461	-0.0123	0.0092	0.0041	0.1429	0.0056	0.0025
2	++	38	0.1463	0.011	0.0049	0.0589	0.0074	0.0033	1.7047	0.1045	0.0467	-0.0187	0.0095	0.0043	0.1366	0.0061	0.0027
2	++	39	0.1465	0.0101	0.0045	0.0591	0.0081	0.0036	1.7048	0.1025	0.0458	-0.0185	0.0105	0.0047	0.1367	0.0061	0.0027
2	++	40	0.1669	0.0111	0.005	0.0795	0.0075	0.0034	1.7189	0.1049	0.0469	0.0019	0.0098	0.0044	0.1571	0.0059	0.0026
2	++	41	0.1672	0.0071	0.0032	0.0799	0.0038	0.0017	1.7192	0.104	0.0465	0.0022	0.0065	0.0029	0.1575	0.002	0.0009
2	++	42	0.1647	0.0114	0.0051	0.0773	0.0071	0.0032	1.7174	0.1062	0.0475	-0.0003	0.0085	0.0038	0.155	0.0069	0.0031
2	++	43	0.1612	0.0097	0.0043	0.0738	0.0059	0.0027	1.715	0.1048	0.0469	-0.0038	0.0077	0.0034	0.1515	0.0054	0.0024
2	++	44	0.163	0.0083	0.0037	0.0756	0.0039	0.0018	1.7162	0.1056	0.0472	-0.002	0.005	0.0023	0.1532	0.0048	0.0022
2	++	45	0.164	0.0075	0.0033	0.0767	0.0043	0.0019	1.717	0.1043	0.0466	-0.0009	0.0061	0.0027	0.1543	0.0043	0.0019
2	++	46	0.1692	0.0121	0.0054	0.0819	0.0077	0.0034	1.7206	0.1068	0.0478	0.0043	0.0091	0.0041	0.1595	0.0073	0.0033
2	++	47	0.1691	0.0078	0.0035	0.0817	0.0041	0.0018	1.7205	0.1044	0.0467	0.0041	0.0066	0.0029	0.1593	0.0029	0.0013
2	++	48	0.1669	0.0091	0.0041	0.0795	0.0057	0.0026	1.719	0.1045	0.0467	0.0019	0.0072	0.0032	0.1572	0.0057	0.0025
