motif_counts	orientation_pattern	spacing	log2_fc_vs_baseline_mean	log2_fc_vs_baseline_std	log2_fc_vs_baseline_sem	log2_fc_vs_single_mean	log2_fc_vs_single_std	log2_fc_vs_single_sem	mean_prediction_mean	mean_prediction_std	mean_prediction_sem	log2_fc_vs_single_GATA_mean	log2_fc_vs_single_GATA_std	log2_fc_vs_single_GATA_sem	log2_fc_vs_single_REST_mean	log2_fc_vs_single_REST_std	log2_fc_vs_single_REST_sem
2	--	5	0.2381	0.0284	0.0127	0.1508	0.0285	0.0127	1.7683	0.1086	0.0486	0.0732	0.0286	0.0128	0.2284	0.0287	0.0128
2	--	6	0.1616	0.0254	0.0114	0.0742	0.0218	0.0098	1.7153	0.1113	0.0498	-0.0034	0.0223	0.01	0.1518	0.0218	0.0097
2	--	7	0.156	0.0187	0.0084	0.0687	0.0202	0.009	1.7114	0.0952	0.0426	-0.0089	0.0212	0.0095	0.1463	0.0196	0.0087
2	--	8	0.1796	0.0263	0.0117	0.0922	0.024	0.0107	1.7278	0.1021	0.0457	0.0146	0.026	0.0116	0.1699	0.0222	0.0099
2	--	9	0.2008	0.0265	0.0118	0.1135	0.0295	0.0132	1.7425	0.0896	0.0401	0.0359	0.0299	0.0134	0.1911	0.0294	0.0132
2	--	10	0.191	0.0203	0.0091	0.1036	0.0167	0.0075	1.7356	0.1119	0.05	0.026	0.0157	0.007	0.1812	0.0181	0.0081
2	--	11	0.2118	0.0139	0.0062	0.1244	0.0135	0.006	1.7501	0.1025	0.0458	0.0468	0.0145	0.0065	0.202	0.0131	0.0059
2	--	12	0.2573	0.0181	0.0081	0.17	0.019	0.0085	1.7816	0.0973	0.0435	0.0924	0.0197	0.0088	0.2476	0.0187	0.0084
2	--	13	0.2207	0.0075	0.0033	0.1334	0.0076	0.0034	1.7563	0.1019	0.0456	0.0558	0.0083	0.0037	0.211	0.008	0.0036
2	--	14	0.2105	0.0239	0.0107	0.1232	0.0212	0.0095	1.7492	0.1063	0.0475	0.0455	0.0219	0.0098	0.2008	0.0209	0.0093
2	--	15	0.1896	0.0201	0.009	0.1022	0.0179	0.008	1.7347	0.1031	0.0461	0.0246	0.0197	0.0088	0.1798	0.0164	0.0073
2	--	16	0.1949	0.0111	0.005	0.1076	0.0067	0.003	1.7384	0.1076	0.0481	0.0299	0.0068	0.003	0.1852	0.0079	0.0035
2	--	17	0.1867	0.0104	0.0047	0.0993	0.0067	0.003	1.7327	0.1046	0.0468	0.0217	0.0087	0.0039	0.177	0.0056	0.0025
2	--	18	0.1856	0.0122	0.0055	0.0983	0.0089	0.004	1.732	0.1044	0.0467	0.0207	0.0106	0.0048	0.1759	0.0079	0.0036
2	--	19	0.1817	0.009	0.004	0.0943	0.0046	0.0021	1.7292	0.1055	0.0472	0.0167	0.0064	0.0028	0.172	0.0045	0.002
2	--	20	0.1994	0.0145	0.0065	0.112	0.0111	0.005	1.7415	0.1047	0.0468	0.0344	0.013	0.0058	0.1897	0.0098	0.0044
2	--	21	0.1994	0.0079	0.0035	0.1121	0.0059	0.0026	1.7415	0.1028	0.046	0.0345	0.008	0.0036	0.1897	0.0049	0.0022
2	--	22	0.1774	0.0144	0.0064	0.09	0.0105	0.0047	1.7262	0.1065	0.0476	0.0124	0.012	0.0054	0.1677	0.0099	0.0044
2	--	23	0.1747	0.0149	0.0067	0.0873	0.0125	0.0056	1.7244	0.1026	0.0459	0.0097	0.0148	0.0066	0.165	0.0105	0.0047
2	--	24	0.1748	0.0174	0.0078	0.0874	0.0144	0.0064	1.7244	0.1041	0.0466	0.0098	0.0162	0.0072	0.1651	0.0131	0.0059
2	--	25	0.1765	0.0111	0.0049	0.0892	0.0101	0.0045	1.7256	0.0999	0.0447	0.0115	0.0126	0.0056	0.1668	0.0081	0.0036
2	--	26	0.1729	0.0148	0.0066	0.0856	0.0106	0.0048	1.7231	0.1065	0.0476	0.008	0.0125	0.0056	0.1632	0.0093	0.0042
2	--	27	0.1674	0.0121	0.0054	0.08	0.0089	0.004	1.7193	0.1052	0.0471	0.0024	0.0105	0.0047	0.1576	0.0082	0.0037
2	--	28	0.1734	0.0127	0.0057	0.086	0.0102	0.0046	1.7235	0.1029	0.046	0.0084	0.0123	0.0055	0.1636	0.0086	0.0038
2	--	29	0.1764	0.0101	0.0045	0.0891	0.0086	0.0038	1.7256	0.1013	0.0453	0.0115	0.0112	0.005	0.1667	0.0064	0.0029
2	--	30	0.1717	0.0167	0.0075	0.0843	0.0125	0.0056	1.7223	0.1074	0.048	0.0067	0.014	0.0063	0.162	0.0116	0.0052
2	--	31	0.1641	0.0122	0.0055	0.0767	0.0099	0.0044	1.717	0.1031	0.0461	-0.0009	0.0115	0.0051	0.1544	0.009	0.004
2	--	32	0.1582	0.0137	0.0061	0.0709	0.0098	0.0044	1.7129	0.1062	0.0475	-0.0067	0.011	0.0049	0.1485	0.0095	0.0043
2	--	33	0.1562	0.0096	0.0043	0.0688	0.0072	0.0032	1.7115	0.1035	0.0463	-0.0088	0.0085	0.0038	0.1464	0.0071	0.0032
2	--	34	0.1779	0.0139	0.0062	0.0906	0.011	0.0049	1.7266	0.1036	0.0464	0.013	0.0129	0.0058	0.1682	0.0098	0.0044
2	--	35	0.169	0.0105	0.0047	0.0817	0.008	0.0036	1.7204	0.1026	0.0459	0.0041	0.0104	0.0046	0.1593	0.0062	0.0028
2	--	36	0.1566	0.0136	0.0061	0.0692	0.0109	0.0049	1.7118	0.1029	0.046	-0.0084	0.013	0.0058	0.1469	0.0093	0.0042
2	--	37	0.1544	0.01	0.0045	0.067	0.0092	0.0041	1.7103	0.1006	0.045	-0.0106	0.0112	0.005	0.1446	0.0078	0.0035
2	--	38	0.1589	0.0143	0.0064	0.0715	0.0103	0.0046	1.7134	0.1061	0.0475	-0.0061	0.0119	0.0053	0.1492	0.0095	0.0043
2	--	39	0.1628	0.0134	0.006	0.0754	0.011	0.0049	1.7161	0.1033	0.0462	-0.0022	0.0127	0.0057	0.153	0.01	0.0045
2	--	40	0.1584	0.0122	0.0054	0.071	0.0085	0.0038	1.7131	0.1048	0.0469	-0.0066	0.0108	0.0048	0.1487	0.0068	0.003
2	--	41	0.1591	0.0071	0.0032	0.0718	0.0039	0.0017	1.7136	0.1038	0.0464	-0.0058	0.0064	0.0029	0.1494	0.0026	0.0012
2	--	42	0.1588	0.0146	0.0065	0.0715	0.0104	0.0046	1.7134	0.1081	0.0484	-0.0061	0.0118	0.0053	0.1491	0.0097	0.0043
2	--	43	0.1553	0.0111	0.005	0.068	0.0081	0.0036	1.7109	0.1042	0.0466	-0.0097	0.0103	0.0046	0.1456	0.0067	0.003
2	--	44	0.1655	0.0102	0.0046	0.0781	0.0069	0.0031	1.718	0.104	0.0465	0.0005	0.0088	0.004	0.1558	0.006	0.0027
2	--	45	0.1675	0.0059	0.0026	0.0802	0.0031	0.0014	1.7194	0.104	0.0465	0.0026	0.0048	0.0022	0.1578	0.0037	0.0017
2	--	46	0.1608	0.0128	0.0057	0.0735	0.0085	0.0038	1.7148	0.1066	0.0477	-0.0041	0.0104	0.0046	0.1511	0.0073	0.0033
2	--	47	0.156	0.0095	0.0042	0.0687	0.0072	0.0032	1.7114	0.1028	0.046	-0.0089	0.0099	0.0044	0.1463	0.005	0.0023
2	--	48	0.1472	0.0126	0.0056	0.0599	0.0087	0.0039	1.7053	0.1053	0.0471	-0.0177	0.0108	0.0048	0.1375	0.0072	0.0032
2	--	49	0.1432	0.0093	0.0041	0.0558	0.0063	0.0028	1.7025	0.1036	0.0463	-0.0218	0.0084	0.0037	0.1334	0.0053	0.0024
2	--	50	0.1601	0.0144	0.0064	0.0727	0.01	0.0045	1.7142	0.1075	0.0481	-0.0049	0.0113	0.005	0.1503	0.0095	0.0042
