motif_name	num_hits_total	num_hits_restricted	cwm_similarity
GATA	190880	163265	0.99755859375
AP1_1	59265	52340	0.99658203125
CREB_ATF_3	10918	9248	0.9912109375
CREB_ATF_1	4444	3929	0.97705078125
STAT_2	12692	10506	0.92236328125
CTCF	4906	4581	0.92626953125
GATA_TAL1	35503	29555	0.97900390625
ETS_1	26319	22808	0.9873046875
REPEAT_G	52864	43743	0.95458984375
