motif_name	num_hits_total	num_hits_restricted	num_seqlets	num_overlaps	num_seqlets_only	num_hits_restricted_only	seqlet_recall	cwm_similarity
pos_patterns.pattern_0	140193	119535	45316	40511	4805	79024	0.8939668108394386	0.99853515625
pos_patterns.pattern_1	59491	52524	17776	17426	350	35098	0.9803105310531053	0.99853515625
pos_patterns.pattern_2	98051	80550	3771	3194	577	77356	0.8469901882789711	0.99462890625
pos_patterns.pattern_3	12842	10966	3329	3141	188	7825	0.9435265845599279	0.998046875
pos_patterns.pattern_4	19404	16077	2708	2624	84	13453	0.9689807976366323	0.99658203125
pos_patterns.pattern_5	36134	29850	1060	885	175	28965	0.8349056603773585	0.98583984375
pos_patterns.pattern_6	8	5	753	1	752	4	0.0013280212483399733	0.86181640625
pos_patterns.pattern_7	0	0	709	0	709	0	0.0	NaN
pos_patterns.pattern_8	2752	2343	374	98	276	2245	0.2620320855614973	0.958984375
pos_patterns.pattern_9	6664	5680	215	171	44	5509	0.7953488372093023	0.8837890625
pos_patterns.pattern_10	18298	15863	183	171	12	15692	0.9344262295081968	0.97802734375
pos_patterns.pattern_11	943	814	106	14	92	800	0.1320754716981132	0.89794921875
pos_patterns.pattern_12	0	0	68	0	68	0	0.0	NaN
pos_patterns.pattern_13	0	0	45	0	45	0	0.0	NaN
pos_patterns.pattern_14	765	633	35	34	1	599	0.9714285714285714	0.9619140625
pos_patterns.pattern_15	21	4	33	0	33	4	0.0	0.875
pos_patterns.pattern_16	71	63	25	18	7	45	0.72	0.98388671875
