motif_counts	orientation_pattern	spacing	log2_fc_vs_baseline_mean	log2_fc_vs_baseline_std	log2_fc_vs_baseline_sem	log2_fc_vs_single_mean	log2_fc_vs_single_std	log2_fc_vs_single_sem	mean_prediction_mean	mean_prediction_std	mean_prediction_sem
2	++	0	0.6051	0.0183	0.0082	0.4215	0.0139	0.0062	1.8241	0.1001	0.0448
2	++	1	0.4193	0.0457	0.0204	0.2356	0.0342	0.0153	1.6953	0.1065	0.0476
2	++	2	0.3567	0.0425	0.019	0.1731	0.0297	0.0133	1.6519	0.1136	0.0508
2	++	3	0.3682	0.019	0.0085	0.1846	0.0103	0.0046	1.6599	0.0966	0.0432
2	++	4	0.3387	0.0359	0.0161	0.1551	0.0247	0.011	1.6395	0.1141	0.051
2	++	5	0.337	0.0442	0.0198	0.1533	0.0315	0.0141	1.6383	0.1113	0.0498
2	++	6	0.2958	0.0172	0.0077	0.1122	0.0096	0.0043	1.6097	0.1008	0.0451
2	++	7	0.3021	0.027	0.0121	0.1185	0.0171	0.0076	1.6141	0.1106	0.0495
2	++	8	0.396	0.0265	0.0118	0.2124	0.0161	0.0072	1.6792	0.1061	0.0475
2	++	9	0.3389	0.0335	0.015	0.1553	0.0233	0.0104	1.6396	0.1148	0.0513
2	++	10	0.3641	0.032	0.0143	0.1805	0.0208	0.0093	1.6571	0.1141	0.051
2	++	11	0.4291	0.0299	0.0134	0.2455	0.0208	0.0093	1.7021	0.1137	0.0508
2	++	12	0.386	0.0277	0.0124	0.2024	0.0183	0.0082	1.6723	0.1124	0.0502
2	++	13	0.4076	0.0385	0.0172	0.224	0.0277	0.0124	1.6872	0.1161	0.0519
2	++	14	0.3892	0.0258	0.0115	0.2056	0.0128	0.0057	1.6745	0.1056	0.0472
2	++	15	0.4249	0.0285	0.0127	0.2413	0.021	0.0094	1.6992	0.1077	0.0481
2	++	16	0.3836	0.0314	0.014	0.2	0.0196	0.0087	1.6706	0.1108	0.0496
2	++	17	0.4237	0.0365	0.0163	0.2401	0.0243	0.0109	1.6984	0.1149	0.0514
2	++	18	0.3981	0.0312	0.0139	0.2145	0.0188	0.0084	1.6807	0.1115	0.0498
2	++	19	0.4476	0.0249	0.0111	0.264	0.0176	0.0079	1.715	0.1062	0.0475
2	++	20	0.4061	0.029	0.013	0.2225	0.0161	0.0072	1.6862	0.1091	0.0488
2	++	21	0.4267	0.0344	0.0154	0.2431	0.022	0.0098	1.7005	0.111	0.0496
2	++	22	0.3843	0.0289	0.0129	0.2006	0.0164	0.0074	1.671	0.11	0.0492
2	++	23	0.4131	0.0276	0.0123	0.2295	0.0165	0.0074	1.6911	0.1078	0.0482
2	++	24	0.3708	0.0297	0.0133	0.1872	0.0172	0.0077	1.6617	0.1101	0.0492
2	++	25	0.4155	0.0357	0.0159	0.2319	0.0231	0.0103	1.6927	0.1114	0.0498
2	++	26	0.4009	0.0298	0.0133	0.2173	0.0169	0.0076	1.6826	0.1093	0.0489
2	++	27	0.4323	0.023	0.0103	0.2487	0.0123	0.0055	1.7043	0.1038	0.0464
2	++	28	0.3983	0.0303	0.0136	0.2147	0.0175	0.0078	1.6808	0.1084	0.0485
2	++	29	0.4289	0.0378	0.0169	0.2453	0.0251	0.0112	1.702	0.1114	0.0498
2	++	30	0.3992	0.0301	0.0134	0.2156	0.0176	0.0079	1.6814	0.11	0.0492
2	++	31	0.4214	0.0215	0.0096	0.2378	0.0095	0.0043	1.6968	0.1035	0.0463
2	++	32	0.392	0.0264	0.0118	0.2084	0.0141	0.0063	1.6764	0.1078	0.0482
2	++	33	0.4052	0.0318	0.0142	0.2215	0.0197	0.0088	1.6855	0.1102	0.0493
2	++	34	0.3841	0.0318	0.0142	0.2004	0.0193	0.0086	1.6709	0.1107	0.0495
2	++	35	0.4106	0.023	0.0103	0.227	0.0127	0.0057	1.6893	0.1034	0.0462
2	++	36	0.3994	0.0275	0.0123	0.2157	0.0146	0.0065	1.6815	0.1079	0.0483
2	++	37	0.4146	0.0295	0.0132	0.231	0.0169	0.0076	1.6921	0.1079	0.0482
2	++	38	0.3827	0.03	0.0134	0.1991	0.0173	0.0077	1.67	0.1097	0.0491
2	++	39	0.408	0.0237	0.0106	0.2244	0.0112	0.005	1.6875	0.105	0.047
2	++	40	0.3928	0.0281	0.0126	0.2092	0.0152	0.0068	1.677	0.1081	0.0483
2	++	41	0.4036	0.0275	0.0123	0.22	0.0145	0.0065	1.6845	0.106	0.0474
2	++	42	0.3831	0.029	0.013	0.1995	0.0162	0.0072	1.6703	0.1084	0.0485
2	++	43	0.3975	0.0216	0.0097	0.2139	0.0091	0.0041	1.6802	0.1043	0.0467
2	++	44	0.3828	0.0299	0.0134	0.1992	0.017	0.0076	1.6701	0.1089	0.0487
2	++	45	0.4059	0.0324	0.0145	0.2223	0.0197	0.0088	1.6861	0.1092	0.0488
2	++	46	0.3975	0.0305	0.0136	0.2139	0.0175	0.0078	1.6802	0.1088	0.0487
2	++	47	0.4005	0.0205	0.0092	0.2169	0.0079	0.0035	1.6823	0.1028	0.046
2	++	48	0.3839	0.0252	0.0113	0.2003	0.012	0.0054	1.6708	0.1059	0.0473
2	++	49	0.3939	0.0269	0.012	0.2103	0.0139	0.0062	1.6777	0.1049	0.0469
2	++	50	0.3794	0.0285	0.0128	0.1958	0.0154	0.0069	1.6677	0.1069	0.0478
2	+-	0	0.1511	0.0241	0.0108	-0.0325	0.0201	0.009	1.5095	0.0994	0.0445
2	+-	1	0.2182	0.0229	0.0102	0.0346	0.0127	0.0057	1.556	0.1009	0.0451
2	+-	2	0.4211	0.0339	0.0152	0.2375	0.0234	0.0105	1.6966	0.1086	0.0486
2	+-	3	0.4167	0.0336	0.015	0.2331	0.0251	0.0112	1.6936	0.1163	0.052
2	+-	4	0.4654	0.0433	0.0194	0.2818	0.0324	0.0145	1.7273	0.0994	0.0445
2	+-	5	0.3947	0.0245	0.011	0.2111	0.0208	0.0093	1.6783	0.1067	0.0477
2	+-	6	0.3999	0.0316	0.0141	0.2163	0.0185	0.0083	1.6819	0.1069	0.0478
