motif_counts	orientation_pattern	spacing	log2_fc_vs_baseline_mean	log2_fc_vs_baseline_std	log2_fc_vs_baseline_sem	log2_fc_vs_single_mean	log2_fc_vs_single_std	log2_fc_vs_single_sem	mean_prediction_mean	mean_prediction_std	mean_prediction_sem
2	+-	10	0.375	0.024	0.0107	0.1719	0.0132	0.0059	1.3474	0.1179	0.0527
2	+-	11	0.3803	0.0227	0.0102	0.1771	0.0141	0.0063	1.351	0.1134	0.0507
2	+-	12	0.3854	0.0193	0.0086	0.1823	0.0084	0.0038	1.3546	0.114	0.051
2	+-	13	0.3803	0.0209	0.0093	0.1772	0.0109	0.0049	1.351	0.1168	0.0523
2	+-	14	0.401	0.0199	0.0089	0.1979	0.0106	0.0047	1.3654	0.1139	0.0509
2	+-	15	0.3787	0.0208	0.0093	0.1756	0.0097	0.0043	1.35	0.1168	0.0522
2	+-	16	0.3926	0.0209	0.0093	0.1895	0.0124	0.0055	1.3596	0.1164	0.052
2	+-	17	0.3899	0.0195	0.0087	0.1867	0.0111	0.005	1.3577	0.1157	0.0518
2	+-	18	0.3946	0.0202	0.009	0.1915	0.0096	0.0043	1.3609	0.116	0.0519
2	+-	19	0.4061	0.0197	0.0088	0.203	0.0087	0.0039	1.369	0.1149	0.0514
2	+-	20	0.406	0.0276	0.0123	0.2029	0.0161	0.0072	1.3689	0.121	0.0541
2	+-	21	0.39	0.0209	0.0094	0.1869	0.0112	0.005	1.3578	0.1168	0.0522
2	+-	22	0.4092	0.0199	0.0089	0.2061	0.0101	0.0045	1.3711	0.116	0.0519
2	+-	23	0.4008	0.0184	0.0082	0.1977	0.0074	0.0033	1.3653	0.115	0.0514
2	+-	24	0.4052	0.0246	0.011	0.2021	0.0142	0.0063	1.3683	0.1193	0.0534
2	+-	25	0.3876	0.0199	0.0089	0.1845	0.0105	0.0047	1.3561	0.1162	0.052
2	+-	26	0.3893	0.0226	0.0101	0.1862	0.0116	0.0052	1.3573	0.1178	0.0527
2	+-	27	0.3776	0.0162	0.0072	0.1745	0.0052	0.0023	1.3492	0.1129	0.0505
2	+-	28	0.3876	0.0228	0.0102	0.1845	0.012	0.0054	1.3561	0.1166	0.0521
2	+-	29	0.3843	0.0192	0.0086	0.1811	0.0075	0.0033	1.3538	0.1151	0.0515
2	+-	30	0.401	0.0233	0.0104	0.1978	0.0121	0.0054	1.3654	0.1183	0.0529
2	+-	31	0.3906	0.0159	0.0071	0.1875	0.0043	0.0019	1.3582	0.1127	0.0504
2	+-	32	0.4115	0.0232	0.0104	0.2084	0.0117	0.0052	1.3727	0.1182	0.0528
2	+-	33	0.3938	0.0194	0.0087	0.1907	0.0105	0.0047	1.3604	0.1157	0.0518
2	+-	34	0.4106	0.0212	0.0095	0.2074	0.0108	0.0048	1.372	0.1169	0.0523
2	+-	35	0.3988	0.0197	0.0088	0.1957	0.0085	0.0038	1.3638	0.1157	0.0518
2	+-	36	0.4152	0.0256	0.0114	0.2121	0.014	0.0062	1.3752	0.1193	0.0534
2	+-	37	0.4096	0.0206	0.0092	0.2065	0.0091	0.0041	1.3713	0.1166	0.0521
2	+-	38	0.4266	0.025	0.0112	0.2235	0.0145	0.0065	1.3831	0.1191	0.0532
2	+-	39	0.4175	0.02	0.009	0.2143	0.0086	0.0039	1.3768	0.1159	0.0518
2	+-	40	0.4142	0.0245	0.0109	0.211	0.0137	0.0061	1.3745	0.1189	0.0532
2	+-	41	0.3976	0.0189	0.0085	0.1945	0.0088	0.004	1.363	0.1156	0.0517
2	+-	42	0.4162	0.0247	0.0111	0.2131	0.0141	0.0063	1.3759	0.1188	0.0531
2	+-	43	0.41	0.023	0.0103	0.2069	0.0122	0.0054	1.3716	0.1168	0.0522
2	+-	44	0.4113	0.0266	0.0119	0.2082	0.0151	0.0067	1.3725	0.1194	0.0534
2	+-	45	0.4009	0.022	0.0099	0.1978	0.0108	0.0048	1.3653	0.1166	0.0521
2	+-	46	0.4067	0.0266	0.0119	0.2036	0.0153	0.0069	1.3694	0.1204	0.0538
2	+-	47	0.3958	0.0198	0.0089	0.1927	0.0082	0.0037	1.3618	0.1159	0.0518
2	+-	48	0.3937	0.0224	0.01	0.1906	0.0114	0.0051	1.3603	0.1179	0.0527
2	+-	49	0.4031	0.021	0.0094	0.2	0.0099	0.0044	1.3668	0.1166	0.0521
2	+-	50	0.4108	0.0233	0.0104	0.2077	0.0128	0.0057	1.3722	0.1182	0.0529
