motif_id	motif_name	motif_name_orig	strand	motif_start	motif_end	motif_scale	lambda
0	pos_patterns.pattern_0	pos_patterns.pattern_0	+	17	33	0.07567279122949962	0.7
1	pos_patterns.pattern_0	pos_patterns.pattern_0	-	17	33	0.07567279122949962	0.7
2	pos_patterns.pattern_1	pos_patterns.pattern_1	+	20	30	0.06175307786531164	0.7
3	pos_patterns.pattern_1	pos_patterns.pattern_1	-	20	30	0.06175307786531164	0.7
4	pos_patterns.pattern_2	pos_patterns.pattern_2	+	24	34	0.06738815338383942	0.7
5	pos_patterns.pattern_2	pos_patterns.pattern_2	-	16	26	0.06738815338383942	0.7
6	pos_patterns.pattern_3	pos_patterns.pattern_3	+	23	38	0.037896800985672024	0.7
7	pos_patterns.pattern_3	pos_patterns.pattern_3	-	12	27	0.037896800985672024	0.7
8	pos_patterns.pattern_4	pos_patterns.pattern_4	+	2	38	0.03352010048877341	0.7
9	pos_patterns.pattern_4	pos_patterns.pattern_4	-	12	48	0.03352010048877341	0.7
10	pos_patterns.pattern_5	pos_patterns.pattern_5	+	4	50	0.030267808392717477	0.7
11	pos_patterns.pattern_5	pos_patterns.pattern_5	-	0	46	0.030267808392717477	0.7
12	pos_patterns.pattern_6	pos_patterns.pattern_6	+	0	50	0.03445023374019629	0.7
13	pos_patterns.pattern_6	pos_patterns.pattern_6	-	0	50	0.03445023374019629	0.7
14	pos_patterns.pattern_7	pos_patterns.pattern_7	+	11	33	0.06294885315466489	0.7
15	pos_patterns.pattern_7	pos_patterns.pattern_7	-	17	39	0.06294885315466489	0.7
16	pos_patterns.pattern_8	pos_patterns.pattern_8	+	17	42	0.06699825785477734	0.7
17	pos_patterns.pattern_8	pos_patterns.pattern_8	-	8	33	0.06699825785477734	0.7
18	pos_patterns.pattern_9	pos_patterns.pattern_9	+	18	38	0.07499179251649554	0.7
19	pos_patterns.pattern_9	pos_patterns.pattern_9	-	12	32	0.07499179251649554	0.7
