motif_name	num_hits_total	num_hits_restricted	num_seqlets	num_overlaps	num_seqlets_only	num_hits_restricted_only	seqlet_recall	cwm_similarity
pos_patterns.pattern_0	41237	37503	13294	12992	302	24511	0.9772829848051753	0.9990234375
pos_patterns.pattern_1	13512	12471	4125	4091	34	8380	0.9917575757575757	0.9990234375
pos_patterns.pattern_2	4183	3836	1490	1461	29	2375	0.9805369127516779	0.99755859375
pos_patterns.pattern_3	1581	1432	156	114	42	1318	0.7307692307692307	0.98095703125
pos_patterns.pattern_4	1295	1157	126	65	61	1092	0.5158730158730159	0.96630859375
pos_patterns.pattern_5	0	0	57	0	57	0	0.0	NaN
pos_patterns.pattern_6	363	352	51	30	21	322	0.5882352941176471	0.9677734375
pos_patterns.pattern_7	142	139	31	25	5	114	0.8064516129032258	0.990234375
pos_patterns.pattern_8	12	12	30	5	25	7	0.16666666666666666	0.951171875
pos_patterns.pattern_9	4539	4196	22	22	0	4174	1.0	0.95654296875
