motif_counts	orientation_pattern	spacing	log2_fc_vs_baseline_mean	log2_fc_vs_baseline_std	log2_fc_vs_baseline_sem	log2_fc_vs_single_mean	log2_fc_vs_single_std	log2_fc_vs_single_sem	mean_prediction_mean	mean_prediction_std	mean_prediction_sem	log2_fc_vs_single_GATA_mean	log2_fc_vs_single_GATA_std	log2_fc_vs_single_GATA_sem	log2_fc_vs_single_AP1_2_mean	log2_fc_vs_single_AP1_2_std	log2_fc_vs_single_AP1_2_sem
2	++	37	0.4603	0.0231	0.0104	0.2443	0.0119	0.0053	1.9171	0.1124	0.0503	0.2979	0.0184	0.0082	0.1907	0.0068	0.0031
2	++	38	0.4846	0.0256	0.0115	0.2686	0.0157	0.007	1.9339	0.1137	0.0508	0.3222	0.0209	0.0093	0.215	0.0126	0.0057
2	++	39	0.4813	0.0281	0.0126	0.2653	0.0168	0.0075	1.9316	0.1146	0.0513	0.3189	0.0232	0.0104	0.2117	0.0113	0.0051
2	++	40	0.4844	0.0257	0.0115	0.2684	0.0151	0.0068	1.9338	0.1152	0.0515	0.322	0.0207	0.0093	0.2148	0.0115	0.0051
2	++	41	0.4688	0.017	0.0076	0.2528	0.0061	0.0027	1.923	0.1092	0.0488	0.3064	0.0128	0.0057	0.1992	0.004	0.0018
2	++	42	0.506	0.0219	0.0098	0.29	0.0112	0.005	1.9488	0.1114	0.0498	0.3436	0.0173	0.0077	0.2364	0.0075	0.0034
2	++	43	0.4953	0.0221	0.0099	0.2794	0.0118	0.0053	1.9414	0.1131	0.0506	0.3329	0.0171	0.0077	0.2258	0.0094	0.0042
2	++	44	0.4986	0.029	0.013	0.2826	0.0181	0.0081	1.9436	0.116	0.0519	0.3361	0.024	0.0107	0.229	0.0137	0.0061
2	++	45	0.4864	0.0277	0.0124	0.2704	0.0166	0.0074	1.9352	0.1119	0.0501	0.324	0.0235	0.0105	0.2169	0.0101	0.0045
2	++	46	0.4969	0.0262	0.0117	0.2809	0.0169	0.0076	1.9424	0.1101	0.0492	0.3344	0.0227	0.0102	0.2273	0.0127	0.0057
2	++	47	0.4815	0.0179	0.008	0.2655	0.0071	0.0032	1.9318	0.1104	0.0494	0.3191	0.0134	0.006	0.2119	0.005	0.0022
2	++	48	0.4735	0.024	0.0107	0.2575	0.0135	0.0061	1.9263	0.1131	0.0506	0.3111	0.0192	0.0086	0.2039	0.01	0.0045
2	++	49	0.4826	0.0236	0.0106	0.2666	0.0126	0.0056	1.9326	0.1102	0.0493	0.3202	0.0195	0.0087	0.2131	0.0062	0.0028
2	++	50	0.4924	0.0234	0.0105	0.2764	0.0119	0.0053	1.9393	0.1113	0.0498	0.33	0.0189	0.0084	0.2228	0.0056	0.0025
2	+-	0	0.497	0.0561	0.0251	0.281	0.058	0.0259	1.9425	0.0732	0.0327	0.3346	0.0597	0.0267	0.2274	0.0571	0.0255
2	+-	1	0.3116	0.0065	0.0029	0.0956	0.0163	0.0073	1.814	0.1017	0.0455	0.1492	0.0114	0.0051	0.0421	0.0225	0.0101
2	+-	2	0.336	0.0269	0.012	0.12	0.0173	0.0077	1.8309	0.119	0.0532	0.1736	0.0209	0.0094	0.0664	0.0162	0.0072
2	+-	3	0.4601	0.0133	0.006	0.2441	0.017	0.0076	1.9169	0.1	0.0447	0.2977	0.016	0.0072	0.1905	0.0206	0.0092
2	+-	4	0.5001	0.037	0.0166	0.2841	0.0364	0.0163	1.9447	0.124	0.0554	0.3377	0.0342	0.0153	0.2306	0.0398	0.0178
2	+-	5	0.5003	0.0397	0.0177	0.2843	0.0327	0.0146	1.9448	0.1134	0.0507	0.3379	0.0371	0.0166	0.2307	0.0293	0.0131
2	+-	6	0.526	0.0172	0.0077	0.31	0.0128	0.0057	1.9627	0.1004	0.0449	0.3636	0.0169	0.0076	0.2565	0.0121	0.0054
2	+-	7	0.4857	0.0294	0.0131	0.2697	0.0256	0.0114	1.9347	0.1201	0.0537	0.3233	0.025	0.0112	0.2161	0.0281	0.0126
2	+-	8	0.493	0.0178	0.008	0.277	0.0063	0.0028	1.9397	0.1095	0.049	0.3306	0.0133	0.006	0.2234	0.0026	0.0012
2	+-	9	0.4794	0.0425	0.019	0.2634	0.0447	0.02	1.9303	0.0841	0.0376	0.317	0.0457	0.0204	0.2098	0.0449	0.0201
2	+-	10	0.5024	0.0268	0.012	0.2864	0.0161	0.0072	1.9463	0.1147	0.0513	0.34	0.0215	0.0096	0.2329	0.0125	0.0056
2	+-	11	0.4641	0.0263	0.0117	0.2481	0.017	0.0076	1.9197	0.1058	0.0473	0.3016	0.0237	0.0106	0.1945	0.0108	0.0048
2	+-	12	0.4851	0.0167	0.0075	0.2691	0.0055	0.0025	1.9343	0.11	0.0492	0.3227	0.012	0.0054	0.2156	0.0045	0.002
2	+-	13	0.5096	0.0115	0.0051	0.2936	0.0034	0.0015	1.9513	0.1077	0.0482	0.3472	0.0074	0.0033	0.24	0.0085	0.0038
2	+-	14	0.4981	0.0185	0.0083	0.2821	0.0108	0.0048	1.9433	0.1071	0.0479	0.3357	0.0155	0.0069	0.2285	0.0099	0.0044
2	+-	15	0.5149	0.0251	0.0112	0.2989	0.0165	0.0074	1.9549	0.1061	0.0474	0.3525	0.0226	0.0101	0.2453	0.0117	0.0052
2	+-	16	0.5085	0.018	0.0081	0.2925	0.0077	0.0035	1.9505	0.1086	0.0485	0.346	0.0142	0.0063	0.2389	0.0048	0.0021
