motif_counts	orientation_pattern	spacing	log2_fc_vs_baseline_mean	log2_fc_vs_baseline_std	log2_fc_vs_baseline_sem	log2_fc_vs_single_mean	log2_fc_vs_single_std	log2_fc_vs_single_sem	mean_prediction_mean	mean_prediction_std	mean_prediction_sem	log2_fc_vs_single_GATA_mean	log2_fc_vs_single_GATA_std	log2_fc_vs_single_GATA_sem	log2_fc_vs_single_AP1_2_mean	log2_fc_vs_single_AP1_2_std	log2_fc_vs_single_AP1_2_sem
2	--	9	0.414	0.0326	0.0146	0.198	0.0307	0.0137	1.885	0.117	0.0523	0.2516	0.0306	0.0137	0.1445	0.0325	0.0145
2	--	10	0.4337	0.0228	0.0102	0.2177	0.0211	0.0094	1.8987	0.0965	0.0432	0.2713	0.0237	0.0106	0.1642	0.0209	0.0093
2	--	11	0.4367	0.032	0.0143	0.2207	0.0253	0.0113	1.9007	0.1229	0.055	0.2742	0.0271	0.0121	0.1671	0.0255	0.0114
2	--	12	0.4635	0.0157	0.007	0.2475	0.0057	0.0025	1.9193	0.1113	0.0498	0.301	0.0104	0.0047	0.1939	0.0078	0.0035
2	--	13	0.4748	0.0142	0.0063	0.2588	0.0069	0.0031	1.9272	0.1101	0.0492	0.3124	0.0094	0.0042	0.2052	0.0106	0.0047
2	--	14	0.4902	0.0175	0.0078	0.2742	0.015	0.0067	1.9378	0.1042	0.0466	0.3278	0.0165	0.0074	0.2206	0.0168	0.0075
2	--	15	0.4681	0.0307	0.0137	0.2521	0.0225	0.01	1.9225	0.1157	0.0518	0.3057	0.027	0.0121	0.1985	0.0197	0.0088
2	--	16	0.4973	0.0256	0.0115	0.2813	0.0148	0.0066	1.9427	0.1149	0.0514	0.3349	0.0206	0.0092	0.2277	0.0108	0.0048
2	--	17	0.4555	0.0186	0.0083	0.2395	0.0143	0.0064	1.9138	0.1056	0.0472	0.2931	0.017	0.0076	0.186	0.0149	0.0067
2	--	18	0.4708	0.0265	0.0119	0.2548	0.0157	0.007	1.9244	0.1145	0.0512	0.3084	0.0214	0.0096	0.2012	0.0117	0.0052
2	--	19	0.4479	0.026	0.0116	0.2319	0.0177	0.0079	1.9085	0.1127	0.0504	0.2855	0.0224	0.01	0.1783	0.0151	0.0068
2	--	20	0.494	0.0275	0.0123	0.278	0.0173	0.0078	1.9405	0.1189	0.0532	0.3316	0.0216	0.0097	0.2244	0.0154	0.0069
2	--	21	0.4828	0.0204	0.0091	0.2668	0.0098	0.0044	1.9327	0.1136	0.0508	0.3204	0.015	0.0067	0.2132	0.0084	0.0038
2	--	22	0.4793	0.0245	0.0109	0.2633	0.0162	0.0072	1.9302	0.1124	0.0503	0.3168	0.0204	0.0091	0.2097	0.0146	0.0065
2	--	23	0.4916	0.0266	0.0119	0.2756	0.017	0.0076	1.9388	0.1111	0.0497	0.3292	0.0226	0.0101	0.222	0.013	0.0058
2	--	24	0.4922	0.0377	0.0169	0.2762	0.0274	0.0122	1.9392	0.1209	0.0541	0.3298	0.0324	0.0145	0.2226	0.0235	0.0105
2	--	25	0.4709	0.0204	0.0091	0.2549	0.0117	0.0052	1.9244	0.1098	0.0491	0.3085	0.0164	0.0073	0.2013	0.0105	0.0047
2	--	26	0.5103	0.0265	0.0118	0.2943	0.0153	0.0068	1.9517	0.1149	0.0514	0.3479	0.0211	0.0094	0.2407	0.0112	0.005
2	--	27	0.5032	0.0225	0.0101	0.2872	0.0116	0.0052	1.9468	0.1124	0.0503	0.3408	0.0176	0.0079	0.2336	0.008	0.0036
2	--	28	0.5035	0.0347	0.0155	0.2875	0.0252	0.0113	1.9471	0.1215	0.0544	0.3411	0.0293	0.0131	0.2339	0.0228	0.0102
2	--	29	0.4932	0.0254	0.0113	0.2772	0.0145	0.0065	1.9399	0.1151	0.0515	0.3308	0.0199	0.0089	0.2236	0.0113	0.005
2	--	30	0.5318	0.0339	0.0152	0.3158	0.0232	0.0104	1.9667	0.1143	0.0511	0.3694	0.0294	0.0131	0.2622	0.0178	0.008
2	--	31	0.526	0.0301	0.0135	0.31	0.0211	0.0094	1.9626	0.1075	0.0481	0.3636	0.0271	0.0121	0.2564	0.0161	0.0072
2	--	32	0.5105	0.0333	0.0149	0.2945	0.0228	0.0102	1.9519	0.1164	0.052	0.3481	0.0285	0.0128	0.2409	0.0182	0.0081
2	--	33	0.5047	0.0183	0.0082	0.2887	0.0129	0.0058	1.9479	0.1059	0.0473	0.3423	0.0162	0.0073	0.2351	0.0131	0.0059
2	--	34	0.539	0.0304	0.0136	0.323	0.0193	0.0086	1.9717	0.1109	0.0496	0.3766	0.0264	0.0118	0.2695	0.0123	0.0055
2	--	35	0.5268	0.0296	0.0132	0.3108	0.0223	0.01	1.9632	0.1085	0.0485	0.3644	0.0268	0.012	0.2573	0.0196	0.0088
2	--	36	0.5043	0.0335	0.015	0.2883	0.0228	0.0102	1.9476	0.1187	0.0531	0.3419	0.0283	0.0126	0.2347	0.0185	0.0083
2	--	37	0.487	0.0261	0.0117	0.271	0.0152	0.0068	1.9356	0.1164	0.0521	0.3246	0.0205	0.0092	0.2174	0.012	0.0054
2	--	38	0.4891	0.0255	0.0114	0.2731	0.0171	0.0077	1.9371	0.1136	0.0508	0.3267	0.0213	0.0095	0.2195	0.0154	0.0069
2	--	39	0.4953	0.0222	0.0099	0.2793	0.0128	0.0057	1.9414	0.1073	0.048	0.3329	0.0193	0.0086	0.2258	0.0077	0.0034
2	--	40	0.5057	0.0361	0.0162	0.2897	0.0249	0.0112	1.9486	0.1173	0.0525	0.3433	0.0314	0.014	0.2361	0.019	0.0085
2	--	41	0.4935	0.0198	0.0089	0.2775	0.011	0.0049	1.9401	0.1074	0.048	0.331	0.0166	0.0074	0.2239	0.0085	0.0038
2	--	42	0.4959	0.0245	0.0109	0.2799	0.0142	0.0064	1.9417	0.1107	0.0495	0.3334	0.0205	0.0092	0.2263	0.0094	0.0042
2	--	43	0.4913	0.0193	0.0086	0.2753	0.0103	0.0046	1.9386	0.1082	0.0484	0.3289	0.016	0.0072	0.2218	0.0077	0.0034
2	--	44	0.4979	0.0329	0.0147	0.2819	0.0218	0.0097	1.9432	0.1191	0.0533	0.3355	0.0275	0.0123	0.2283	0.0173	0.0077
2	--	45	0.4889	0.025	0.0112	0.2729	0.0136	0.0061	1.9369	0.1116	0.0499	0.3264	0.0204	0.0091	0.2193	0.0074	0.0033
2	--	46	0.5023	0.0249	0.0111	0.2863	0.0153	0.0069	1.9462	0.1096	0.049	0.3399	0.0214	0.0096	0.2327	0.0108	0.0048
2	--	47	0.4926	0.0214	0.0096	0.2766	0.0124	0.0055	1.9395	0.1052	0.047	0.3302	0.0187	0.0084	0.223	0.0076	0.0034
2	--	48	0.4929	0.0281	0.0125	0.2769	0.0176	0.0079	1.9397	0.1135	0.0508	0.3305	0.0236	0.0106	0.2233	0.0129	0.0058
2	--	49	0.4997	0.0187	0.0084	0.2837	0.01	0.0045	1.9444	0.1071	0.0479	0.3373	0.0158	0.0071	0.2301	0.0074	0.0033
2	--	50	0.5155	0.0277	0.0124	0.2995	0.0166	0.0074	1.9553	0.1131	0.0506	0.353	0.0231	0.0103	0.2459	0.0109	0.0049
