motif_counts	orientation_pattern	spacing	log2_fc_vs_baseline_mean	log2_fc_vs_baseline_std	log2_fc_vs_baseline_sem	log2_fc_vs_single_mean	log2_fc_vs_single_std	log2_fc_vs_single_sem	mean_prediction_mean	mean_prediction_std	mean_prediction_sem	log2_fc_vs_single_GATA_mean	log2_fc_vs_single_GATA_std	log2_fc_vs_single_GATA_sem	log2_fc_vs_single_AP1_2_mean	log2_fc_vs_single_AP1_2_std	log2_fc_vs_single_AP1_2_sem
2	++	37	0.532	0.0313	0.014	0.3162	0.02	0.0089	5.3521	0.175	0.0782	0.3963	0.019	0.0085	0.236	0.0327	0.0146
2	++	38	0.5163	0.0273	0.0122	0.3005	0.0136	0.0061	5.3412	0.1672	0.0748	0.3806	0.0208	0.0093	0.2203	0.0238	0.0107
2	++	39	0.5055	0.0311	0.0139	0.2897	0.0194	0.0087	5.3338	0.1746	0.0781	0.3699	0.0205	0.0092	0.2096	0.031	0.0139
2	++	40	0.5302	0.031	0.0139	0.3144	0.017	0.0076	5.3509	0.1686	0.0754	0.3946	0.0222	0.0099	0.2342	0.0268	0.012
2	++	41	0.5176	0.0318	0.0142	0.3018	0.0212	0.0095	5.3421	0.1755	0.0785	0.382	0.017	0.0076	0.2216	0.0352	0.0158
2	++	42	0.5072	0.0304	0.0136	0.2914	0.0172	0.0077	5.3349	0.1693	0.0757	0.3716	0.0188	0.0084	0.2112	0.0295	0.0132
2	++	43	0.4817	0.0319	0.0143	0.2659	0.0191	0.0085	5.3172	0.1707	0.0763	0.346	0.0184	0.0082	0.1857	0.032	0.0143
2	++	44	0.5007	0.0312	0.0139	0.2849	0.0194	0.0087	5.3304	0.1614	0.0722	0.3651	0.0243	0.0108	0.2048	0.0282	0.0126
2	++	45	0.5069	0.0255	0.0114	0.2911	0.013	0.0058	5.3347	0.1687	0.0755	0.3713	0.0167	0.0075	0.211	0.0263	0.0118
2	++	46	0.5188	0.0231	0.0103	0.303	0.0113	0.0051	5.343	0.1604	0.0717	0.3832	0.0234	0.0104	0.2228	0.0185	0.0083
2	++	47	0.5191	0.0194	0.0087	0.3033	0.0101	0.0045	5.3431	0.1676	0.075	0.3834	0.014	0.0063	0.2231	0.0253	0.0113
2	++	48	0.5196	0.0197	0.0088	0.3038	0.008	0.0036	5.3435	0.1612	0.0721	0.3839	0.0167	0.0075	0.2236	0.0219	0.0098
2	++	49	0.5012	0.0247	0.011	0.2854	0.0141	0.0063	5.3308	0.1687	0.0754	0.3656	0.0152	0.0068	0.2052	0.0282	0.0126
2	++	50	0.5099	0.0258	0.0115	0.2941	0.013	0.0058	5.3368	0.1651	0.0739	0.3743	0.0176	0.0079	0.214	0.0257	0.0115
2	+-	0	0.5182	0.0535	0.0239	0.3024	0.0445	0.0199	5.3426	0.1597	0.0714	0.3826	0.0539	0.0241	0.2223	0.041	0.0183
2	+-	1	0.324	0.0479	0.0214	0.1082	0.0368	0.0165	5.2079	0.1796	0.0803	0.1884	0.0304	0.0136	0.028	0.0492	0.022
2	+-	2	0.3956	0.0502	0.0225	0.1798	0.0391	0.0175	5.2575	0.1669	0.0746	0.2599	0.0418	0.0187	0.0996	0.044	0.0197
2	+-	3	0.515	0.0554	0.0248	0.2992	0.0416	0.0186	5.3403	0.1832	0.0819	0.3793	0.0422	0.0189	0.219	0.0481	0.0215
2	+-	4	0.524	0.0628	0.0281	0.3082	0.0526	0.0235	5.3466	0.1681	0.0752	0.3884	0.0508	0.0227	0.2281	0.0599	0.0268
2	+-	5	0.5461	0.0456	0.0204	0.3303	0.0321	0.0144	5.3619	0.1763	0.0789	0.4104	0.0315	0.0141	0.2501	0.0413	0.0184
2	+-	6	0.5443	0.064	0.0286	0.3285	0.0531	0.0237	5.3606	0.1863	0.0833	0.4087	0.0463	0.0207	0.2483	0.0642	0.0287
2	+-	7	0.5238	0.0612	0.0274	0.308	0.0529	0.0237	5.3464	0.1933	0.0865	0.3881	0.0406	0.0182	0.2278	0.0677	0.0303
2	+-	8	0.5496	0.0494	0.0221	0.3338	0.0395	0.0177	5.3643	0.1833	0.082	0.414	0.0313	0.014	0.2536	0.0526	0.0235
2	+-	9	0.5495	0.0525	0.0235	0.3337	0.0425	0.019	5.3643	0.1828	0.0818	0.4139	0.0321	0.0143	0.2536	0.0567	0.0253
2	+-	10	0.5632	0.063	0.0282	0.3474	0.0516	0.0231	5.3738	0.1897	0.0848	0.4276	0.0443	0.0198	0.2673	0.0631	0.0282
2	+-	11	0.5371	0.055	0.0246	0.3214	0.0425	0.019	5.3557	0.1856	0.083	0.4015	0.039	0.0174	0.2412	0.0522	0.0233
2	+-	12	0.5238	0.0431	0.0193	0.308	0.0302	0.0135	5.3464	0.1775	0.0794	0.3882	0.028	0.0125	0.2278	0.0409	0.0183
2	+-	13	0.5256	0.042	0.0188	0.3098	0.0305	0.0136	5.3477	0.1785	0.0798	0.39	0.0245	0.0109	0.2296	0.0434	0.0194
2	+-	14	0.5315	0.0464	0.0208	0.3157	0.0325	0.0145	5.3517	0.1735	0.0776	0.3958	0.034	0.0152	0.2355	0.0399	0.0179
2	+-	15	0.5105	0.0514	0.023	0.2947	0.041	0.0183	5.3372	0.1863	0.0833	0.3749	0.0322	0.0144	0.2146	0.0544	0.0243
2	+-	16	0.521	0.0482	0.0215	0.3052	0.035	0.0157	5.3445	0.1811	0.081	0.3853	0.0337	0.0151	0.225	0.0441	0.0197
