motif_id	motif_name	motif_name_orig	strand	motif_start	motif_end	motif_scale	lambda
0	pos_patterns.pattern_0	pos_patterns.pattern_0	+	17	33	0.15881661347634915	0.7
1	pos_patterns.pattern_0	pos_patterns.pattern_0	-	17	33	0.15881661347634915	0.7
2	pos_patterns.pattern_1	pos_patterns.pattern_1	+	19	29	0.13525814132172312	0.7
3	pos_patterns.pattern_1	pos_patterns.pattern_1	-	21	31	0.13525814132172312	0.7
4	pos_patterns.pattern_2	pos_patterns.pattern_2	+	23	33	0.12003527731652648	0.7
5	pos_patterns.pattern_2	pos_patterns.pattern_2	-	17	27	0.12003527731652648	0.7
6	pos_patterns.pattern_3	pos_patterns.pattern_3	+	12	32	0.06004177908061934	0.7
7	pos_patterns.pattern_3	pos_patterns.pattern_3	-	18	38	0.06004177908061934	0.7
8	pos_patterns.pattern_4	pos_patterns.pattern_4	+	25	34	0.08946076322007511	0.7
9	pos_patterns.pattern_4	pos_patterns.pattern_4	-	16	25	0.08946076322007511	0.7
10	pos_patterns.pattern_5	pos_patterns.pattern_5	+	3	50	0.048681025919251185	0.7
11	pos_patterns.pattern_5	pos_patterns.pattern_5	-	0	47	0.048681025919251185	0.7
12	pos_patterns.pattern_6	pos_patterns.pattern_6	+	0	46	0.052681908932373754	0.7
13	pos_patterns.pattern_6	pos_patterns.pattern_6	-	4	50	0.052681908932373754	0.7
14	pos_patterns.pattern_7	pos_patterns.pattern_7	+	12	22	0.06534702410940635	0.7
15	pos_patterns.pattern_7	pos_patterns.pattern_7	-	28	38	0.06534702410940635	0.7
16	pos_patterns.pattern_8	pos_patterns.pattern_8	+	4	45	0.14473256950144334	0.7
17	pos_patterns.pattern_8	pos_patterns.pattern_8	-	5	46	0.14473256950144334	0.7
18	pos_patterns.pattern_9	pos_patterns.pattern_9	+	3	40	0.06650643473470189	0.7
19	pos_patterns.pattern_9	pos_patterns.pattern_9	-	10	47	0.06650643473470189	0.7
20	pos_patterns.pattern_10	pos_patterns.pattern_10	+	4	42	0.09128070556280787	0.7
21	pos_patterns.pattern_10	pos_patterns.pattern_10	-	8	46	0.09128070556280787	0.7
22	pos_patterns.pattern_11	pos_patterns.pattern_11	+	16	31	0.11909563691605456	0.7
23	pos_patterns.pattern_11	pos_patterns.pattern_11	-	19	34	0.11909563691605456	0.7
24	pos_patterns.pattern_12	pos_patterns.pattern_12	+	10	39	0.04931049975980532	0.7
25	pos_patterns.pattern_12	pos_patterns.pattern_12	-	11	40	0.04931049975980532	0.7
26	pos_patterns.pattern_13	pos_patterns.pattern_13	+	8	41	0.04642673957730301	0.7
27	pos_patterns.pattern_13	pos_patterns.pattern_13	-	9	42	0.04642673957730301	0.7
28	pos_patterns.pattern_14	pos_patterns.pattern_14	+	8	32	0.1331277401178161	0.7
29	pos_patterns.pattern_14	pos_patterns.pattern_14	-	18	42	0.1331277401178161	0.7
30	pos_patterns.pattern_15	pos_patterns.pattern_15	+	16	47	0.17353452472269584	0.7
31	pos_patterns.pattern_15	pos_patterns.pattern_15	-	3	34	0.17353452472269584	0.7
32	pos_patterns.pattern_16	pos_patterns.pattern_16	+	2	22	0.11629833237015448	0.7
33	pos_patterns.pattern_16	pos_patterns.pattern_16	-	28	48	0.11629833237015448	0.7
34	pos_patterns.pattern_17	pos_patterns.pattern_17	+	13	29	0.14222269012292665	0.7
35	pos_patterns.pattern_17	pos_patterns.pattern_17	-	21	37	0.14222269012292665	0.7
36	pos_patterns.pattern_18	pos_patterns.pattern_18	+	19	38	0.14490433542315653	0.7
37	pos_patterns.pattern_18	pos_patterns.pattern_18	-	12	31	0.14490433542315653	0.7
38	pos_patterns.pattern_19	pos_patterns.pattern_19	+	16	30	0.11501586186212381	0.7
39	pos_patterns.pattern_19	pos_patterns.pattern_19	-	20	34	0.11501586186212381	0.7
