motif_counts	orientation_pattern	spacing	log2_fc_vs_baseline_mean	log2_fc_vs_baseline_std	log2_fc_vs_baseline_sem	log2_fc_vs_single_mean	log2_fc_vs_single_std	log2_fc_vs_single_sem	mean_prediction_mean	mean_prediction_std	mean_prediction_sem
4	++--	8	0.5707	0.0626	0.028	0.4058	0.063	0.0282	1.9754	0.1267	0.0567
4	++--	9	0.551	0.0461	0.0206	0.386	0.0433	0.0194	1.9617	0.1329	0.0594
4	++--	10	0.6093	0.0652	0.0291	0.4443	0.0652	0.0292	2.0021	0.1256	0.0562
4	++--	11	0.6272	0.025	0.0112	0.4623	0.0227	0.0102	2.0146	0.121	0.0541
4	++--	12	0.7321	0.0357	0.016	0.5671	0.0349	0.0156	2.0872	0.1218	0.0545
4	++--	13	0.6877	0.0288	0.0129	0.5227	0.0277	0.0124	2.0564	0.1142	0.0511
4	++--	14	0.7451	0.0342	0.0153	0.5802	0.0345	0.0154	2.0963	0.1195	0.0534
4	++--	15	0.6977	0.0364	0.0163	0.5327	0.0317	0.0142	2.0634	0.125	0.0559
4	++--	16	0.7694	0.0385	0.0172	0.6044	0.0371	0.0166	2.1131	0.1262	0.0564
4	++--	17	0.8043	0.039	0.0174	0.6394	0.0352	0.0158	2.1373	0.1177	0.0526
4	++--	18	0.7806	0.0339	0.0152	0.6157	0.0337	0.0151	2.1209	0.1242	0.0555
4	++--	19	0.7854	0.0231	0.0103	0.6204	0.0206	0.0092	2.1242	0.1117	0.0499
4	++--	20	0.8181	0.0455	0.0203	0.6531	0.043	0.0192	2.1468	0.1337	0.0598
4	++--	21	0.8212	0.0364	0.0163	0.6563	0.0335	0.015	2.149	0.1039	0.0464
4	++--	22	0.8115	0.0313	0.014	0.6465	0.0295	0.0132	2.1422	0.1189	0.0532
4	++--	23	0.8213	0.0288	0.0129	0.6563	0.024	0.0108	2.149	0.1193	0.0533
4	++--	24	0.7812	0.0436	0.0195	0.6162	0.0412	0.0184	2.1213	0.1325	0.0593
4	++--	25	0.8655	0.0245	0.0109	0.7005	0.0233	0.0104	2.1797	0.119	0.0532
4	++--	26	0.7964	0.0442	0.0198	0.6314	0.0416	0.0186	2.1318	0.1327	0.0593
4	++--	27	0.9082	0.0422	0.0189	0.7432	0.0389	0.0174	2.2093	0.1192	0.0533
4	++--	28	0.7938	0.0512	0.0229	0.6288	0.0478	0.0214	2.13	0.1388	0.0621
4	++--	29	0.8724	0.0396	0.0177	0.7074	0.0371	0.0166	2.1845	0.1285	0.0575
4	++--	30	0.7994	0.0481	0.0215	0.6344	0.0447	0.02	2.1339	0.133	0.0595
4	++--	31	0.8504	0.0361	0.0162	0.6854	0.0327	0.0146	2.1692	0.1199	0.0536
4	++--	32	0.772	0.0369	0.0165	0.6071	0.0346	0.0155	2.1149	0.1274	0.057
4	++--	33	0.8411	0.0179	0.008	0.6761	0.0155	0.0069	2.1628	0.1133	0.0507
4	++--	34	0.7695	0.0347	0.0155	0.6045	0.0317	0.0142	2.1132	0.1258	0.0562
4	++--	35	0.8465	0.0354	0.0158	0.6815	0.0326	0.0146	2.1665	0.1277	0.0571
4	++--	36	0.7584	0.039	0.0175	0.5934	0.0367	0.0164	2.1055	0.1312	0.0587
4	++--	37	0.8461	0.024	0.0107	0.6811	0.023	0.0103	2.1663	0.1179	0.0527
4	++--	38	0.7524	0.0293	0.0131	0.5874	0.0258	0.0115	2.1013	0.123	0.055
4	++--	39	0.8468	0.0209	0.0093	0.6818	0.0198	0.0089	2.1667	0.1149	0.0514
4	++--	40	0.7505	0.0234	0.0105	0.5855	0.0216	0.0096	2.1	0.119	0.0532
4	++--	41	0.8276	0.0247	0.0111	0.6626	0.0253	0.0113	2.1534	0.1182	0.0529
4	++--	42	0.7811	0.0264	0.0118	0.6161	0.0239	0.0107	2.1212	0.1212	0.0542
4	++--	43	0.8779	0.0292	0.013	0.7129	0.0293	0.0131	2.1883	0.1142	0.0511
4	++--	44	0.7607	0.0244	0.0109	0.5957	0.0219	0.0098	2.107	0.1219	0.0545
4	++--	45	0.8259	0.0222	0.0099	0.6609	0.0223	0.01	2.1522	0.1159	0.0518
4	++--	46	0.7493	0.0264	0.0118	0.5843	0.0235	0.0105	2.0991	0.1222	0.0546
4	++--	47	0.8383	0.0239	0.0107	0.6734	0.0241	0.0108	2.1609	0.1101	0.0492
4	++--	48	0.7415	0.0114	0.0051	0.5766	0.0115	0.0052	2.0938	0.1119	0.05
4	++--	49	0.8187	0.0222	0.0099	0.6537	0.024	0.0107	2.1473	0.1061	0.0475
4	++--	50	0.7557	0.0196	0.0088	0.5907	0.016	0.0071	2.1036	0.1174	0.0525
4	+-+-	0	0.1424	0.0482	0.0216	-0.0225	0.0475	0.0213	1.6785	0.1305	0.0584
4	+-+-	1	0.2774	0.043	0.0192	0.1124	0.0405	0.0181	1.772	0.1339	0.0599
4	+-+-	2	0.4944	0.0604	0.027	0.3294	0.0554	0.0248	1.9225	0.1251	0.056
4	+-+-	3	0.566	0.0598	0.0268	0.401	0.0555	0.0248	1.9721	0.1403	0.0627
4	+-+-	4	0.5468	0.076	0.034	0.3819	0.0778	0.0348	1.9588	0.1206	0.0539
4	+-+-	5	0.4837	0.027	0.0121	0.3187	0.0272	0.0121	1.9151	0.1107	0.0495
4	+-+-	6	0.5011	0.0466	0.0208	0.3361	0.0444	0.0199	1.9271	0.1096	0.049
4	+-+-	7	0.5334	0.0421	0.0188	0.3685	0.0447	0.02	1.9495	0.1133	0.0507
4	+-+-	8	0.5465	0.0901	0.0403	0.3815	0.0892	0.0399	1.9586	0.1058	0.0473
