motif_counts	orientation_pattern	spacing	log2_fc_vs_baseline_mean	log2_fc_vs_baseline_std	log2_fc_vs_baseline_sem	log2_fc_vs_single_mean	log2_fc_vs_single_std	log2_fc_vs_single_sem	mean_prediction_mean	mean_prediction_std	mean_prediction_sem
2	+-	9	0.1244	0.0061	0.0027	0.0637	0.0084	0.0037	3.0394	0.1728	0.0773
2	+-	10	0.1153	0.0131	0.0059	0.0546	0.0091	0.0041	3.033	0.1687	0.0754
2	+-	11	0.1195	0.0056	0.0025	0.0588	0.0082	0.0037	3.036	0.1738	0.0777
2	+-	12	0.1238	0.0142	0.0064	0.0631	0.0079	0.0035	3.039	0.1645	0.0735
2	+-	13	0.1298	0.0132	0.0059	0.0691	0.0124	0.0055	3.0431	0.1703	0.0762
2	+-	14	0.133	0.024	0.0107	0.0723	0.0177	0.0079	3.0453	0.1587	0.071
2	+-	15	0.1255	0.0085	0.0038	0.0648	0.0078	0.0035	3.0401	0.172	0.0769
2	+-	16	0.1258	0.0202	0.0091	0.0651	0.0137	0.0061	3.0403	0.1621	0.0725
2	+-	17	0.129	0.0089	0.004	0.0683	0.0071	0.0032	3.0425	0.1703	0.0761
2	+-	18	0.128	0.0236	0.0106	0.0674	0.0169	0.0076	3.0419	0.1591	0.0712
2	+-	19	0.1301	0.0083	0.0037	0.0694	0.0058	0.0026	3.0433	0.1684	0.0753
2	+-	20	0.1271	0.016	0.0072	0.0664	0.0094	0.0042	3.0412	0.1628	0.0728
2	+-	21	0.1309	0.0074	0.0033	0.0702	0.0064	0.0029	3.0439	0.1708	0.0764
2	+-	22	0.1301	0.0198	0.0089	0.0694	0.0134	0.006	3.0433	0.1613	0.0721
2	+-	23	0.135	0.0081	0.0036	0.0743	0.0079	0.0035	3.0467	0.1704	0.0762
2	+-	24	0.1318	0.0219	0.0098	0.0711	0.0155	0.0069	3.0445	0.1608	0.0719
2	+-	25	0.1334	0.0085	0.0038	0.0727	0.0079	0.0035	3.0456	0.1702	0.0761
2	+-	26	0.1312	0.0237	0.0106	0.0705	0.0172	0.0077	3.0441	0.1584	0.0708
2	+-	27	0.129	0.0072	0.0032	0.0683	0.0046	0.0021	3.0425	0.1694	0.0758
2	+-	28	0.1317	0.0224	0.01	0.071	0.0161	0.0072	3.0444	0.1603	0.0717
2	+-	29	0.1319	0.0087	0.0039	0.0712	0.007	0.0031	3.0446	0.1697	0.0759
