motif_counts	orientation_pattern	spacing	log2_fc_vs_baseline_mean	log2_fc_vs_baseline_std	log2_fc_vs_baseline_sem	log2_fc_vs_single_mean	log2_fc_vs_single_std	log2_fc_vs_single_sem	mean_prediction_mean	mean_prediction_std	mean_prediction_sem
2	+-	9	0.5015	0.0883	0.0395	0.2264	0.0466	0.0208	1.9244	0.1293	0.0578
2	+-	10	0.6582	0.0941	0.0421	0.3831	0.0463	0.0207	2.033	0.1494	0.0668
2	+-	11	0.7621	0.149	0.0666	0.4871	0.1304	0.0583	2.1051	0.1948	0.0871
2	+-	12	0.6413	0.0882	0.0394	0.3663	0.0435	0.0194	2.0213	0.1463	0.0654
2	+-	13	0.6101	0.1422	0.0636	0.335	0.0942	0.0421	1.9997	0.1625	0.0727
2	+-	14	0.6129	0.1376	0.0615	0.3378	0.087	0.0389	2.0016	0.1743	0.078
2	+-	15	0.6797	0.1003	0.0448	0.4047	0.0549	0.0246	2.0479	0.1471	0.0658
2	+-	16	0.5829	0.1002	0.0448	0.3079	0.0527	0.0236	1.9809	0.1414	0.0632
2	+-	17	0.6056	0.1392	0.0623	0.3306	0.0888	0.0397	1.9966	0.1719	0.0769
2	+-	18	0.5709	0.111	0.0496	0.2959	0.0607	0.0272	1.9725	0.1612	0.0721
2	+-	19	0.6304	0.1125	0.0503	0.3553	0.0637	0.0285	2.0137	0.1515	0.0678
2	+-	20	0.6019	0.1085	0.0485	0.3269	0.0601	0.0269	1.994	0.1572	0.0703
2	+-	21	0.6042	0.1211	0.0541	0.3292	0.0723	0.0323	1.9956	0.1543	0.069
2	+-	22	0.5864	0.1265	0.0566	0.3114	0.0767	0.0343	1.9833	0.1628	0.0728
2	+-	23	0.6401	0.1092	0.0488	0.3651	0.0606	0.0271	2.0205	0.1509	0.0675
2	+-	24	0.5852	0.0902	0.0403	0.3102	0.0472	0.0211	1.9824	0.1453	0.065
2	+-	25	0.6193	0.1518	0.0679	0.3443	0.1013	0.0453	2.0061	0.1809	0.0809
2	+-	26	0.585	0.1242	0.0556	0.31	0.0737	0.033	1.9823	0.1682	0.0752
2	+-	27	0.6598	0.1181	0.0528	0.3848	0.0757	0.0338	2.0342	0.1411	0.0631
2	+-	28	0.6	0.0973	0.0435	0.325	0.05	0.0224	1.9927	0.1495	0.0668
