motif_counts	orientation_pattern	spacing	log2_fc_vs_baseline_mean	log2_fc_vs_baseline_std	log2_fc_vs_baseline_sem	log2_fc_vs_single_mean	log2_fc_vs_single_std	log2_fc_vs_single_sem	mean_prediction_mean	mean_prediction_std	mean_prediction_sem	log2_fc_vs_single_E2F_mean	log2_fc_vs_single_E2F_std	log2_fc_vs_single_E2F_sem	log2_fc_vs_single_AP1_1_mean	log2_fc_vs_single_AP1_1_std	log2_fc_vs_single_AP1_1_sem
2	--	5	0.3124	0.0344	0.0154	0.1679	0.0264	0.0118	1.8095	0.1121	0.0501	0.303	0.0335	0.015	0.0327	0.0203	0.0091
2	--	6	0.3086	0.0257	0.0115	0.164	0.0182	0.0082	1.8068	0.1129	0.0505	0.2992	0.0245	0.011	0.0289	0.0143	0.0064
2	--	7	0.2871	0.0065	0.0029	0.1426	0.0117	0.0052	1.792	0.1094	0.0489	0.2777	0.006	0.0027	0.0074	0.0194	0.0087
2	--	8	0.2991	0.0195	0.0087	0.1546	0.0133	0.006	1.8003	0.1168	0.0522	0.2897	0.0181	0.0081	0.0194	0.0129	0.0058
2	--	9	0.2887	0.0366	0.0164	0.1441	0.0303	0.0136	1.793	0.0994	0.0445	0.2793	0.0366	0.0164	0.009	0.0252	0.0113
2	--	10	0.3126	0.0325	0.0145	0.1681	0.0241	0.0108	1.8096	0.1179	0.0527	0.3032	0.0314	0.014	0.0329	0.0177	0.0079
2	--	11	0.3163	0.0199	0.0089	0.1717	0.0176	0.0079	1.8122	0.0995	0.0445	0.3069	0.0208	0.0093	0.0366	0.0181	0.0081
2	--	12	0.301	0.0052	0.0023	0.1564	0.0072	0.0032	1.8016	0.1085	0.0485	0.2916	0.0032	0.0014	0.0213	0.0152	0.0068
2	--	13	0.2933	0.0288	0.0129	0.1488	0.0243	0.0109	1.7962	0.0987	0.0441	0.2839	0.0284	0.0127	0.0136	0.0226	0.0101
2	--	14	0.2985	0.0196	0.0087	0.1539	0.0109	0.0049	1.7998	0.1115	0.0499	0.2891	0.0186	0.0083	0.0188	0.0055	0.0025
2	--	15	0.2956	0.0131	0.0059	0.1511	0.0096	0.0043	1.7978	0.1073	0.048	0.2862	0.0136	0.0061	0.0159	0.0117	0.0052
2	--	16	0.2954	0.0212	0.0095	0.1509	0.0146	0.0065	1.7977	0.1178	0.0527	0.286	0.02	0.0089	0.0157	0.013	0.0058
2	--	17	0.2869	0.0253	0.0113	0.1423	0.019	0.0085	1.7918	0.1028	0.046	0.2775	0.0251	0.0112	0.0072	0.0152	0.0068
2	--	18	0.3137	0.0137	0.0061	0.1692	0.0052	0.0023	1.8104	0.1089	0.0487	0.3043	0.0131	0.0059	0.034	0.0047	0.0021
2	--	19	0.3095	0.01	0.0045	0.165	0.0052	0.0023	1.8075	0.1062	0.0475	0.3001	0.01	0.0045	0.0298	0.0097	0.0043
2	--	20	0.3017	0.0142	0.0064	0.1571	0.009	0.004	1.8021	0.1138	0.0509	0.2923	0.0127	0.0057	0.022	0.0119	0.0053
2	--	21	0.2913	0.0197	0.0088	0.1468	0.0138	0.0062	1.7949	0.1025	0.0459	0.2819	0.0197	0.0088	0.0116	0.0116	0.0052
2	--	22	0.3088	0.0144	0.0064	0.1643	0.0075	0.0033	1.807	0.1092	0.0488	0.2994	0.0135	0.006	0.0291	0.0083	0.0037
2	--	23	0.3061	0.0102	0.0046	0.1615	0.0074	0.0033	1.8051	0.1045	0.0468	0.2966	0.0112	0.005	0.0264	0.0111	0.005
2	--	24	0.2945	0.0185	0.0083	0.15	0.0133	0.006	1.7971	0.1174	0.0525	0.2851	0.017	0.0076	0.0148	0.0143	0.0064
2	--	25	0.2804	0.0231	0.0104	0.1358	0.0163	0.0073	1.7873	0.104	0.0465	0.271	0.0228	0.0102	0.0007	0.0123	0.0055
2	--	26	0.2993	0.0177	0.0079	0.1548	0.0099	0.0044	1.8004	0.1111	0.0497	0.2899	0.0166	0.0074	0.0196	0.0077	0.0034
2	--	27	0.2941	0.0107	0.0048	0.1496	0.0059	0.0026	1.7968	0.1047	0.0468	0.2847	0.0109	0.0049	0.0144	0.0094	0.0042
2	--	28	0.2976	0.0153	0.0068	0.1531	0.0103	0.0046	1.7992	0.1143	0.0511	0.2882	0.0137	0.0061	0.0179	0.0128	0.0057
2	--	29	0.29	0.0236	0.0105	0.1455	0.0185	0.0083	1.794	0.1016	0.0455	0.2806	0.0233	0.0104	0.0103	0.0166	0.0074
2	--	30	0.3043	0.0117	0.0052	0.1597	0.0048	0.0021	1.8038	0.11	0.0492	0.2949	0.0106	0.0047	0.0246	0.0086	0.0038
2	--	31	0.3023	0.0099	0.0044	0.1577	0.006	0.0027	1.8025	0.1049	0.0469	0.2929	0.0102	0.0046	0.0226	0.0103	0.0046
2	--	32	0.2892	0.0168	0.0075	0.1446	0.0108	0.0048	1.7934	0.1149	0.0514	0.2797	0.0154	0.0069	0.0095	0.0116	0.0052
2	--	33	0.2837	0.0209	0.0094	0.1391	0.0149	0.0067	1.7896	0.1036	0.0463	0.2743	0.0206	0.0092	0.004	0.0127	0.0057
2	--	34	0.2797	0.0184	0.0082	0.1351	0.012	0.0053	1.7868	0.1087	0.0486	0.2702	0.017	0.0076	-0.0	0.0116	0.0052
2	--	35	0.2757	0.0149	0.0067	0.1311	0.0091	0.0041	1.784	0.1051	0.047	0.2663	0.0142	0.0064	-0.004	0.0101	0.0045
2	--	36	0.2976	0.0156	0.007	0.1531	0.0092	0.0041	1.7992	0.1137	0.0509	0.2882	0.0144	0.0065	0.0179	0.01	0.0045
2	--	37	0.2914	0.0214	0.0096	0.1468	0.0143	0.0064	1.7949	0.105	0.047	0.282	0.0213	0.0095	0.0117	0.0097	0.0043
2	--	38	0.2966	0.0143	0.0064	0.1521	0.0058	0.0026	1.7985	0.1096	0.049	0.2872	0.0137	0.0061	0.0169	0.0043	0.0019
2	--	39	0.2969	0.0095	0.0042	0.1523	0.0052	0.0023	1.7987	0.1053	0.0471	0.2875	0.01	0.0045	0.0172	0.0097	0.0043
2	--	40	0.2925	0.0182	0.0082	0.1479	0.0131	0.0058	1.7957	0.1167	0.0522	0.2831	0.0167	0.0075	0.0128	0.0142	0.0064
2	--	41	0.2802	0.0194	0.0087	0.1356	0.0118	0.0053	1.7871	0.1077	0.0481	0.2708	0.0187	0.0084	0.0005	0.0083	0.0037
2	--	42	0.2755	0.0191	0.0086	0.1309	0.0127	0.0057	1.7839	0.1109	0.0496	0.2661	0.0177	0.0079	-0.0042	0.0122	0.0054
2	--	43	0.2756	0.0126	0.0056	0.1311	0.0066	0.003	1.784	0.1068	0.0477	0.2662	0.0116	0.0052	-0.0041	0.0096	0.0043
2	--	44	0.2937	0.013	0.0058	0.1491	0.0063	0.0028	1.7965	0.1118	0.05	0.2843	0.0119	0.0053	0.014	0.0088	0.0039
2	--	45	0.2837	0.0196	0.0088	0.1391	0.0141	0.0063	1.7896	0.1026	0.0459	0.2743	0.0196	0.0088	0.004	0.0122	0.0055
2	--	46	0.291	0.0155	0.0069	0.1465	0.008	0.0036	1.7947	0.1106	0.0494	0.2816	0.0143	0.0064	0.0113	0.0078	0.0035
2	--	47	0.2894	0.0144	0.0064	0.1448	0.0057	0.0026	1.7935	0.1088	0.0486	0.2799	0.0139	0.0062	0.0097	0.0036	0.0016
2	--	48	0.2892	0.017	0.0076	0.1447	0.0091	0.0041	1.7934	0.1136	0.0508	0.2798	0.016	0.0072	0.0095	0.007	0.0031
2	--	49	0.2821	0.0187	0.0084	0.1375	0.0114	0.0051	1.7885	0.1057	0.0473	0.2727	0.0186	0.0083	0.0024	0.0075	0.0033
2	--	50	0.3021	0.0177	0.0079	0.1575	0.01	0.0045	1.8023	0.1128	0.0505	0.2926	0.0164	0.0073	0.0224	0.0085	0.0038
