motif_counts	orientation_pattern	spacing	log2_fc_vs_baseline_mean	log2_fc_vs_baseline_std	log2_fc_vs_baseline_sem	log2_fc_vs_single_mean	log2_fc_vs_single_std	log2_fc_vs_single_sem	mean_prediction_mean	mean_prediction_std	mean_prediction_sem	log2_fc_vs_single_E2F_mean	log2_fc_vs_single_E2F_std	log2_fc_vs_single_E2F_sem	log2_fc_vs_single_AP1_1_mean	log2_fc_vs_single_AP1_1_std	log2_fc_vs_single_AP1_1_sem
2	++	36	0.2914	0.0224	0.01	0.1468	0.0155	0.0069	1.7949	0.1045	0.0467	0.282	0.022	0.0098	0.0117	0.0117	0.0052
2	++	37	0.2997	0.0186	0.0083	0.1551	0.011	0.0049	1.8006	0.1138	0.0509	0.2902	0.0175	0.0078	0.02	0.0086	0.0039
2	++	38	0.2947	0.0107	0.0048	0.1501	0.0047	0.0021	1.7972	0.1073	0.048	0.2853	0.0112	0.005	0.015	0.0077	0.0034
2	++	39	0.3013	0.0136	0.0061	0.1567	0.0049	0.0022	1.8018	0.1089	0.0487	0.2919	0.0133	0.0059	0.0216	0.0035	0.0016
2	++	40	0.2837	0.0195	0.0087	0.1392	0.0121	0.0054	1.7896	0.1072	0.0479	0.2743	0.0187	0.0084	0.004	0.009	0.004
2	++	41	0.2862	0.0172	0.0077	0.1417	0.0111	0.005	1.7913	0.1143	0.0511	0.2768	0.0157	0.007	0.0065	0.0119	0.0053
2	++	42	0.2766	0.0146	0.0065	0.132	0.0076	0.0034	1.7846	0.1069	0.0478	0.2671	0.0138	0.0062	-0.0031	0.0082	0.0037
2	++	43	0.2753	0.0178	0.0079	0.1308	0.01	0.0045	1.7838	0.1102	0.0493	0.2659	0.0166	0.0074	-0.0044	0.0081	0.0036
2	++	44	0.2836	0.0151	0.0067	0.139	0.0082	0.0037	1.7895	0.1054	0.0472	0.2741	0.015	0.0067	0.0039	0.0071	0.0032
2	++	45	0.2865	0.0152	0.0068	0.1419	0.0077	0.0035	1.7915	0.1124	0.0503	0.2771	0.0144	0.0065	0.0068	0.0071	0.0032
2	++	46	0.2879	0.0161	0.0072	0.1434	0.0079	0.0035	1.7925	0.1076	0.0481	0.2785	0.0158	0.0071	0.0082	0.0038	0.0017
2	++	47	0.2882	0.0208	0.0093	0.1436	0.0123	0.0055	1.7927	0.1129	0.0505	0.2788	0.02	0.0089	0.0085	0.0065	0.0029
2	++	48	0.2825	0.0201	0.009	0.1379	0.0121	0.0054	1.7887	0.1074	0.048	0.2731	0.0197	0.0088	0.0028	0.0065	0.0029
2	++	49	0.2853	0.0195	0.0087	0.1407	0.0117	0.0052	1.7907	0.1141	0.051	0.2759	0.0187	0.0083	0.0056	0.008	0.0036
2	++	50	0.3001	0.0173	0.0077	0.1556	0.0086	0.0039	1.801	0.1093	0.0489	0.2907	0.0167	0.0075	0.0204	0.0029	0.0013
2	+-	0	0.4105	0.054	0.0242	0.2659	0.05	0.0223	1.8774	0.0988	0.0442	0.4011	0.0554	0.0248	0.1308	0.0454	0.0203
2	+-	1	0.2702	0.0576	0.0258	0.1256	0.0525	0.0235	1.7802	0.1361	0.0609	0.2607	0.0571	0.0255	-0.0095	0.0489	0.0219
2	+-	2	0.2642	0.0277	0.0124	0.1196	0.0222	0.0099	1.776	0.1097	0.0491	0.2547	0.0282	0.0126	-0.0155	0.0182	0.0081
2	+-	3	0.3251	0.027	0.0121	0.1806	0.02	0.009	1.8183	0.1206	0.0539	0.3157	0.0257	0.0115	0.0454	0.0168	0.0075
2	+-	4	0.3393	0.0155	0.0069	0.1947	0.0091	0.0041	1.8281	0.1145	0.0512	0.3299	0.0146	0.0065	0.0596	0.0096	0.0043
2	+-	5	0.3506	0.0363	0.0162	0.206	0.0308	0.0138	1.8359	0.127	0.0568	0.3411	0.0345	0.0154	0.0709	0.0291	0.013
2	+-	6	0.3208	0.0202	0.009	0.1763	0.0153	0.0068	1.8153	0.1182	0.0529	0.3114	0.0192	0.0086	0.0411	0.0155	0.0069
2	+-	7	0.3247	0.0334	0.0149	0.1802	0.0259	0.0116	1.818	0.117	0.0523	0.3153	0.032	0.0143	0.045	0.0215	0.0096
2	+-	8	0.2933	0.0341	0.0153	0.1488	0.0267	0.0119	1.7963	0.1051	0.047	0.2839	0.0338	0.0151	0.0136	0.0205	0.0092
2	+-	9	0.3035	0.0209	0.0094	0.1589	0.0131	0.0059	1.8033	0.115	0.0514	0.2941	0.0196	0.0088	0.0238	0.0099	0.0044
2	+-	10	0.3096	0.0155	0.0069	0.165	0.0094	0.0042	1.8075	0.1054	0.0471	0.3002	0.0149	0.0067	0.0299	0.0096	0.0043
2	+-	11	0.3155	0.0249	0.0111	0.171	0.0178	0.008	1.8116	0.1053	0.0471	0.3061	0.0243	0.0109	0.0358	0.0136	0.0061
2	+-	12	0.2911	0.0227	0.0102	0.1466	0.0195	0.0087	1.7947	0.0978	0.0437	0.2817	0.0226	0.0101	0.0114	0.0196	0.0088
2	+-	13	0.3067	0.0169	0.0076	0.1621	0.0112	0.005	1.8055	0.1137	0.0509	0.2972	0.0153	0.0068	0.027	0.0126	0.0056
2	+-	14	0.3019	0.0136	0.0061	0.1573	0.009	0.004	1.8022	0.1064	0.0476	0.2924	0.0139	0.0062	0.0222	0.0105	0.0047
2	+-	15	0.2951	0.0193	0.0086	0.1505	0.0113	0.0051	1.7975	0.1119	0.05	0.2857	0.0182	0.0081	0.0154	0.008	0.0036
2	+-	16	0.2918	0.0257	0.0115	0.1472	0.0195	0.0087	1.7952	0.1039	0.0465	0.2823	0.0255	0.0114	0.0121	0.0158	0.0071
2	+-	17	0.3028	0.0217	0.0097	0.1582	0.0154	0.0069	1.8028	0.1166	0.0521	0.2933	0.0202	0.009	0.0231	0.0142	0.0064
2	+-	18	0.3124	0.0112	0.005	0.1679	0.0068	0.003	1.8095	0.1044	0.0467	0.303	0.0114	0.0051	0.0327	0.01	0.0045
2	+-	19	0.3134	0.022	0.0098	0.1689	0.0146	0.0065	1.8102	0.1144	0.0512	0.304	0.0206	0.0092	0.0337	0.0118	0.0053
2	+-	20	0.2972	0.0237	0.0106	0.1526	0.018	0.008	1.7989	0.1024	0.0458	0.2877	0.0235	0.0105	0.0175	0.0152	0.0068
2	+-	21	0.3076	0.0175	0.0078	0.163	0.0119	0.0053	1.8061	0.1161	0.0519	0.2981	0.0164	0.0073	0.0279	0.0123	0.0055
2	+-	22	0.3093	0.0094	0.0042	0.1647	0.0049	0.0022	1.8073	0.1082	0.0484	0.2999	0.0099	0.0044	0.0296	0.0095	0.0042
2	+-	23	0.3142	0.0174	0.0078	0.1697	0.0087	0.0039	1.8107	0.111	0.0497	0.3048	0.0166	0.0074	0.0345	0.0039	0.0018
2	+-	24	0.284	0.0202	0.009	0.1394	0.0127	0.0057	1.7898	0.1064	0.0476	0.2746	0.0196	0.0088	0.0043	0.0089	0.004
2	+-	25	0.2889	0.0182	0.0081	0.1443	0.0117	0.0052	1.7932	0.1156	0.0517	0.2795	0.0168	0.0075	0.0092	0.0115	0.0052
2	+-	26	0.3005	0.0129	0.0058	0.156	0.0045	0.002	1.8012	0.109	0.0487	0.2911	0.0127	0.0057	0.0208	0.0043	0.0019
2	+-	27	0.3017	0.0158	0.0071	0.1571	0.0087	0.0039	1.802	0.1132	0.0506	0.2922	0.0151	0.0067	0.022	0.0079	0.0035
2	+-	28	0.2899	0.0207	0.0093	0.1454	0.0147	0.0066	1.7939	0.1044	0.0467	0.2805	0.0202	0.0091	0.0102	0.0126	0.0056
2	+-	29	0.2981	0.0199	0.0089	0.1535	0.0136	0.0061	1.7995	0.1161	0.0519	0.2887	0.0186	0.0083	0.0184	0.0128	0.0057
2	+-	30	0.3057	0.0107	0.0048	0.1611	0.0051	0.0023	1.8048	0.108	0.0483	0.2963	0.0109	0.0049	0.026	0.0085	0.0038
2	+-	31	0.3053	0.0163	0.0073	0.1607	0.008	0.0036	1.8045	0.1122	0.0502	0.2959	0.0154	0.0069	0.0256	0.0054	0.0024
2	+-	32	0.2825	0.0208	0.0093	0.1379	0.0139	0.0062	1.7887	0.1053	0.0471	0.2731	0.0204	0.0091	0.0028	0.0104	0.0047
2	+-	33	0.2922	0.0166	0.0074	0.1476	0.0101	0.0045	1.7955	0.1137	0.0508	0.2828	0.0151	0.0068	0.0125	0.0106	0.0047
