Epoch	Iteration	Training Time	Validation Time	Training MNLL	Training Count MSE	Validation MNLL	Validation Profile Pearson	Validation Count Pearson	Validation Count MSE	Saved?
0	1805	110.63891291618347	3.2043299674987793	3355.9970703125	3.58430552482605	3024.111328125	0.3488195	0.23343569	3.129605293273926	True
1	3610	102.67897701263428	2.709923028945923	1274.2757568359375	12.474270820617676	3064.192138671875	0.3344581	0.26938754	2.796828031539917	True
2	5415	103.34537482261658	2.70154070854187	3448.468505859375	2.0387420654296875	3131.811767578125	0.32010472	0.26531413	3.152024030685425	False
3	7220	103.41155648231506	2.7194390296936035	2829.90869140625	6.7765631675720215	3050.17724609375	0.34007472	0.26034826	2.994231700897217	False
4	9025	102.8019289970398	2.7024312019348145	2698.236328125	5.280673503875732	3018.482421875	0.3408607	0.2814258	2.9786646366119385	False
5	10830	102.7256531715393	2.6915762424468994	4261.4326171875	1.5237711668014526	2996.196044921875	0.35189405	0.31729308	2.6905977725982666	True
6	12635	103.06296944618225	2.717211961746216	3585.84375	2.0747108459472656	3148.880126953125	0.3269634	0.32047024	2.716806650161743	False
7	14440	103.36439418792725	2.7164599895477295	2565.69482421875	1.7856054306030273	2952.2685546875	0.36585337	0.30909818	2.819772481918335	False
8	16245	102.86182236671448	2.702965021133423	2404.855224609375	0.9144896268844604	3105.349609375	0.30251145	0.34826744	2.723132371902466	False
9	18050	102.94139862060547	2.708059549331665	2146.498046875	0.9135715365409851	2922.595703125	0.3685387	0.33270085	2.8158085346221924	False
10	19855	103.9266471862793	2.7222366333007812	2263.51123046875	6.3903889656066895	3140.766845703125	0.3104676	0.33015665	2.7811784744262695	False
11	21660	103.12528657913208	2.71934175491333	2388.33203125	3.1804471015930176	2952.2783203125	0.3477918	0.3537813	2.8635499477386475	False
12	23465	103.04233193397522	2.7169971466064453	3651.159423828125	2.789774179458618	2907.42138671875	0.37258378	0.3722528	2.7549006938934326	False
13	25270	103.02888536453247	2.70923113822937	3093.000244140625	2.269683599472046	2935.21533203125	0.37431818	0.37725827	2.601608991622925	True
14	27075	103.31297421455383	2.715528964996338	3511.797119140625	1.8553731441497803	2919.767333984375	0.36450702	0.38593677	2.6871280670166016	False
15	28880	102.89097738265991	2.7045600414276123	4396.21630859375	1.4051285982131958	2951.33837890625	0.37065452	0.37335733	2.6388959884643555	False
16	30685	103.19878840446472	2.7810957431793213	1844.2919921875	2.3934507369995117	2987.1796875	0.3525094	0.3833442	2.663435935974121	False
17	32490	103.34626603126526	2.714709758758545	2024.98583984375	1.6878434419631958	2924.281494140625	0.36789775	0.3920107	2.6649999618530273	False
18	34295	103.90991854667664	2.835583209991455	1484.09130859375	1.4612584114074707	2970.888671875	0.36087656	0.38616425	2.698272466659546	False
19	36100	104.8152072429657	2.731071710586548	2670.533203125	1.0464940071105957	2905.7900390625	0.36868888	0.3879258	2.643645763397217	False
20	37905	103.22349214553833	2.7158148288726807	2998.680419921875	3.5346522331237793	2890.345703125	0.37589067	0.3904107	2.6467695236206055	False
21	39710	103.56104755401611	2.705752372741699	2661.644287109375	3.0106709003448486	2948.671630859375	0.36766782	0.38884938	2.6992721557617188	False
22	41515	103.39768958091736	2.7048745155334473	1940.817138671875	0.7690302729606628	2888.521240234375	0.3706938	0.39759383	2.5703682899475098	True
23	43320	103.07179975509644	2.7016782760620117	4722.5537109375	1.376481294631958	2893.898193359375	0.3679872	0.39104524	2.609238862991333	False
24	45125	103.35994029045105	2.7082467079162598	2725.849853515625	1.6661955118179321	2889.532958984375	0.3707039	0.38877293	2.6385669708251953	False
25	46930	102.72565746307373	2.7100629806518555	3285.494873046875	8.492201805114746	2897.51708984375	0.36775154	0.393993	2.631434202194214	False
26	48735	103.72678422927856	2.7042460441589355	2193.353271484375	7.2507805824279785	2916.077392578125	0.3685277	0.3920258	2.6640141010284424	False
27	50540	103.96691846847534	2.704263925552368	2793.345703125	3.0026774406433105	2935.4072265625	0.36135796	0.38776216	2.6595258712768555	False
28	52345	103.49068760871887	3.018671751022339	2157.787841796875	1.6197762489318848	2905.751220703125	0.36591694	0.39498895	2.747575044631958	False
29	54150	104.26840281486511	2.7242231369018555	2497.8115234375	1.2520935535430908	2886.61767578125	0.37275666	0.39188	2.645967483520508	False
30	55955	103.07505893707275	2.7031667232513428	3013.806640625	0.7283412218093872	2903.15283203125	0.37097204	0.38666072	2.7467145919799805	False
31	57760	103.21457719802856	2.7106990814208984	5681.7529296875	4.2027435302734375	2890.29638671875	0.37165955	0.39174783	2.6423637866973877	False
32	59565	102.86806273460388	2.787970542907715	3365.21337890625	1.2115730047225952	2894.2822265625	0.37175867	0.3896885	2.683413505554199	False
