Epoch	Iteration	Training Time	Validation Time	Training MNLL	Training Count MSE	Validation MNLL	Validation Profile Pearson	Validation Count Pearson	Validation Count MSE	Saved?
0	1805	87.95978736877441	3.0425167083740234	274.8167419433594	3.32853102684021	187.30062866210938	0.026378157	0.3120926	1.7189990282058716	True
1	3610	34.65649437904358	1.2454214096069336	78.86235046386719	2.292649030685425	173.63693237304688	0.028560365	0.3464849	1.6811518669128418	True
2	5415	37.425657510757446	1.343567132949829	180.75782775878906	1.6253085136413574	172.5388641357422	0.031142786	0.35920626	1.8524482250213623	False
3	7220	40.74972367286682	1.3621153831481934	158.43075561523438	2.3871986865997314	185.19039916992188	0.03294943	0.36519656	1.9601572751998901	False
4	9025	42.9107928276062	1.4856846332550049	120.65935516357422	1.4647420644760132	172.92945861816406	0.03444846	0.38987428	1.7310402393341064	False
5	10830	43.715548038482666	1.4412624835968018	229.54576110839844	1.0360158681869507	171.64952087402344	0.037273526	0.42193332	1.6133904457092285	True
6	12635	44.391364336013794	1.5166125297546387	176.83624267578125	1.67075777053833	171.32711791992188	0.03748152	0.4310512	1.5601238012313843	True
7	14440	44.70323371887207	1.4367690086364746	131.03948974609375	1.2179275751113892	171.37405395507812	0.03776479	0.4166454	1.8175663948059082	False
8	16245	44.81552767753601	1.4921610355377197	152.90003967285156	0.8066173791885376	180.61187744140625	0.033948753	0.43277165	1.5734835863113403	False
9	18050	44.77542591094971	1.4785857200622559	184.02142333984375	0.7682052850723267	174.49217224121094	0.038207673	0.43618953	1.6026691198349	False
10	19855	44.69166588783264	1.47918701171875	105.46247863769531	1.3456780910491943	170.9521484375	0.03868558	0.4389456	1.545048713684082	True
11	21660	44.778788328170776	1.4476757049560547	196.2668914794922	0.7975260615348816	176.94717407226562	0.03673862	0.43362382	1.6226491928100586	False
12	23465	44.4714937210083	1.4764049053192139	194.97164916992188	1.7376680374145508	171.02243041992188	0.038793784	0.44374746	1.5645408630371094	False
13	25270	44.46054434776306	1.466822624206543	184.28973388671875	1.902106761932373	171.19064331054688	0.038292553	0.43226567	1.668524146080017	False
14	27075	44.18304181098938	1.4782912731170654	157.1944580078125	1.403262734413147	180.72857666015625	0.03767072	0.45047686	1.6045386791229248	False
15	28880	44.075647592544556	1.4877490997314453	258.2615051269531	0.775166392326355	171.52288818359375	0.038169645	0.4448689	1.5780341625213623	False
16	30685	42.34929442405701	1.469517469406128	69.12198638916016	0.44655197858810425	174.685791015625	0.037865546	0.45013016	1.572184443473816	False
17	32490	44.071497201919556	1.474055528640747	84.3373031616211	1.508095383644104	171.09156799316406	0.038551852	0.46409443	1.4985929727554321	True
18	34295	43.89122271537781	1.4313664436340332	45.759254455566406	1.161855936050415	171.91114807128906	0.038320333	0.4569261	1.5396958589553833	False
19	36100	43.74955940246582	1.4635260105133057	179.93869018554688	0.7941173911094666	171.05130004882812	0.0383033	0.45285872	1.5740219354629517	False
20	37905	43.87180256843567	1.4755208492279053	206.7489013671875	0.7932444214820862	171.250732421875	0.03823839	0.4586854	1.5539063215255737	False
21	39710	43.54736876487732	1.4561846256256104	147.9260711669922	0.9717797040939331	171.19371032714844	0.037962154	0.44779077	1.5535728931427002	False
22	41515	43.7833034992218	1.422288417816162	92.42478942871094	0.4315049946308136	171.10964965820312	0.03807507	0.45396107	1.595748782157898	False
23	43320	43.63333773612976	1.5181982517242432	337.9030456542969	1.461464762687683	171.81387329101562	0.037695013	0.44995958	1.5735822916030884	False
24	45125	43.648200035095215	1.5050454139709473	175.57456970214844	1.3827389478683472	171.2848663330078	0.037730046	0.4395531	1.585850477218628	False
25	46930	43.455355405807495	1.4583208560943604	372.43231201171875	2.848478078842163	171.06268310546875	0.038161993	0.44457674	1.563342809677124	False
26	48735	43.4739191532135	1.4201633930206299	163.50192260742188	1.189871072769165	171.1455078125	0.03815761	0.4411406	1.589896321296692	False
27	50540	43.42587947845459	1.5292174816131592	194.6885223388672	0.8306776881217957	171.15296936035156	0.037892867	0.43615153	1.682221531867981	False
