config	overall_pearson	overall_pearson_topq	residual_pearson	incremental_r2	incremental_r2_topq	profile_pearson	profile_pearson_topq	profile_jsd
mm_trained_DNase_elements	0.849 [0.802, 0.896]	0.713 [0.697, 0.728]	0.475 [0.408, 0.542]	0.079 [0.068, 0.090]	0.147 [0.102, 0.193]	0.061 [0.054, 0.067]	0.165 [0.146, 0.184]	0.601 [0.597, 0.606]
mm_trained_ATAC_elements	0.855 [0.808, 0.901]	0.712 [0.683, 0.740]	0.506 [0.439, 0.572]	0.088 [0.079, 0.097]	0.146 [0.118, 0.174]	0.060 [0.054, 0.067]	0.165 [0.147, 0.182]	0.601 [0.597, 0.606]
atac_flat	0.801 [0.756, 0.847]	0.599 [0.543, 0.656]	-	0.000 [0.000, 0.000]	0.000 [0.000, 0.000]	0.038 [0.033, 0.042]	0.108 [0.095, 0.122]	0.607 [0.603, 0.610]
