config	overall_pearson	overall_pearson_topq	residual_pearson	incremental_r2	incremental_r2_topq	profile_pearson	profile_pearson_topq	profile_jsd
GATE	0.877 [0.858, 0.897]	0.699 [0.681, 0.717]	0.112 [0.066, 0.157]	-0.002 [-0.007, 0.003]	0.000 [-0.021, 0.021]	0.065 [0.061, 0.070]	0.175 [0.162, 0.188]	0.602 [0.594, 0.609]
ASYM	0.879 [0.860, 0.897]	0.699 [0.683, 0.715]	0.139 [0.094, 0.184]	0.001 [-0.003, 0.005]	0.000 [-0.017, 0.018]	0.065 [0.060, 0.070]	0.175 [0.162, 0.188]	0.602 [0.594, 0.609]
GATE_ASYM	0.878 [0.859, 0.897]	0.696 [0.683, 0.708]	0.124 [0.080, 0.168]	-0.001 [-0.004, 0.003]	-0.004 [-0.022, 0.013]	0.065 [0.060, 0.069]	0.174 [0.161, 0.188]	0.602 [0.594, 0.609]
multimodal_ungated	0.878 [0.859, 0.898]	0.699 [0.695, 0.703]	-	0.000 [0.000, 0.000]	0.000 [0.000, 0.000]	0.065 [0.061, 0.070]	0.176 [0.162, 0.189]	0.602 [0.594, 0.609]
