config	overall_pearson	overall_pearson_topq	residual_pearson	incremental_r2	incremental_r2_topq	profile_pearson	profile_pearson_topq	profile_jsd
sequence_narrow	0.475 [0.441, 0.509]	0.221 [0.191, 0.252]	0.144 [0.087, 0.201]	-0.399 [-0.434, -0.364]	-0.218 [-0.254, -0.181]	0.042 [0.038, 0.045]	0.112 [0.104, 0.120]	0.564 [0.560, 0.568]
sequence_WIDE	0.520 [0.485, 0.555]	0.232 [0.169, 0.294]	0.163 [0.124, 0.201]	-0.355 [-0.379, -0.331]	-0.211 [-0.266, -0.156]	0.042 [0.039, 0.045]	0.113 [0.106, 0.120]	0.564 [0.560, 0.568]
atac_narrow	0.791 [0.776, 0.806]	0.516 [0.484, 0.549]	-	0.000 [0.000, 0.000]	0.000 [0.000, 0.000]	0.033 [0.030, 0.036]	0.095 [0.087, 0.102]	0.565 [0.561, 0.569]
