config	overall_pearson	overall_pearson_topq	residual_pearson	incremental_r2	incremental_r2_topq	profile_pearson	profile_pearson_topq	profile_jsd
real_dnase	0.755 [0.738, 0.773]	0.570 [0.555, 0.586]	0.338 [0.309, 0.367]	-0.047 [-0.055, -0.040]	0.047 [0.009, 0.086]	0.027 [0.024, 0.029]	0.070 [0.064, 0.076]	0.565 [0.561, 0.569]
dnase_smooth250	0.705 [0.694, 0.716]	0.503 [0.478, 0.527]	0.276 [0.251, 0.302]	-0.121 [-0.137, -0.105]	-0.025 [-0.073, 0.023]	0.027 [0.024, 0.029]	0.069 [0.062, 0.076]	0.565 [0.561, 0.569]
converted_pow	0.664 [0.632, 0.696]	0.469 [0.441, 0.497]	0.147 [0.096, 0.198]	-0.176 [-0.217, -0.135]	-0.058 [-0.100, -0.016]	0.028 [0.025, 0.030]	0.071 [0.064, 0.078]	0.565 [0.561, 0.569]
atac_input	0.786 [0.768, 0.803]	0.527 [0.500, 0.554]	-	0.000 [0.000, 0.000]	0.000 [0.000, 0.000]	0.038 [0.035, 0.042]	0.106 [0.097, 0.115]	0.563 [0.559, 0.566]
