config	overall_pearson	overall_pearson_topq	residual_pearson	incremental_r2	incremental_r2_topq	profile_pearson	profile_pearson_topq	profile_jsd
sequence5p	0.494 [0.456, 0.532]	0.381 [0.325, 0.437]	0.149 [0.076, 0.222]	-0.418 [-0.467, -0.368]	-0.156 [-0.219, -0.093]	0.055 [0.051, 0.059]	0.144 [0.134, 0.155]	0.604 [0.597, 0.611]
multimodal5p	0.874 [0.855, 0.893]	0.687 [0.669, 0.705]	0.551 [0.510, 0.592]	0.102 [0.087, 0.117]	0.169 [0.131, 0.207]	0.063 [0.059, 0.067]	0.169 [0.156, 0.181]	0.602 [0.594, 0.609]
residual_sequence	0.856 [0.840, 0.873]	0.646 [0.622, 0.669]	0.459 [0.421, 0.496]	0.071 [0.058, 0.085]	0.115 [0.075, 0.154]	0.057 [0.053, 0.060]	0.150 [0.139, 0.161]	0.604 [0.596, 0.611]
residual_multimodal	0.867 [0.849, 0.886]	0.670 [0.646, 0.694]	0.514 [0.473, 0.556]	0.090 [0.077, 0.104]	0.146 [0.113, 0.180]	0.063 [0.058, 0.067]	0.167 [0.155, 0.180]	0.602 [0.594, 0.609]
residual_atac	0.813 [0.794, 0.833]	0.546 [0.498, 0.595]	-0.003 [-0.065, 0.060]	-0.000 [-0.001, 0.001]	-0.003 [-0.007, 0.001]	0.035 [0.032, 0.038]	0.098 [0.088, 0.107]	0.609 [0.601, 0.617]
atac5p	0.814 [0.794, 0.833]	0.549 [0.498, 0.600]	-	0.000 [0.000, 0.000]	0.000 [0.000, 0.000]	0.035 [0.032, 0.038]	0.098 [0.087, 0.109]	0.609 [0.601, 0.616]
