config	overall_pearson	overall_pearson_topq	residual_pearson	incremental_r2	incremental_r2_topq	profile_pearson	profile_pearson_topq	profile_jsd
gm12878_LOCAL	0.873 [0.865, 0.882]	0.663 [0.646, 0.680]	0.434 [0.403, 0.464]	0.054 [0.045, 0.063]	0.061 [0.049, 0.073]	0.050 [0.046, 0.055]	0.137 [0.127, 0.147]	0.562 [0.558, 0.565]
k562_to_gm12878	0.755 [0.738, 0.773]	0.570 [0.555, 0.586]	0.087 [0.027, 0.147]	-0.138 [-0.157, -0.119]	-0.053 [-0.095, -0.012]	0.027 [0.024, 0.029]	0.070 [0.064, 0.076]	0.565 [0.561, 0.569]
thp1_to_gm12878	0.841 [0.831, 0.851]	0.599 [0.560, 0.638]	0.241 [0.189, 0.292]	-0.001 [-0.013, 0.011]	-0.019 [-0.046, 0.007]	0.033 [0.030, 0.035]	0.088 [0.081, 0.094]	0.565 [0.561, 0.570]
dnase_only_LOCAL	0.842 [0.832, 0.851]	0.615 [0.592, 0.639]	-	0.000 [0.000, 0.000]	0.000 [0.000, 0.000]	0.029 [0.026, 0.032]	0.084 [0.076, 0.092]	0.566 [0.562, 0.570]
