config	overall_pearson	overall_pearson_topq	residual_pearson	incremental_r2	incremental_r2_topq	profile_pearson	profile_pearson_topq	profile_jsd
narrow_flat_transferred	0.835 [0.807, 0.863]	0.614 [0.582, 0.646]	0.310 [0.263, 0.356]	0.006 [-0.009, 0.022]	0.036 [0.017, 0.056]	0.046 [0.042, 0.051]	0.129 [0.117, 0.142]	0.606 [0.598, 0.613]
narrow_flat_local	0.878 [0.859, 0.898]	0.699 [0.695, 0.703]	0.511 [0.470, 0.552]	0.081 [0.067, 0.094]	0.147 [0.101, 0.193]	0.065 [0.061, 0.070]	0.176 [0.162, 0.189]	0.602 [0.594, 0.609]
WIDE_flat_transferred	0.842 [0.818, 0.865]	0.620 [0.589, 0.650]	0.350 [0.308, 0.392]	0.018 [0.008, 0.028]	0.043 [0.015, 0.071]	0.047 [0.043, 0.050]	0.131 [0.120, 0.142]	0.606 [0.598, 0.613]
WIDE_flat_local	0.887 [0.868, 0.905]	0.727 [0.712, 0.741]	0.559 [0.525, 0.593]	0.096 [0.084, 0.108]	0.187 [0.154, 0.219]	0.066 [0.061, 0.070]	0.177 [0.163, 0.190]	0.601 [0.594, 0.609]
narrow_FRAG_transferred	0.835 [0.816, 0.853]	0.611 [0.577, 0.645]	0.310 [0.293, 0.327]	0.006 [-0.006, 0.019]	0.033 [0.013, 0.052]	0.046 [0.043, 0.050]	0.130 [0.118, 0.141]	0.606 [0.598, 0.613]
narrow_FRAG_local	0.881 [0.862, 0.901]	0.715 [0.705, 0.724]	0.529 [0.492, 0.566]	0.086 [0.075, 0.098]	0.169 [0.127, 0.211]	0.065 [0.061, 0.070]	0.176 [0.163, 0.190]	0.601 [0.594, 0.609]
WIDE_FRAG_local	0.889 [0.871, 0.907]	0.733 [0.717, 0.750]	0.568 [0.537, 0.599]	0.099 [0.088, 0.111]	0.196 [0.170, 0.222]	0.066 [0.061, 0.070]	0.177 [0.163, 0.191]	0.601 [0.594, 0.609]
atac_LOCAL	0.831 [0.809, 0.853]	0.584 [0.540, 0.627]	-	0.000 [0.000, 0.000]	0.000 [0.000, 0.000]	0.041 [0.038, 0.045]	0.116 [0.106, 0.126]	0.607 [0.600, 0.615]
