position	mean_all	median_all	mean_decile4	mean_decile6	mean_decile8	mean_decile10
6725.0	3.998371	1.0	1.315665	1.978778	4.357893	18.229036
6775.0	4.008512	1.0	1.3129169	1.9873132	4.3600345	18.230867
6825.0	4.024615	1.0	1.3300894	2.0016012	4.3852124	18.258886
6875.0	4.016111	1.0	1.3466549	1.9960457	4.372502	18.166693
6925.0	4.02601	1.0	1.3432533	2.002181	4.377329	18.260426
6975.0	4.034779	1.0	1.3389133	2.0262666	4.400152	18.306332
7025.0	4.0307145	1.0	1.3395066	2.032087	4.446606	18.222254
7075.0	4.0206065	1.0	1.3176327	2.0431926	4.4834337	18.119738
7125.0	4.0121303	1.0	1.312211	2.0576284	4.5308137	17.99553
7175.0	3.9877048	1.0	1.3017209	2.0578258	4.5468884	17.731083
7225.0	3.9657257	1.0	1.3040348	2.0306473	4.5389357	17.616999
7275.0	3.942565	1.0	1.2838607	2.009112	4.505001	17.578747
7325.0	3.932083	1.0	1.3000073	2.0026288	4.4485836	17.551952
7375.0	3.9291432	1.0	1.2849022	1.9829396	4.4402356	17.56379
7425.0	3.932194	1.0	1.2789929	1.95814	4.447508	17.5513
7475.0	3.948967	1.0	1.277839	1.966726	4.4719324	17.550196
7525.0	3.9780111	1.0	1.2909443	1.9933312	4.482004	17.590176
7575.0	4.009126	1.0	1.2964656	1.9811878	4.48348	17.747257
7625.0	4.0524898	1.0	1.3096561	2.001087	4.464713	18.06661
7675.0	4.0940843	1.0	1.3134439	2.0234804	4.4743233	18.417564
7725.0	4.119017	1.0	1.3113582	2.037887	4.450998	18.664154
7775.0	4.129086	1.0	1.3024939	2.0290349	4.4270515	18.821638
7825.0	4.1058307	1.0	1.3029344	2.031039	4.419721	18.684933
7875.0	4.082932	1.0	1.2909906	2.02382	4.4414406	18.491106
7925.0	4.0641503	1.0	1.2983526	2.0204082	4.42518	18.453894
7975.0	4.040575	1.0	1.2978722	2.0196998	4.428016	18.387674
8025.0	4.036308	1.0	1.3000008	2.0191793	4.440237	18.487331
8075.0	4.0422626	1.0	1.2838746	2.014606	4.4561048	18.661766
8125.0	4.034616	1.0	1.288202	2.0089467	4.445368	18.713577
8175.0	4.0169487	1.0	1.28815	2.0025263	4.446654	18.506681
8225.0	3.9913714	1.0	1.2782464	1.9995067	4.449569	18.26576
8275.0	3.9539788	1.0	1.2839136	1.9889661	4.492318	17.860594
8325.0	3.9325716	1.0	1.2706628	1.9852473	4.524206	17.582212
8375.0	3.9219043	1.0	1.2599069	1.9989543	4.519387	17.460144
8425.0	3.926409	1.0	1.2777523	2.0022593	4.502362	17.509094
8475.0	3.9397	1.0	1.2823207	1.9858876	4.48693	17.57437
8525.0	3.947546	1.0	1.2873623	1.9835676	4.4226336	17.644371
8575.0	3.9403622	1.0	1.3009002	2.0159614	4.36546	17.554663
8625.0	3.9400978	1.0	1.3231615	2.0305269	4.354344	17.43362
8675.0	3.938928	1.0	1.3156781	2.054776	4.3411837	17.279898
8725.0	3.9349756	1.0	1.3314639	2.0776205	4.292815	17.15823
8775.0	3.9447577	1.0	1.3521771	2.119687	4.282184	17.098074
8825.0	3.9490337	1.0	1.3802335	2.1459134	4.2609377	17.030378
8875.0	3.941665	1.0	1.3913832	2.156472	4.2275066	16.955927
8925.0	3.921863	1.0	1.3993472	2.1614077	4.2425613	16.804068
8975.0	3.9204	1.0	1.3984265	2.1665921	4.3076797	16.748037
9025.0	3.9136503	1.0	1.3760928	2.165806	4.3419213	16.74184
9075.0	3.9125264	1.0	1.3578395	2.1649404	4.339755	16.722185
9125.0	3.918668	1.0	1.3399738	2.165728	4.3646674	16.698524
9175.0	3.928692	1.0	1.3340173	2.1592138	4.3636174	16.718716
9225.0	3.928342	1.0	1.3333582	2.160839	4.3687997	16.658865
9275.0	3.9453697	1.0	1.3269147	2.1479142	4.4156046	16.641768
9325.0	3.9620008	1.0	1.3354923	2.12452	4.4805236	16.67447
9375.0	3.9718874	1.0	1.3504765	2.115397	4.5303087	16.590797
9425.0	3.973268	1.0	1.3405406	2.1331606	4.584858	16.416977
9475.0	3.971315	1.0	1.3397676	2.1666796	4.58933	16.283411
9525.0	3.9558773	1.0	1.3723451	2.1742394	4.549794	16.056414
9575.0	3.9623318	1.0	1.3860493	2.1809402	4.59338	15.91934
9625.0	3.9624844	1.0	1.3962258	2.1903749	4.6574626	15.795496
9675.0	3.985741	1.0	1.4228547	2.192593	4.735445	15.808697
9725.0	4.0043454	1.0	1.4492636	2.207421	4.827059	15.658487
9775.0	4.0125465	1.0	1.4522575	2.2487404	4.914769	15.4049425
9825.0	3.9987264	1.0	1.433831	2.3106666	4.956498	15.066213
9875.0	3.9992926	1.0	1.4363989	2.4007936	4.9608016	14.750783
9925.0	3.9816983	1.0	1.4479227	2.4707003	4.98917	14.314154
9975.0	3.972663	1.0	1.4429667	2.5081482	5.0192833	14.018661
