arm_a	arm_b	auprc_a	auprc_b	delta	ci_lo	ci_hi	sign_kept_frac	sign_kept_pct	n_pairs	n_regulated	n_boot
pred_gm12878_atac.ABC.Score	K562_ATAC_only.ABC.Score	0.465194	0.468009	-0.002815	-0.013153	0.007812	0.732	73.2	10342	466	2000
pred_gm12878_multimodal.ABC.Score	K562_ATAC_only.ABC.Score	0.4632	0.468009	-0.004808	-0.02157	0.01104	0.727	72.7	10342	466	2000
pred_k562_atac.ABC.Score	pred_gm12878_atac.ABC.Score	0.470479	0.465194	0.005285	-0.001299	0.011899	0.945	94.5	10342	466	2000
pred_k562_multimodal.ABC.Score	pred_gm12878_multimodal.ABC.Score	0.480142	0.4632	0.016942	0.004081	0.029705	0.9955	99.55	10342	466	2000
pred_k562_multimodal.ABC.Score	K562_ATAC_only.ABC.Score	0.480142	0.468009	0.012133	-0.005318	0.028499	0.9105	91.05	10342	466	2000
