config	overall_pearson	overall_pearson_topq	residual_pearson	incremental_r2	incremental_r2_topq	profile_pearson	profile_pearson_topq	profile_jsd
dnase_profile_head	0.878 [0.859, 0.897]	0.701 [0.686, 0.716]	0.213 [0.204, 0.221]	0.005 [0.002, 0.007]	0.015 [0.001, 0.030]	0.004 [0.003, 0.006]	-0.001 [-0.005, 0.004]	0.618 [0.611, 0.626]
epoch_matched_baseline	0.876 [0.855, 0.896]	0.693 [0.680, 0.706]	0.158 [0.134, 0.183]	0.000 [-0.001, 0.002]	0.005 [-0.009, 0.018]	0.064 [0.059, 0.068]	0.172 [0.159, 0.184]	0.602 [0.594, 0.609]
atac_input	0.876 [0.856, 0.895]	0.690 [0.683, 0.696]	-	0.000 [0.000, 0.000]	0.000 [0.000, 0.000]	0.064 [0.059, 0.068]	0.171 [0.158, 0.185]	0.602 [0.594, 0.609]
