config	overall_pearson	overall_pearson_topq	residual_pearson	incremental_r2	incremental_r2_topq	profile_pearson	profile_pearson_topq	profile_jsd
atac_5PRIME	0.792 [0.777, 0.807]	0.518 [0.485, 0.550]	0.249 [0.231, 0.267]	0.025 [0.019, 0.030]	0.022 [0.006, 0.038]	0.034 [0.031, 0.037]	0.097 [0.089, 0.104]	0.565 [0.561, 0.569]
multimodal_OLD	0.829 [0.817, 0.841]	0.587 [0.569, 0.604]	0.461 [0.429, 0.494]	0.085 [0.070, 0.099]	0.098 [0.081, 0.114]	0.052 [0.048, 0.057]	0.141 [0.131, 0.151]	0.562 [0.558, 0.565]
multimodal_5PRIME	0.829 [0.815, 0.843]	0.585 [0.569, 0.602]	0.463 [0.434, 0.492]	0.085 [0.074, 0.096]	0.096 [0.079, 0.113]	0.052 [0.048, 0.057]	0.142 [0.132, 0.152]	0.561 [0.558, 0.565]
atac_OLD	0.776 [0.760, 0.792]	0.496 [0.464, 0.529]	-	0.000 [0.000, 0.000]	0.000 [0.000, 0.000]	0.030 [0.027, 0.032]	0.085 [0.078, 0.092]	0.566 [0.562, 0.570]
