config	overall_pearson	overall_pearson_topq	residual_pearson	incremental_r2	incremental_r2_topq	profile_pearson	profile_pearson_topq	profile_jsd
atac_5PRIME	0.599 [0.584, 0.615]	0.292 [0.251, 0.332]	0.105 [0.026, 0.184]	-0.003 [-0.028, 0.021]	-0.008 [-0.024, 0.008]	0.083 [0.079, 0.088]	0.209 [0.194, 0.224]	0.612 [0.608, 0.617]
multimodal_OLD	0.794 [0.771, 0.817]	0.619 [0.580, 0.658]	0.662 [0.634, 0.690]	0.268 [0.255, 0.282]	0.290 [0.251, 0.329]	0.103 [0.098, 0.107]	0.250 [0.233, 0.267]	0.607 [0.602, 0.611]
multimodal_5PRIME	0.801 [0.784, 0.818]	0.642 [0.610, 0.674]	0.678 [0.657, 0.698]	0.279 [0.256, 0.302]	0.319 [0.280, 0.357]	0.104 [0.100, 0.109]	0.253 [0.236, 0.269]	0.606 [0.602, 0.611]
atac_OLD	0.602 [0.576, 0.628]	0.306 [0.282, 0.330]	-	0.000 [0.000, 0.000]	0.000 [0.000, 0.000]	0.081 [0.076, 0.086]	0.202 [0.185, 0.218]	0.613 [0.608, 0.618]
