config	overall_pearson	overall_pearson_topq	residual_pearson	incremental_r2	incremental_r2_topq	profile_pearson	profile_pearson_topq	profile_jsd
K562_incell	0.691 [0.671, 0.710]	0.482 [0.430, 0.534]	0.576 [0.537, 0.616]	0.248 [0.212, 0.284]	0.164 [0.105, 0.223]	0.267 [0.259, 0.275]	0.453 [0.435, 0.472]	0.493 [0.490, 0.496]
GM_single_corrupted	0.499 [0.469, 0.529]	0.232 [0.135, 0.329]	0.135 [0.047, 0.222]	0.020 [-0.008, 0.049]	-0.011 [-0.027, 0.005]	0.201 [0.192, 0.209]	0.336 [0.323, 0.348]	0.525 [0.519, 0.530]
GM_single_corrected	0.518 [0.489, 0.547]	0.253 [0.162, 0.345]	0.208 [0.114, 0.301]	0.040 [0.012, 0.067]	-0.001 [-0.022, 0.020]	0.216 [0.208, 0.225]	0.362 [0.348, 0.376]	0.518 [0.514, 0.522]
GM_single_corrected_tgtnorm	0.530 [0.499, 0.561]	0.266 [0.178, 0.355]	0.238 [0.154, 0.322]	0.052 [0.023, 0.082]	0.005 [-0.018, 0.029]	0.217 [0.208, 0.226]	0.363 [0.348, 0.378]	0.516 [0.513, 0.520]
multicell_holdK562	0.574 [0.538, 0.609]	0.317 [0.222, 0.412]	0.377 [0.331, 0.422]	0.101 [0.078, 0.124]	0.036 [0.005, 0.066]	0.233 [0.225, 0.241]	0.393 [0.376, 0.410]	0.512 [0.507, 0.517]
K562_atac_only_floor	0.478 [0.450, 0.507]	0.256 [0.165, 0.346]	-	0.000 [0.000, 0.000]	0.000 [0.000, 0.000]	0.217 [0.210, 0.225]	0.371 [0.354, 0.388]	0.512 [0.508, 0.516]
