config	overall_pearson	overall_pearson_topq	residual_pearson	incremental_r2	incremental_r2_topq	profile_pearson	profile_pearson_topq	profile_jsd
K562seq_to_GM	0.365 [0.326, 0.405]	0.154 [0.120, 0.188]	0.045 [0.010, 0.080]	-0.468 [-0.505, -0.431]	-0.223 [-0.246, -0.199]	0.029 [0.026, 0.032]	0.076 [0.069, 0.083]	0.565 [0.561, 0.569]
K562mm_to_GM	0.787 [0.772, 0.802]	0.524 [0.491, 0.558]	0.272 [0.232, 0.312]	0.017 [0.000, 0.034]	0.029 [0.006, 0.051]	0.039 [0.035, 0.043]	0.106 [0.097, 0.116]	0.563 [0.559, 0.566]
K562resSeq_to_GM	0.789 [0.772, 0.807]	0.538 [0.520, 0.555]	0.245 [0.204, 0.286]	0.020 [0.011, 0.030]	0.042 [0.028, 0.056]	0.030 [0.027, 0.033]	0.079 [0.072, 0.086]	0.565 [0.561, 0.569]
K562resMM_to_GM	0.793 [0.779, 0.807]	0.538 [0.509, 0.566]	0.276 [0.234, 0.317]	0.026 [0.012, 0.040]	0.043 [0.021, 0.064]	0.038 [0.035, 0.042]	0.105 [0.096, 0.115]	0.563 [0.559, 0.566]
atac_LOCAL	0.776 [0.760, 0.792]	0.496 [0.464, 0.529]	-	0.000 [0.000, 0.000]	0.000 [0.000, 0.000]	0.030 [0.027, 0.032]	0.085 [0.078, 0.092]	0.566 [0.562, 0.570]
