config	overall_pearson	overall_pearson_topq	residual_pearson	incremental_r2	incremental_r2_topq	profile_pearson	profile_pearson_topq	profile_jsd
real_dnase	0.894 [0.886, 0.903]	0.728 [0.706, 0.749]	0.456 [0.403, 0.510]	0.033 [0.010, 0.056]	0.054 [0.030, 0.078]	0.064 [0.060, 0.068]	0.172 [0.159, 0.185]	0.602 [0.594, 0.609]
converted_dnase	0.864 [0.845, 0.884]	0.680 [0.667, 0.692]	0.133 [0.113, 0.153]	-0.020 [-0.026, -0.013]	-0.014 [-0.024, -0.003]	0.063 [0.059, 0.068]	0.171 [0.157, 0.185]	0.602 [0.594, 0.609]
dnase_smooth250	0.884 [0.869, 0.899]	0.704 [0.681, 0.726]	0.413 [0.362, 0.464]	0.015 [0.002, 0.029]	0.020 [-0.008, 0.048]	0.064 [0.060, 0.068]	0.171 [0.158, 0.184]	0.602 [0.594, 0.609]
atac_input	0.876 [0.856, 0.895]	0.690 [0.683, 0.696]	-	0.000 [0.000, 0.000]	0.000 [0.000, 0.000]	0.064 [0.059, 0.068]	0.171 [0.158, 0.185]	0.602 [0.594, 0.609]
