config	overall_pearson	overall_pearson_topq	residual_pearson	incremental_r2	incremental_r2_topq
GMseq_to_K562	0.390 [0.349, 0.432]	0.317 [0.272, 0.362]	0.008 [-0.068, 0.084]	-0.491 [-0.537, -0.444]	-0.192 [-0.236, -0.148]
GMmm_to_K562	0.828 [0.801, 0.856]	0.602 [0.578, 0.626]	0.404 [0.351, 0.457]	0.043 [0.022, 0.064]	0.069 [0.027, 0.112]
GMresSeq_to_K562	0.820 [0.800, 0.840]	0.594 [0.572, 0.615]	0.316 [0.271, 0.360]	0.029 [0.015, 0.042]	0.059 [0.018, 0.100]
GMresMM_to_K562	0.823 [0.796, 0.851]	0.600 [0.585, 0.616]	0.351 [0.291, 0.411]	0.034 [0.019, 0.050]	0.067 [0.031, 0.103]
GMatac_to_K562	0.802 [0.779, 0.825]	0.541 [0.493, 0.589]	-	0.000 [0.000, 0.000]	0.000 [0.000, 0.000]
