config	overall_pearson	overall_pearson_topq	residual_pearson	incremental_r2	incremental_r2_topq
sequence_narrow	0.475 [0.441, 0.509]	0.221 [0.191, 0.252]	0.144 [0.087, 0.201]	-0.399 [-0.434, -0.364]	-0.218 [-0.254, -0.181]
sequence_WIDE	0.520 [0.485, 0.555]	0.232 [0.169, 0.294]	0.163 [0.124, 0.201]	-0.355 [-0.379, -0.331]	-0.211 [-0.266, -0.156]
atac_narrow	0.791 [0.776, 0.806]	0.516 [0.484, 0.549]	-	0.000 [0.000, 0.000]	0.000 [0.000, 0.000]
