distance	r1	both
-2975.0	0.00453907131899048	0.004529488646723898
-2925.0	0.004592900556815969	0.004533710715954751
-2875.0	0.004572846527037846	0.004575403649609419
-2825.0	0.004627731240114815	0.004612346755379378
-2775.0	0.00466467287391662	0.004674886155861381
-2725.0	0.004733278765262832	0.004754841591920649
-2675.0	0.004747527681157814	0.004720537279419972
-2625.0	0.004753860532666695	0.004774368662113341
-2575.0	0.004809272983369404	0.004783340559228902
-2525.0	0.0048747124489611745	0.0048638237539420275
-2475.0	0.004882100775721536	0.004884142462115505
-2425.0	0.004961789157208289	0.004961722984232419
-2375.0	0.005038838850566342	0.0050567195419265985
-2325.0	0.00503145052380598	0.005016609884233501
-2275.0	0.005081585598251288	0.0050910238544272755
-2225.0	0.005126971034064936	0.0051002596308697655
-2175.0	0.005294263861424544	0.0052029086890448654
-2125.0	0.005220908331446671	0.0052358936049109
-2075.0	0.005232518559212953	0.005250406967891955
-2025.0	0.005359703327016315	0.00531716843760481
-1975.0	0.005402450074701261	0.005443566635203455
-1925.0	0.0054145880400932826	0.005481301378954199
-1875.0	0.0055892691942132505	0.005602685869341207
-1825.0	0.005628321778518018	0.0055665344015520335
-1775.0	0.005747062744309537	0.005806400709729838
-1725.0	0.0058457496803229324	0.005846774246749864
-1675.0	0.006053678304864527	0.006008268394829971
-1625.0	0.0060710936465139505	0.006046267017907643
-1575.0	0.006124395146713699	0.006186386940506558
-1525.0	0.006306464627594028	0.006281383498200738
-1475.0	0.006443676410286451	0.0063837686770489115
-1425.0	0.006541307871048367	0.006565053774648637
-1375.0	0.006599886747505516	0.006634717916957703
-1325.0	0.006887503753533863	0.006883292242924142
-1275.0	0.0069777468875354175	0.006968525265521976
-1225.0	0.007269058056943945	0.007206016659757427
-1175.0	0.007487541434000341	0.007522144093417504
-1125.0	0.007803656271818652	0.007781009713134146
-1075.0	0.008056970332173893	0.008027209125158228
-1025.0	0.008298674164762853	0.00832433724727947
-975.0	0.008784720518069472	0.008780848482865393
-925.0	0.00925493474260389	0.009222846355470257
-875.0	0.009726204442389785	0.009728175266537912
