half_window	out_window	n_elements	pearson_all	spearman_all	pearson_top_quintile	spearman_top_quintile	mean_counts_rep1
250	500	154222	0.8857	0.8348	0.7811	0.7605	10.6
500	1000	154222	0.9116	0.8811	0.8321	0.8188	21.1
750	1500	154222	0.921	0.8977	0.8598	0.8457	29.4
1000	2000	154222	0.9264	0.9068	0.8755	0.8608	36.2
1500	3000	154222	0.9335	0.9178	0.8936	0.8776	47.0
2000	4000	154222	0.9391	0.9253	0.9044	0.887	55.9
