config	overall_pearson	overall_pearson_topq	residual_pearson	incremental_r2	incremental_r2_topq	profile_pearson	profile_pearson_topq	profile_jsd
negatives_GCMATCHED_transferred	0.788 [0.773, 0.803]	0.529 [0.501, 0.556]	0.083 [0.019, 0.146]	0.001 [-0.005, 0.007]	-0.003 [-0.009, 0.004]	0.039 [0.036, 0.043]	0.108 [0.099, 0.117]	0.562 [0.559, 0.566]
atac_LOCAL	0.792 [0.777, 0.807]	0.518 [0.485, 0.550]	0.296 [0.261, 0.331]	0.007 [-0.008, 0.022]	-0.014 [-0.042, 0.015]	0.034 [0.031, 0.037]	0.097 [0.089, 0.104]	0.565 [0.561, 0.569]
negatives_UNMATCHED_transferred	0.788 [0.770, 0.805]	0.531 [0.500, 0.562]	-	0.000 [0.000, 0.000]	0.000 [0.000, 0.000]	0.039 [0.035, 0.043]	0.108 [0.099, 0.118]	0.562 [0.559, 0.566]
