config	overall_pearson	overall_pearson_topq	residual_pearson	incremental_r2	incremental_r2_topq	profile_pearson	profile_pearson_topq	profile_jsd
real_dnase	0.873 [0.865, 0.882]	0.663 [0.646, 0.680]	0.523 [0.509, 0.536]	0.080 [0.070, 0.089]	0.104 [0.094, 0.115]	0.050 [0.046, 0.055]	0.137 [0.127, 0.147]	0.562 [0.558, 0.565]
dnase_smooth250	0.873 [0.865, 0.882]	0.662 [0.648, 0.676]	0.523 [0.505, 0.540]	0.080 [0.070, 0.091]	0.103 [0.097, 0.109]	0.050 [0.046, 0.055]	0.137 [0.126, 0.147]	0.562 [0.558, 0.565]
converted_pow	0.802 [0.786, 0.819]	0.558 [0.547, 0.569]	0.107 [0.070, 0.144]	-0.039 [-0.048, -0.030]	-0.024 [-0.036, -0.011]	0.050 [0.045, 0.054]	0.136 [0.125, 0.146]	0.562 [0.558, 0.566]
atac_input	0.826 [0.812, 0.840]	0.579 [0.561, 0.597]	-	0.000 [0.000, 0.000]	0.000 [0.000, 0.000]	0.051 [0.047, 0.056]	0.139 [0.129, 0.149]	0.561 [0.558, 0.565]
