config	overall_pearson	overall_pearson_topq	residual_pearson	incremental_r2	incremental_r2_topq	profile_pearson	profile_pearson_topq	profile_jsd
GMp300_transferred	0.679 [0.663, 0.696]	0.312 [0.253, 0.371]	-0.088 [-0.140, -0.035]	-0.170 [-0.189, -0.150]	-0.284 [-0.296, -0.273]	0.080 [0.077, 0.084]	0.189 [0.176, 0.202]	0.616 [0.611, 0.621]
K562atac_local	0.602 [0.576, 0.628]	0.306 [0.282, 0.330]	-0.190 [-0.240, -0.140]	-0.268 [-0.282, -0.255]	-0.290 [-0.329, -0.251]	0.081 [0.076, 0.086]	0.202 [0.185, 0.218]	0.613 [0.608, 0.618]
K562p300_local	0.794 [0.771, 0.817]	0.619 [0.580, 0.658]	-	0.000 [0.000, 0.000]	0.000 [0.000, 0.000]	0.103 [0.098, 0.107]	0.250 [0.233, 0.267]	0.607 [0.602, 0.611]
