distance	K562	GM12878	TeloHAEC_ctrl	TeloHAEC_TNFa
-1987.5	0.0036329295851321502	0.003272687984871701	0.002791134622897192	0.002832746320063456
-1962.5	0.0036458981330627026	0.0032697238924975914	0.002790534182067526	0.0028619758228243353
-1937.5	0.0036630576258137293	0.0032840939169142837	0.0028277148773258845	0.0028213513417926486
-1912.5	0.00366722686292391	0.003312766221856184	0.0028194194666402907	0.0028366578413021063
-1887.5	0.003690322057711083	0.0033465106030698653	0.0028030909737869415	0.002853473609456709
-1862.5	0.003701072801238965	0.003380612323406982	0.002787940044502452	0.0028542282437792853
-1837.5	0.0036910442913226506	0.0034121865231150007	0.002763916581793186	0.0028654471407081553
-1812.5	0.0036845618263332256	0.0034458354290196735	0.0027432917307702825	0.0028871806091981815
-1787.5	0.0036925918701697247	0.0034611039513653195	0.002714721240418879	0.002940394906178076
-1762.5	0.0036940612108108816	0.0034662512986276166	0.0027307815752317956	0.0029517018437779136
-1737.5	0.0036931580796134606	0.003477268990824358	0.002769273913079237	0.002993043227416041
-1712.5	0.0036962184145223143	0.0034951034616205485	0.002788604610080932	0.003029152479751024
-1687.5	0.0037002678069818495	0.0035056513043711882	0.0027867799695014484	0.003036120269996086
-1662.5	0.00370531711084726	0.003528980557475412	0.002813496671660286	0.0029698382219970243
-1637.5	0.003727214311372064	0.0035724111266798374	0.0029427430176266122	0.002980440834229119
-1612.5	0.0037639998354573696	0.003606169769765421	0.002966096085234795	0.003063425455234412
-1587.5	0.003820039646338009	0.0036338243316828608	0.002965425690133708	0.0031619303888072194
-1562.5	0.003879179137352411	0.003655265471414302	0.0030289733161938453	0.003219886304780591
-1537.5	0.003948383317800258	0.00366584817651846	0.003099271529445724	0.0032549139145865626
-1512.5	0.004019138695046956	0.0036813080456452696	0.0031741925541337933	0.0032509520843930794
-1487.5	0.004088292224170777	0.0037124191306800347	0.00319377392060806	0.0032342117796707254
-1462.5	0.004151602761271221	0.003766657425633971	0.003175999706145433	0.0032594417205219837
-1437.5	0.004224308666737456	0.0038111536735988953	0.0031609828558811525	0.0032663214700960836
-1412.5	0.004286014190007336	0.003866717134149098	0.003211705532181396	0.0033410554225079335
-1387.5	0.0043618817330304755	0.003929377064452998	0.0032716563427861458	0.0033806863016815703
-1362.5	0.004427552983626421	0.0039976280447001685	0.003222921533698668	0.0032976262172440267
-1337.5	0.004467842493949913	0.00404718804951166	0.003258639018779882	0.0031995489097873366
-1312.5	0.004494663726761921	0.004078407287074921	0.00325121803648702	0.0031889714520326453
-1287.5	0.0045159775325722675	0.004100602721364033	0.0032567735715420894	0.0032473675713608537
-1262.5	0.004540639300453044	0.004126646484084306	0.0032975102755975045	0.0032621458268445236
-1237.5	0.004583987788953474	0.0041586861754442555	0.0033456737914683947	0.0033116498384051234
-1212.5	0.004631857360368607	0.004185884357461256	0.0033525059919768396	0.0033405523329595606
-1187.5	0.004696104494719857	0.004224368037936028	0.003333274396859662	0.0034023946156941753
-1162.5	0.004767681599250286	0.004266698462189482	0.0033837813808230478	0.0035095526894991192
-1137.5	0.004837745495474968	0.004337568476743702	0.0034633193874246773	0.0035512462358211062
-1112.5	0.004904441078650906	0.004429149898584431	0.0034977135708715587	0.003542832063124448
-1087.5	0.00496511458119345	0.004511850928196094	0.0035359027735428605	0.003480775967331769
-1062.5	0.005027548669490375	0.004612102379655522	0.003498803691601151	0.0035147345118474427
-1037.5	0.005084186799136225	0.004708740031243721	0.003544524637495072	0.0035492338776275806
-1012.5	0.005143021025474507	0.004828182415981142	0.0036193931964795794	0.003606950826065488
-987.5	0.005200250690226154	0.004948555784022367	0.0037068710128870764	0.003651411364903584
-962.5	0.005248961887659521	0.005068277067587848	0.003769031212564091	0.0037950937399209126
-937.5	0.005293586156384237	0.005180468875122554	0.0038659994917938723	0.0038837255411067716
-912.5	0.00533001078978575	0.005271828445622794	0.003954118555689374	0.003910779181570904
-887.5	0.005375890487756377	0.005360748443703906	0.0040433918650632375	0.004001347877518026
-862.5	0.005466137127635827	0.00546182946071153	0.004154473418551503	0.004093576768974783
-837.5	0.005566853215297139	0.005559730080288037	0.0042484744707686865	0.004268563891140077
-812.5	0.00567987350450489	0.005673583395897742	0.004449214082123627	0.004393933806596382
-787.5	0.005771678124842611	0.005804534715085812	0.004585455855231666	0.004413290176970312
-762.5	0.005850487062611923	0.0059054430049782945	0.004653807007929137	0.004477371208195205
-737.5	0.005920129015217558	0.005975970734607209	0.004767838299862136	0.0046232420227479845
-712.5	0.005977320239232244	0.006050241017117419	0.004850285238250221	0.004650358549405662
-687.5	0.006032631485085803	0.0061372511128548425	0.004921556981779364	0.004825320517093543
-662.5	0.006097274785150131	0.0062324475230561335	0.005083122201140524	0.00511959017117974
-637.5	0.00616804960888723	0.006331671723576508	0.005317177534258022	0.005346810565705581
-612.5	0.00623531275823882	0.0064386112006252555	0.005577086800186856	0.005479047653497275
-587.5	0.006300731204458505	0.006490174206110811	0.005820667573262342	0.005680321204565431
-562.5	0.006311978511859566	0.006513993116816563	0.00603362586402488	0.0060093795009220725
-537.5	0.006297294602571105	0.006520122156260506	0.006169826830474613	0.006158683901642568
-512.5	0.0062627038184462375	0.006542442778091751	0.006330814927096588	0.006316238970956485
-487.5	0.006238620018352338	0.006632678037691469	0.006651596068203866	0.006390645915161917
-462.5	0.006278604716243651	0.006788847911845854	0.006949041630270768	0.006520065701482662
-437.5	0.0064237347791861405	0.006990736989479609	0.0071552026976605485	0.006919556534612534
-412.5	0.006643462936342947	0.00727840013395383	0.007588668510976036	0.007465295499456467
-387.5	0.006898308741843392	0.007586103981572726	0.00803471443410145	0.008054337897177244
-362.5	0.007175421683431764	0.007900355216877663	0.008407355008419508	0.008671930626768597
-337.5	0.007466334397357699	0.008256200013055185	0.00887435223583441	0.009234145774321967
-312.5	0.00785907662358592	0.008671273570858128	0.009531409389167878	0.009862240498235746
-287.5	0.008348742419587836	0.009244892000648005	0.01037027186439263	0.010776391939358412
-262.5	0.008937575367672125	0.009949599218224421	0.011443312092709813	0.011885364808091192
-237.5	0.009649260388755786	0.010705032348639157	0.012654208871900339	0.013141931573080076
-212.5	0.0103508350437656	0.011507752696114752	0.013834430703074342	0.014352327294766203
-187.5	0.011006744364444045	0.012320602141935864	0.014857576047303013	0.015541681296091552
-162.5	0.01173822184264098	0.0132151321012024	0.016284666502309156	0.01669024731228183
-137.5	0.012701043364227048	0.014269462373345114	0.017550873792100363	0.017737780369918743
-112.5	0.013884762545862505	0.015574328968132224	0.018855969827276987	0.01899546650915272
-87.5	0.015269113883247075	0.017124196694618635	0.02036393324956429	0.020790527749488773
-62.5	0.017125457774738735	0.01884615212893917	0.02229239179734173	0.022577803679063747
-37.5	0.019309857176973703	0.02042954951623471	0.024179011861288815	0.024521641076094502
-12.5	0.020711004855205665	0.021389575933658454	0.025263332215872104	0.026117000920201097
12.5	0.02075480196971911	0.021377108284486423	0.025375439765341165	0.026402856401590624
37.5	0.019464747569161434	0.02035935892141071	0.02438685766071534	0.025286588734406354
62.5	0.017370538276310448	0.01874023633736152	0.022592903688305754	0.023142685201223423
87.5	0.015583241184366898	0.016996804504792795	0.020698897619201365	0.021025722113356432
