half_window	out_window	n_elements	pearson_all	spearman_all	pearson_top_quintile	spearman_top_quintile	mean_counts_rep1
250	500	150526	0.815	0.7334	0.7291	0.7051	8.6
500	1000	150526	0.8438	0.7782	0.7601	0.7512	17.0
750	1500	150526	0.856	0.7951	0.7756	0.7704	23.7
1000	2000	150526	0.8628	0.8045	0.7846	0.7809	29.2
1500	3000	150526	0.8712	0.8162	0.7954	0.7904	38.0
2000	4000	150526	0.8759	0.8232	0.7982	0.7903	45.0
