label	stratum	n	raw_r	spearman_brown	corrected_ceiling	total_counts	note
r1	all	151399	0.8632	0.9266	0.9626	3206256	
r1	top_quintile	30365	0.6833	0.8118	0.901	3206256	
both	all	151399	0.8464	0.9168	0.9575	6414368	
both	top_quintile	30301	0.6922	0.8181	0.9045	6414368	
both_depthmatched	all	151399	0.8374	0.9115	0.9547	3205858	thinned p=0.500
both_depthmatched	top_quintile	30308	0.6467	0.7855	0.8863	3205858	thinned p=0.500
