config	overall_pearson	overall_pearson_topq	residual_pearson	incremental_r2	incremental_r2_topq	profile_pearson	profile_pearson_topq	profile_jsd
atac_WIDE	0.804 [0.790, 0.819]	0.532 [0.497, 0.568]	0.231 [0.217, 0.245]	0.020 [0.017, 0.022]	0.015 [0.007, 0.024]	0.034 [0.031, 0.037]	0.098 [0.090, 0.106]	0.565 [0.561, 0.569]
sequence_narrow	0.494 [0.455, 0.533]	0.230 [0.190, 0.270]	0.143 [0.085, 0.201]	-0.382 [-0.422, -0.342]	-0.215 [-0.253, -0.176]	0.044 [0.040, 0.047]	0.117 [0.109, 0.126]	0.564 [0.560, 0.568]
sequence_WIDE	0.536 [0.501, 0.572]	0.230 [0.170, 0.290]	0.161 [0.119, 0.202]	-0.339 [-0.368, -0.310]	-0.214 [-0.267, -0.161]	0.044 [0.041, 0.048]	0.118 [0.111, 0.126]	0.564 [0.560, 0.568]
multimodal_narrow	0.829 [0.815, 0.843]	0.585 [0.569, 0.602]	0.406 [0.379, 0.433]	0.060 [0.053, 0.067]	0.074 [0.051, 0.098]	0.052 [0.048, 0.057]	0.142 [0.132, 0.152]	0.561 [0.558, 0.565]
multimodal_WIDE	0.844 [0.831, 0.858]	0.602 [0.578, 0.625]	0.481 [0.446, 0.516]	0.086 [0.075, 0.097]	0.094 [0.075, 0.113]	0.053 [0.048, 0.057]	0.142 [0.132, 0.153]	0.561 [0.558, 0.565]
atac_narrow	0.792 [0.777, 0.807]	0.518 [0.485, 0.550]	-	0.000 [0.000, 0.000]	0.000 [0.000, 0.000]	0.034 [0.031, 0.037]	0.097 [0.089, 0.104]	0.565 [0.561, 0.569]
