distance	r1	both
-2975.0	0.004608568930170273	0.0046116566166809385
-2925.0	0.004660411486377343	0.004644458950039777
-2875.0	0.00464854920656725	0.004653757825791054
-2825.0	0.004678278130041926	0.004664667530412632
-2775.0	0.004720308677023364	0.004717239127179699
-2725.0	0.004749744704700259	0.004738912097434645
-2675.0	0.004716061687955553	0.004736715512611509
-2625.0	0.004775519534904904	0.004765637212782806
-2575.0	0.004735685706406817	0.0047517255089029415
-2525.0	0.004799976334019539	0.004802320179329185
-2475.0	0.0049484745034940264	0.00492986853805931
-2425.0	0.004873786075060112	0.0048701214308699975
-2375.0	0.004903661446433678	0.004886961914514045
-2325.0	0.004922846121188272	0.00495754550683083
-2275.0	0.004948181607696247	0.004966917602076212
-2225.0	0.0050426405024803144	0.0050284951966181385
-2175.0	0.005037661273918054	0.005056831140836599
-2125.0	0.0051042950679130155	0.005104130934028138
-2075.0	0.005176200986268019	0.005140740681080412
-2025.0	0.005219549564339467	0.005193531936329793
-1975.0	0.005204172534956014	0.005223039392453926
-1925.0	0.005312397532235745	0.005294940935664593
-1875.0	0.005429262955549987	0.005411652809267245
-1825.0	0.005475540491599235	0.005479600499796266
-1775.0	0.005509809299939502	0.005515917368872123
-1725.0	0.0056470309811994576	0.005635045485780226
-1675.0	0.005707367515542149	0.0057070202484849975
-1625.0	0.005791282161606135	0.0058363258750736315
-1575.0	0.0059078546891225955	0.005906396930931686
-1525.0	0.006003778062895564	0.0060093435396426816
-1475.0	0.006070558304789417	0.0060979391275091865
-1425.0	0.006189473998688119	0.00620630397878392
-1375.0	0.006276317602729906	0.006310641757882903
-1325.0	0.006537434206450825	0.006536743555677751
-1275.0	0.006762524627044797	0.006707564635423664
-1225.0	0.006913951754497084	0.0068758230328759195
-1175.0	0.007183708784252516	0.007135752236947069
-1125.0	0.007463131375334687	0.00741984387407272
-1075.0	0.007668890673275176	0.007655976742559894
-1025.0	0.007896910051846949	0.007937432477897782
-975.0	0.008310478918312386	0.008325861894122415
-925.0	0.008657267542883972	0.008685223171187544
-875.0	0.009125168579837608	0.009093934387279137
-825.0	0.009624409467153714	0.009666803709153134
-775.0	0.010332045714590326	0.010318383987189518
-725.0	0.010951666774794032	0.010969671387249484
-675.0	0.011716564150696645	0.011697253500166392
-625.0	0.012566840651652143	0.012619233369930878
-575.0	0.01356664045737436	0.013529205242662216
-525.0	0.014451771558265686	0.01443200160497131
-475.0	0.015399289464084163	0.015395277269410762
-425.0	0.01627797685742433	0.01625516700817459
-375.0	0.016757154382592496	0.016770559027176512
-325.0	0.01708065779124057	0.017076836171015845
-275.0	0.01742319942674434	0.01745340402919554
-225.0	0.017416316375496513	0.017443153300020903
-175.0	0.017444580819982285	0.0174221393052129
-125.0	0.017698521476657594	0.01770410757700952
-75.0	0.017578434199567772	0.017609068673661816
-25.0	0.017108482892029674	0.017146980446368004
25.0	0.017180242362485786	0.01712296445230171
75.0	0.017495544688796015	0.017498726896046257
125.0	0.017697789237163145	0.01771897113431274
175.0	0.01767040348007071	0.017662226026381716
225.0	0.017590442927276753	0.017578023608161485
275.0	0.017553684504655356	0.01758937262974769
325.0	0.017175409581822416	0.01715723117554264
375.0	0.016836822039588674	0.016814051406674614
425.0	0.01621749387518275	0.016267833980654678
475.0	0.015510736315139476	0.015410067607219882
525.0	0.014534953964835224	0.01453626616457619
575.0	0.013650994447135018	0.013646136774747183
625.0	0.012723832799262253	0.012683739744236986
675.0	0.011755079948104721	0.011772449920611763
725.0	0.010975684230211996	0.010951146855241033
775.0	0.010232900487041776	0.010287924677642026
825.0	0.009674787544371882	0.009657651272390063
875.0	0.009159583836076766	0.009140501985529632
925.0	0.008708817203293261	0.008709605262724358
975.0	0.008318094209054668	0.008336844818238098
1025.0	0.007913165768623743	0.007892988244976319
1075.0	0.007596691859122392	0.007607944754427308
1125.0	0.007456687667783527	0.007463555912053137
1175.0	0.007069332975219405	0.007146149405109915
1225.0	0.006802651351340665	0.006856712744914631
1275.0	0.0066979411036342945	0.006694751223955369
1325.0	0.00651370964683064	0.006465500987914024
1375.0	0.006334310970690357	0.0063149617080350716
1425.0	0.006176147239889127	0.006165520720567686
1475.0	0.0061007265719607625	0.006074362450407521
1525.0	0.006028820653605759	0.006005536125949245
1575.0	0.005839317072442064	0.005880989766477406
1625.0	0.005694187204642046	0.005726203755940389
1675.0	0.005592991706509037	0.005598216080245637
1725.0	0.00549926505121942	0.005509840150861446
1775.0	0.00549926505121942	0.0054744751352089486
1825.0	0.005414764613559874	0.00540674710316224
1875.0	0.005300828148223433	0.005274512696809425
1925.0	0.00523111894835178	0.005220916027124893
1975.0	0.005153501561940065	0.00516387804121745
2025.0	0.005034732315940253	0.005039185242757403
2075.0	0.00496238705388858	0.0049617190179947895
2125.0	0.004948913847190697	0.004938728096845961
2175.0	0.0048816942616001745	0.004868583821493803
