distance	r1	both
-2975.0	0.004517287372094948	0.004548722708651741
-2925.0	0.004590537832281742	0.004610110046683358
-2875.0	0.004574201398714903	0.0046029964924908535
-2825.0	0.004649559785813547	0.004636720008662728
-2775.0	0.004752321222766244	0.0047476387610717865
-2725.0	0.004702257958609802	0.004724190378733529
-2675.0	0.00477023860151697	0.00479927789520997
-2625.0	0.0048772158922933675	0.004826941717069711
-2575.0	0.004880377782661143	0.004869359577254648
-2525.0	0.004918847448802409	0.004859611373361215
-2475.0	0.004979977329246064	0.004946818278461923
-2425.0	0.0049451965352005365	0.004988972673676767
-2375.0	0.004976815438878289	0.004998984342540293
-2325.0	0.005073780076823397	0.0050537850563195895
-2275.0	0.005101183126677449	0.005156272929685679
-2225.0	0.005083265747926723	0.005089616292252207
-2175.0	0.005278775969000828	0.00524189904496583
-2125.0	0.005325150361061532	0.005294592038984384
-2075.0	0.0053109218544065435	0.005337536829109507
-2025.0	0.005286153713192304	0.0053367464341992285
-1975.0	0.005548590613717651	0.005521435378234263
-1925.0	0.005461111646875869	0.005422899479419566
-1875.0	0.0056344886353755464	0.005648688958789073
-1825.0	0.005698780406186977	0.005692160678854381
-1775.0	0.005758329341446745	0.005741428628261729
-1725.0	0.005863198705311292	0.005855772425281993
-1675.0	0.005957001452888626	0.005957206438767711
-1625.0	0.006017077369876355	0.00603018623548341
-1575.0	0.006157781491242356	0.006113177701062633
-1525.0	0.006193616248743808	0.006224886848381969
-1475.0	0.006266866708930603	0.006335015205880749
-1425.0	0.006418110464855854	0.006407995002596447
-1375.0	0.006656833187622888	0.006666190673287365
-1325.0	0.00686657191535198	0.006781324865217909
-1275.0	0.006928755759251561	0.006936505732602552
-1225.0	0.007092647076647913	0.007102752128731092
-1175.0	0.007323465073495508	0.007320110729057631
-1125.0	0.007605927279683434	0.007663405585088516
-1075.0	0.007888389485871358	0.007921864720749527
-1025.0	0.008295746361586406	0.008264632646840225
-975.0	0.008688347748918504	0.008651399222936418
-925.0	0.008994524132864744	0.009044225493344743
-875.0	0.009637968822707012	0.009609357854193744
-825.0	0.01012173804897663	0.010117581781502703
-775.0	0.010705633803559132	0.01065952922498354
-725.0	0.011261599526559618	0.011312395420873434
-675.0	0.011929812357616126	0.01199951206287539
-625.0	0.012922645933097564	0.01283733066777041
-575.0	0.013636706174486814	0.013648012380745875
-525.0	0.01451518471500038	0.014411533864074733
-475.0	0.01498683336152686	0.015010126276125515
-425.0	0.01580839787542047	0.015793407632211334
-375.0	0.016027095292524926	0.016043699353799467
-325.0	0.016083482337416917	0.01614065446279361
-275.0	0.016445518784527186	0.016464979840977813
-225.0	0.016263183106652146	0.016285033266404448
-175.0	0.01604237776263584	0.016093757698117096
-125.0	0.016085063282600804	0.016017616321760283
-75.0	0.01591801007483668	0.015886674231624175
-25.0	0.015500113564562379	0.015479357387860746
25.0	0.015373637949851368	0.015486470942053252
75.0	0.015619211435081916	0.015669842561237823
125.0	0.016060822123114528	0.016013927812178985
175.0	0.01582104543689157	0.015878506817551298
225.0	0.01622892929433458	0.016140917927763704
275.0	0.016491893176587894	0.01638962885953128
325.0	0.01640652213665796	0.0163013680945502
375.0	0.016028676237708813	0.016079794054702178
425.0	0.01567138262615021	0.015691710153755523
475.0	0.014952052567481331	0.01504384979229739
525.0	0.014483038829594664	0.014581995699724758
575.0	0.013756858008462276	0.01371019011368777
625.0	0.012990626576004733	0.01307866458037539
675.0	0.012145347884352809	0.01214389086648623
725.0	0.011457109747633724	0.011496557434968283
775.0	0.010840541125917544	0.010881103264831563
825.0	0.010475869770167462	0.010369454292911397
875.0	0.009829263189957417	0.009705522568277607
925.0	0.00937026210490204	0.00933456389038698
975.0	0.008924435563045724	0.008916444982849749
1025.0	0.0083647809679495	0.008400580571408096
1075.0	0.008017500009222182	0.008006436976149306
1125.0	0.007906306864622084	0.007857052338106704
1175.0	0.007629641457441748	0.007604125966817641
1225.0	0.007257065375772228	0.00722895184940553
1275.0	0.0070367870134838825	0.00706929207752931
1325.0	0.006850235481785142	0.006820054215821546
1375.0	0.006691086999940453	0.006727841476289075
1425.0	0.006502954523057824	0.006536829372971814
1475.0	0.006377005890074775	0.006366104072351697
1525.0	0.006376478908346812	0.006292860810665905
1575.0	0.006081369140687786	0.006107118006750499
1625.0	0.005999159991125629	0.0059996242989526485
1675.0	0.0059064112070042205	0.005940081215711681
1725.0	0.005828944892993727	0.005825210488751231
1775.0	0.0057535865058950825	0.005738003583650524
1825.0	0.005625529946000183	0.005605217238723765
1875.0	0.005571250828020041	0.00552775853751649
1925.0	0.005360458136835024	0.005417103250077524
1975.0	0.005396292894336476	0.005370996880311289
2025.0	0.005327258287973382	0.005337273364139414
2075.0	0.005233455540396049	0.005197636929990244
2125.0	0.005153354317745742	0.005173661617711801
2175.0	0.0050932784007580115	0.005147842050642709
2225.0	0.005036364374138056	0.005098047171295176
2275.0	0.005081684802742836	0.005107531910218515
2325.0	0.004861406440454491	0.004924423756004038
2375.0	0.0048392732078800646	0.004830893691621103
2425.0	0.004798168633098986	0.004805337589522104
2475.0	0.004864568330822267	0.004812187678744516
