config	overall_pearson	overall_pearson_topq	residual_pearson	incremental_r2	incremental_r2_topq
K562seq_to_GM	0.354 [0.316, 0.391]	0.147 [0.118, 0.175]	0.164 [0.122, 0.206]	-0.458 [-0.491, -0.425]	-0.206 [-0.227, -0.185]
K562mm_to_GM	0.785 [0.770, 0.800]	0.520 [0.483, 0.556]	0.298 [0.254, 0.342]	0.032 [0.015, 0.050]	0.043 [0.024, 0.062]
K562resSeq_to_GM	0.775 [0.756, 0.794]	0.508 [0.494, 0.522]	0.230 [0.187, 0.273]	0.018 [0.008, 0.027]	0.030 [0.016, 0.045]
K562resMM_to_GM	0.779 [0.764, 0.795]	0.512 [0.485, 0.539]	0.236 [0.196, 0.277]	0.024 [0.010, 0.038]	0.035 [0.014, 0.055]
K562atac_to_GM	0.764 [0.747, 0.781]	0.477 [0.448, 0.506]	-	0.000 [0.000, 0.000]	0.000 [0.000, 0.000]
