config	overall_pearson	overall_pearson_topq	residual_pearson	incremental_r2	incremental_r2_topq	profile_pearson	profile_pearson_topq	profile_jsd
k562_mm_narrow_to_gm12878	0.788 [0.770, 0.805]	0.531 [0.500, 0.562]	0.212 [0.160, 0.264]	-0.007 [-0.022, 0.008]	0.014 [-0.015, 0.042]	0.039 [0.035, 0.043]	0.108 [0.099, 0.118]	0.562 [0.559, 0.566]
k562_mm_WIDE_to_gm12878	0.796 [0.778, 0.813]	0.542 [0.527, 0.558]	0.262 [0.223, 0.301]	0.006 [-0.007, 0.018]	0.026 [-0.005, 0.056]	0.039 [0.036, 0.043]	0.109 [0.100, 0.119]	0.562 [0.559, 0.566]
gm12878_mm_narrow_local	0.829 [0.815, 0.843]	0.585 [0.569, 0.602]	0.406 [0.379, 0.433]	0.060 [0.053, 0.067]	0.074 [0.051, 0.098]	0.052 [0.048, 0.057]	0.142 [0.132, 0.152]	0.561 [0.558, 0.565]
gm12878_mm_WIDE_local	0.844 [0.831, 0.858]	0.602 [0.578, 0.625]	0.481 [0.446, 0.516]	0.086 [0.075, 0.097]	0.094 [0.075, 0.113]	0.053 [0.048, 0.057]	0.142 [0.132, 0.153]	0.561 [0.558, 0.565]
atac_LOCAL	0.792 [0.777, 0.807]	0.518 [0.485, 0.550]	-	0.000 [0.000, 0.000]	0.000 [0.000, 0.000]	0.034 [0.031, 0.037]	0.097 [0.089, 0.104]	0.565 [0.561, 0.569]
