config	overall_pearson	overall_pearson_topq	residual_pearson	incremental_r2	incremental_r2_topq	profile_pearson	profile_pearson_topq	profile_jsd
multimodal_flat	0.878 [0.859, 0.898]	0.699 [0.695, 0.703]	0.511 [0.470, 0.552]	0.081 [0.067, 0.094]	0.147 [0.101, 0.193]	0.065 [0.061, 0.070]	0.176 [0.162, 0.189]	0.602 [0.594, 0.609]
multimodal_FRAGCHAN	0.881 [0.862, 0.901]	0.715 [0.705, 0.724]	0.529 [0.492, 0.566]	0.086 [0.075, 0.098]	0.169 [0.127, 0.211]	0.065 [0.061, 0.070]	0.176 [0.163, 0.190]	0.601 [0.594, 0.609]
atac_flat	0.831 [0.809, 0.853]	0.584 [0.540, 0.627]	-	0.000 [0.000, 0.000]	0.000 [0.000, 0.000]	0.041 [0.038, 0.045]	0.116 [0.106, 0.126]	0.607 [0.600, 0.615]
