config	overall_pearson	overall_pearson_topq	residual_pearson	incremental_r2	incremental_r2_topq
GMseq_to_K562	0.390 [0.349, 0.432]	0.317 [0.272, 0.362]	0.067 [-0.006, 0.139]	-0.509 [-0.555, -0.463]	-0.201 [-0.249, -0.153]
GMmm_to_K562	0.828 [0.801, 0.856]	0.602 [0.578, 0.626]	0.383 [0.324, 0.441]	0.025 [0.000, 0.049]	0.060 [0.007, 0.112]
GMresSeq_to_K562	0.834 [0.817, 0.851]	0.593 [0.573, 0.614]	0.339 [0.288, 0.390]	0.034 [0.020, 0.048]	0.050 [0.015, 0.085]
GMresMM_to_K562	0.840 [0.816, 0.863]	0.606 [0.588, 0.625]	0.378 [0.313, 0.442]	0.043 [0.025, 0.060]	0.065 [0.031, 0.099]
atac_LOCAL	0.814 [0.794, 0.833]	0.549 [0.498, 0.600]	-	0.000 [0.000, 0.000]	0.000 [0.000, 0.000]
