config	overall_pearson	overall_pearson_topq	residual_pearson	incremental_r2	incremental_r2_topq	profile_pearson	profile_pearson_topq	profile_jsd
multimodal_flat	0.876 [0.856, 0.895]	0.690 [0.683, 0.696]	0.502 [0.463, 0.540]	0.077 [0.065, 0.090]	0.137 [0.097, 0.177]	0.064 [0.059, 0.068]	0.171 [0.158, 0.185]	0.602 [0.594, 0.609]
multimodal_FRAGCHAN	0.878 [0.858, 0.898]	0.703 [0.692, 0.715]	0.516 [0.481, 0.550]	0.082 [0.071, 0.092]	0.156 [0.120, 0.192]	0.064 [0.059, 0.069]	0.173 [0.159, 0.186]	0.602 [0.594, 0.609]
atac_flat	0.830 [0.808, 0.852]	0.581 [0.540, 0.623]	-	0.000 [0.000, 0.000]	0.000 [0.000, 0.000]	0.041 [0.038, 0.044]	0.114 [0.104, 0.124]	0.607 [0.600, 0.615]
