label	cell	fold	bin_bp	stratum	n_elements	shape_r_model	shape_r_replicate	n_ceiling_elements	ceiling	frac_of_ceiling
seq_atac_clw1	k562	0	1	all	9833	0.5205	0.211	9747	0.5903	0.8819
seq_atac_clw1	k562	0	1	topq	1973	0.7974	0.5264	1972	0.8305	0.9601
seq_atac_clw1	k562	0	5	all	9833	0.6547	0.3221	9747	0.698	0.9379
seq_atac_clw1	k562	0	5	topq	1973	0.8925	0.7108	1972	0.9116	0.9791
seq_atac_clw1	k562	0	10	all	9833	0.7139	0.3919	9747	0.7504	0.9513
seq_atac_clw1	k562	0	10	topq	1973	0.9214	0.7904	1972	0.9396	0.9806
seq_atac_clw1	k562	0	25	all	9833	0.7878	0.4939	9747	0.8132	0.9688
seq_atac_clw1	k562	0	25	topq	1973	0.9492	0.8746	1972	0.966	0.9826
seq_atac_clw1	k562	0	50	all	9833	0.8328	0.571	9747	0.8526	0.9768
seq_atac_clw1	k562	0	50	topq	1973	0.9642	0.9207	1972	0.9791	0.9847
seq_atac_clw1	k562	0	100	all	9833	0.8617	0.6457	9747	0.8858	0.9728
seq_atac_clw1	k562	0	100	topq	1973	0.9744	0.9545	1972	0.9883	0.9859
seq_atac_clw1	k562	0	250	all	9833	0.869	0.6979	9717	0.9067	0.9584
seq_atac_clw1	k562	0	250	topq	1973	0.9782	0.9714	1972	0.9927	0.9854
