position	ATAC	ATAC (normalized)	H3K27ac	H3K27ac (normalized)
837.5	175.62305	0.337482	0.1243723	0.584368
862.5	172.83827	0.3321307	0.122072265	0.5735612
887.5	170.21298	0.32708588	0.12077925	0.5674859
912.5	166.80493	0.32053688	0.1164059	0.5469375
937.5	163.35565	0.31390864	0.114725664	0.5390429
962.5	159.29167	0.30609918	0.110319145	0.51833874
987.5	156.02863	0.29982883	0.1122392	0.52736014
1012.5	153.6995	0.2953531	0.110659264	0.5199368
1037.5	151.20654	0.2905626	0.10693281	0.5024279
1062.5	149.05385	0.28642592	0.107719034	0.506122
1087.5	146.55092	0.2816162	0.10593289	0.49772975
1112.5	143.6686	0.27607745	0.10296592	0.48378932
1137.5	140.83537	0.27063307	0.1028992	0.48347583
1162.5	138.07513	0.2653289	0.10002612	0.46997657
1187.5	135.44244	0.26026988	0.09945965	0.46731496
1212.5	133.08994	0.25574923	0.0963928	0.45290527
1237.5	131.95912	0.25357622	0.093832836	0.44087717
1262.5	131.03822	0.2518066	0.093152955	0.43768272
1287.5	130.09143	0.24998721	0.09361305	0.4398445
1312.5	128.60994	0.24714035	0.09149966	0.42991462
1337.5	126.4058	0.24290481	0.09084632	0.42684492
1362.5	124.14221	0.23855503	0.08663974	0.4070801
1387.5	121.729324	0.23391837	0.08533985	0.40097255
1412.5	119.38315	0.22940989	0.08367993	0.39317334
1437.5	117.139275	0.225098	0.08115978	0.3813323
1462.5	115.231804	0.22143255	0.08064657	0.37892097
1487.5	113.109566	0.2173544	0.07775317	0.36532626
1512.5	111.74866	0.21473925	0.078273214	0.3677697
1537.5	111.143425	0.21357621	0.077139914	0.36244482
1562.5	109.74957	0.21089774	0.07566653	0.3555221
1587.5	108.64556	0.20877625	0.07257994	0.34101963
1612.5	107.8243	0.2071981	0.073626585	0.3459373
1637.5	106.85268	0.205331	0.07173983	0.33707234
1662.5	105.87959	0.2034611	0.07075321	0.33243665
1687.5	104.217575	0.20026731	0.06998637	0.32883364
1712.5	102.28622	0.19655596	0.069146544	0.32488766
1737.5	100.83941	0.19377574	0.068393156	0.32134786
1762.5	99.39091	0.19099227	0.06621987	0.31113657
1787.5	98.135666	0.18858016	0.06514654	0.3060935
1812.5	96.74144	0.18590097	0.06383312	0.29992235
1837.5	95.23681	0.18300962	0.062859766	0.295349
1862.5	94.04055	0.18071087	0.06469978	0.30399436
1887.5	92.97691	0.17866695	0.062819876	0.29516158
1912.5	92.00639	0.17680198	0.06245311	0.29343832
1937.5	91.01842	0.17490345	0.063346535	0.29763612
1962.5	90.05345	0.17304915	0.06102644	0.28673506
1987.5	89.15047	0.17131396	0.059133094	0.2778391
