config	overall_pearson	overall_pearson_topq	residual_pearson	incremental_r2	incremental_r2_topq	profile_pearson	profile_pearson_topq	profile_jsd
narrow_flat_transferred	0.788 [0.770, 0.805]	0.531 [0.500, 0.562]	0.212 [0.160, 0.264]	-0.007 [-0.022, 0.008]	0.014 [-0.015, 0.042]	0.039 [0.035, 0.043]	0.108 [0.099, 0.118]	0.562 [0.559, 0.566]
narrow_flat_local	0.829 [0.815, 0.843]	0.585 [0.569, 0.602]	0.406 [0.379, 0.433]	0.060 [0.053, 0.067]	0.074 [0.051, 0.098]	0.052 [0.048, 0.057]	0.142 [0.132, 0.152]	0.561 [0.558, 0.565]
WIDE_flat_transferred	0.796 [0.778, 0.813]	0.542 [0.527, 0.558]	0.262 [0.223, 0.301]	0.006 [-0.007, 0.018]	0.026 [-0.005, 0.056]	0.039 [0.036, 0.043]	0.109 [0.100, 0.119]	0.562 [0.559, 0.566]
WIDE_flat_local	0.844 [0.831, 0.858]	0.602 [0.578, 0.625]	0.481 [0.446, 0.516]	0.086 [0.075, 0.097]	0.094 [0.075, 0.113]	0.053 [0.048, 0.057]	0.142 [0.132, 0.153]	0.561 [0.558, 0.565]
narrow_FRAG_transferred	0.791 [0.773, 0.810]	0.530 [0.515, 0.545]	0.221 [0.179, 0.263]	-0.001 [-0.013, 0.011]	0.012 [-0.018, 0.042]	0.039 [0.036, 0.043]	0.108 [0.100, 0.117]	0.562 [0.559, 0.566]
narrow_FRAG_local	0.832 [0.820, 0.844]	0.591 [0.576, 0.606]	0.421 [0.400, 0.443]	0.065 [0.057, 0.073]	0.081 [0.059, 0.102]	0.053 [0.048, 0.057]	0.143 [0.132, 0.153]	0.561 [0.558, 0.565]
WIDE_FRAG_transferred	0.795 [0.776, 0.814]	0.547 [0.516, 0.577]	0.254 [0.220, 0.289]	0.005 [-0.012, 0.022]	0.031 [0.003, 0.059]	0.039 [0.036, 0.043]	0.109 [0.100, 0.118]	0.562 [0.559, 0.566]
atac_LOCAL	0.792 [0.777, 0.807]	0.518 [0.485, 0.550]	-	0.000 [0.000, 0.000]	0.000 [0.000, 0.000]	0.034 [0.031, 0.037]	0.097 [0.089, 0.104]	0.565 [0.561, 0.569]
