half_window	out_window	n_elements	pearson_all	spearman_all	pearson_top_quintile	spearman_top_quintile	mean_counts_rep1
250	500	154222	0.6563	0.8479	0.7921	0.7739	2650.4
500	1000	154222	0.6634	0.8851	0.8339	0.8218	5302.5
750	1500	154222	0.6761	0.8997	0.8602	0.8468	7384.4
1000	2000	154222	0.6944	0.9083	0.8755	0.8614	9059.6
1500	3000	154222	0.7445	0.9189	0.8936	0.8781	11769.3
2000	4000	154222	0.7975	0.9258	0.9044	0.8874	13989.1
