config	overall_pearson	overall_pearson_topq	residual_pearson	incremental_r2	incremental_r2_topq
K562seq_to_GM	0.354 [0.316, 0.391]	0.147 [0.118, 0.175]	0.047 [0.013, 0.081]	-0.476 [-0.509, -0.442]	-0.223 [-0.247, -0.198]
K562mm_to_GM	0.785 [0.770, 0.800]	0.520 [0.483, 0.556]	0.270 [0.231, 0.309]	0.015 [-0.003, 0.032]	0.026 [0.005, 0.047]
K562resSeq_to_GM	0.787 [0.769, 0.805]	0.533 [0.516, 0.550]	0.239 [0.199, 0.279]	0.018 [0.009, 0.027]	0.039 [0.024, 0.054]
K562resMM_to_GM	0.790 [0.776, 0.804]	0.532 [0.503, 0.561]	0.267 [0.227, 0.307]	0.023 [0.009, 0.037]	0.039 [0.017, 0.061]
atac_LOCAL	0.775 [0.760, 0.791]	0.494 [0.462, 0.527]	-	0.000 [0.000, 0.000]	0.000 [0.000, 0.000]
